goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,3,0.2106696367263794,90,FW,Wolverhampton Wanderers,Leeds,1,3,2025-09-20,28820,2025,738593,0.290688157081604,0,1,0,0.2106696367263794,0.9305282831192017,0.42917048931121826
0,0,0,71,FW,Newcastle United,Wolverhampton Wanderers,1,0,2025-09-13,28809,2025,736897,0,0,0,0,0,0,0
0,1,0.10417299717664719,10,Sub,FC Cologne,Mainz 05,2,3,2021-04-11,15388,2020,462156,0,0,0,0,0.10417299717664719,0.10417299717664719,0
0,0,0,18,Sub,Eintracht Frankfurt,FC Cologne,2,0,2021-02-14,15325,2020,449726,0.3696900010108948,0,1,0,0,0,0
0,0,0,1,Sub,Borussia M.Gladbach,FC Cologne,1,2,2021-02-06,15311,2020,447809,0,0,0,0,0,0,0
0,0,0,1,Sub,Schalke 04,FC Cologne,1,2,2021-01-20,15289,2020,443387,0,0,0,0,0,0,0
0,0,0,20,Sub,Freiburg,FC Cologne,5,0,2021-01-09,15269,2020,440846,0.012915300205349922,0,1,0,0,0.012915300205349922,0
0,0,0,3,Sub,FC Cologne,Augsburg,0,1,2021-01-02,15262,2020,439030,0,0,0,0,0,0,0
0,0,0,6,Sub,FC Cologne,Union Berlin,1,2,2020-11-22,15211,2020,428892,0,0,0,0,0,0,0
0,1,0.07021550089120865,10,Sub,FC Cologne,Bayern Munich,1,2,2020-10-31,15186,2020,424386,0,0,0,0,0.07021550089120865,0.03726689890027046,0.03726689890027046
0,0,0,11,Sub,FC Cologne,Borussia M.Gladbach,1,3,2020-10-03,15159,2020,419472,0,0,0,0,0,0,0
0,1,0.03834480047225952,13,Sub,Arminia Bielefeld,FC Cologne,1,0,2020-09-26,14185,2020,417306,0.10656099766492844,0,1,0,0.03834480047225952,0.14490599930286407,0
