card_names,card_odds,contest
Lucas Paqueta CM,19 - 23,West Ham v Sunderland
Soungoutou Magassa CM,17 - 21,West Ham v Sunderland
Guido Rodriguez CM,15 - 19,West Ham v Sunderland
Mateus Fernandes CM,13 - 17,West Ham v Sunderland
Taty Castellanos CM,12 - 16,West Ham v Sunderland
Jean-Clair Todibo CM,11 - 15,West Ham v Sunderland
Tomas Soucek CM,10 - 14,West Ham v Sunderland
Pablo CM,9 - 13,West Ham v Sunderland
Igor Julio CM,9 - 13,West Ham v Sunderland
Crysencio Summerville CM,8 - 12,West Ham v Sunderland
El Hadji Malick Diouf CM,8 - 12,West Ham v Sunderland
Freddie Potts CM,8 - 12,West Ham v Sunderland
Konstantinos Mavropanos CM,7 - 10,West Ham v Sunderland
Kyle Walker-Peters CM,7 - 10,West Ham v Sunderland
Max Kilman CM,7 - 10,West Ham v Sunderland
Aaron Wan-Bissaka CM,6 - 9,West Ham v Sunderland
Oliver Scarles CM,5 - 8,West Ham v Sunderland
Jarrod Bowen CM,4 - 7,West Ham v Sunderland
Callum Wilson CM,3 - 6,West Ham v Sunderland
Alphonse Areola CM,2 - 4,West Ham v Sunderland
Habib Diarra CM,16 - 20,West Ham v Sunderland
Trai Hume CM,16 - 20,West Ham v Sunderland
Daniel Ballard CM,15 - 19,West Ham v Sunderland
Reinildo Mandava CM,13 - 17,West Ham v Sunderland
Granit Xhaka CM,12 - 16,West Ham v Sunderland
Nordi Mukiele CM,12 - 16,West Ham v Sunderland
Dennis Cirkin CM,11 - 15,West Ham v Sunderland
Omar Alderete CM,11 - 15,West Ham v Sunderland
Noah Sadiki CM,11 - 15,West Ham v Sunderland
Luke O'Nien CM,10 - 14,West Ham v Sunderland
Enzo Le Fee CM,10 - 14,West Ham v Sunderland
Brian Brobbey CM,8 - 12,West Ham v Sunderland
Wilson Isidor CM,8 - 12,West Ham v Sunderland
Chris Rigg CM,7 - 11,West Ham v Sunderland
Romaine Mundle CM,6 - 9,West Ham v Sunderland
Lutsharel Geertruida CM,3 - 6,West Ham v Sunderland
Eliezer Mayenda CM,3 - 6,West Ham v Sunderland
Simon Adingra CM,3 - 6,West Ham v Sunderland
Robin Roefs CM,6 - 9,West Ham v Sunderland
Chemsdine Talbi CM,2.5 - 5,West Ham v Sunderland
Hannibal Mejbri CM,17 - 21,Burnley v Tottenham
Florentino Luis CM,13 - 17,Burnley v Tottenham
Kyle Walker CM,15 - 19,Burnley v Tottenham
Lesley Ugochukwu CM,13 - 17,Burnley v Tottenham
Lucas Pires CM,13 - 17,Burnley v Tottenham
Josh Laurent CM,9 - 13,Burnley v Tottenham
Axel Tuanzebe CM,8 - 12,Burnley v Tottenham
Bashir Humphreys CM,8 - 12,Burnley v Tottenham
Zian Flemming CM,7 - 10,Burnley v Tottenham
Lyle Foster CM,7 - 10,Burnley v Tottenham
Hjalmar Ekdal CM,7 - 10,Burnley v Tottenham
Quilindschy Hartman CM,7 - 10,Burnley v Tottenham
Loum Tchaouna CM,6 - 9,Burnley v Tottenham
Jaidon Anthony CM,5 - 8,Burnley v Tottenham
Marcus Edwards CM,5 - 8,Burnley v Tottenham
Maxime Esteve CM,6 - 9,Burnley v Tottenham
Armando Broja CM,3 - 6,Burnley v Tottenham
Jacob Bruun Larsen CM,2.5 - 5,Burnley v Tottenham
Martin Dubravka CM,2.5 - 5,Burnley v Tottenham
Yves Bissouma CM,19 - 23,Burnley v Tottenham
Cristian Romero CM,22 - 26,Burnley v Tottenham
Joao Palhinha CM,17 - 21,Burnley v Tottenham
Conor Gallagher CM,13 - 17,Burnley v Tottenham
Micky van de Ven CM,13 - 17,Burnley v Tottenham
Pape Matar Sarr CM,11 - 15,Burnley v Tottenham
Archie Gray CM,13 - 17,Burnley v Tottenham
Kevin Danso CM,13 - 17,Burnley v Tottenham
Xavi Simons CM,10 - 14,Burnley v Tottenham
Pedro Porro CM,11 - 15,Burnley v Tottenham
Radu Dragusin CM,10 - 14,Burnley v Tottenham
Destiny Udogie CM,9 - 13,Burnley v Tottenham
Djed Spence CM,8 - 12,Burnley v Tottenham
Randal Kolo Muani CM,6 - 9,Burnley v Tottenham
Mathys Tel CM,6 - 9,Burnley v Tottenham
Dominic Solanke CM,3 - 6,Burnley v Tottenham
Wilson Odobert CM,3 - 6,Burnley v Tottenham
Guglielmo Vicario CM,5 - 8,Burnley v Tottenham
Joachim Andersen CM,11 - 15,Fulham v Brighton
Issa Diop CM,11 - 15,Fulham v Brighton
Harrison Reed CM,11 - 15,Fulham v Brighton
Harry Wilson CM,10 - 14,Fulham v Brighton
Calvin Bassey CM,10 - 14,Fulham v Brighton
Sander Berge CM,9 - 13,Fulham v Brighton
Kevin CM,8 - 12,Fulham v Brighton
Jorge Cuenca CM,8 - 12,Fulham v Brighton
Bernd Leno CM,8 - 12,Fulham v Brighton
Antonee Robinson CM,8 - 12,Fulham v Brighton
Timothy Castagne CM,8 - 12,Fulham v Brighton
Raul Jimenez CM,8 - 12,Fulham v Brighton
Adama Traore CM,8 - 12,Fulham v Brighton
Joshua King CM,8 - 12,Fulham v Brighton
Tom Cairney CM,8 - 12,Fulham v Brighton
Alex Iwobi CM,6 - 9,Fulham v Brighton
Ryan Sessegnon CM,5 - 8,Fulham v Brighton
Emile Smith Rowe CM,3 - 6,Fulham v Brighton
Samuel Chukwueze CM,4 - 7,Fulham v Brighton
Carlos Baleba CM,19 - 23,Fulham v Brighton
Diego Coppola CM,17 - 21,Fulham v Brighton
Joel Veltman CM,14 - 18,Fulham v Brighton
Jan Paul van Hecke CM,14 - 18,Fulham v Brighton
Lewis Dunk CM,13 - 17,Fulham v Brighton
Yankuba Minteh CM,11 - 15,Fulham v Brighton
Diego Gomez CM,11 - 15,Fulham v Brighton
Pascal Gross CM,11 - 15,Fulham v Brighton
Olivier Boscagli CM,10 - 14,Fulham v Brighton
Bart Verbruggen CM,10 - 14,Fulham v Brighton
Jack Hinshelwood CM,9 - 13,Fulham v Brighton
Yasin Ayari CM,9 - 13,Fulham v Brighton
Georginio Rutter CM,8 - 12,Fulham v Brighton
Brajan Gruda CM,8 - 12,Fulham v Brighton
Ferdi Kadioglu CM,8 - 12,Fulham v Brighton
Charalampos Kostoulas CM,7 - 10,Fulham v Brighton
Danny Welbeck CM,7 - 10,Fulham v Brighton
Kaoru Mitoma CM,5 - 8,Fulham v Brighton
Maxime De Cuyper CM,9 - 13,Fulham v Brighton
Bernardo Silva CM,10 - 14,Man City v Wolves
Abdukodir Khusanov CM,9 - 13,Man City v Wolves
Rodri CM,8 - 12,Man City v Wolves
Marc Guehi CM,7 - 10,Man City v Wolves
Rayan Ait-Nouri CM,7 - 10,Man City v Wolves
Antoine Semenyo CM,6 - 9,Man City v Wolves
Matheus Nunes CM,6 - 9,Man City v Wolves
Max Alleyne CM,6 - 9,Man City v Wolves
Rico Lewis CM,6 - 9,Man City v Wolves
Tijjani Reijnders CM,5 - 8,Man City v Wolves
Nico O'Reilly CM,4 - 7,Man City v Wolves
Phil Foden CM,4 - 7,Man City v Wolves
Nathan Ake CM,4 - 7,Man City v Wolves
Gianluigi Donnarumma CM,5 - 8,Man City v Wolves
Rayan Cherki CM,2.5 - 5,Man City v Wolves
Omar Marmoush CM,2.5 - 5,Man City v Wolves
Jeremy Doku CM,2.5 - 5,Man City v Wolves
Erling Haaland CM,2.5 - 5,Man City v Wolves
Joao Gomes CM,18 - 22,Man City v Wolves
Yerson Mosquera CM,16 - 20,Man City v Wolves
Andre CM,15 - 19,Man City v Wolves
Ladislav Krejci CM,12 - 16,Man City v Wolves
Emmanuel Agbadou CM,12 - 16,Man City v Wolves
Matt Doherty CM,11 - 15,Man City v Wolves
David Moller Wolfe CM,10 - 14,Man City v Wolves
Santiago Bueno CM,10 - 14,Man City v Wolves
Jackson Tchatchoua CM,8 - 12,Man City v Wolves
Hugo Bueno CM,7 - 11,Man City v Wolves
Jorgen Strand Larsen CM,7 - 11,Man City v Wolves
Hwang Hee-chan CM,7 - 11,Man City v Wolves
Jhon Arias CM,6 - 9,Man City v Wolves
Mateus Mane CM,6 - 9,Man City v Wolves
Fernando Lopez CM,5 - 8,Man City v Wolves
