assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,pts_bps
0,0,10,0,0.1,575,0.01,0.01,0.0,4.1,4,4,0,1.4,13.6,2023-08-12,90,5,0,0,0,0,1,0,16518,1,1,4,0.0,0,0,0,0,45,False,0,575,,,Tom Lockyer,0,0,0.0,90,DC,Brighton,Luton,4,1,22278,2023,603774,0.0,0,0,0,0.0,0.0,0.0,22278,Luton,Tom Lockyer,Tom Lockyer,2,3,1,1.5,DEF,0
0,0,10,0,0.4,575,0.01,0.01,0.0,2.09,26,3,0,2.7,25.0,2023-08-25,90,7,0,0,0,0,3,0,14963,1,0,3,2.0,0,-1176,403,1579,45,False,1,575,,,Tom Lockyer,0,0,0.0,90,DC,Chelsea,Luton,3,0,22295,2023,606600,0.0,0,0,0,0.0,0.0293297842144966,0.0293297842144966,22295,Luton,Tom Lockyer,Tom Lockyer,2,3,3,-0.5,DEF,0
0,0,6,0,0.0,575,0.0,0.28,0.28,0.98,44,1,0,1.4,10.4,2023-09-16,90,10,0,0,0,0,5,0,12053,1,0,1,4.0,2,-2127,138,2265,44,False,0,575,,,Tom Lockyer,0,1,0.356643944978714,90,DC,Fulham,Luton,1,0,21939,2023,610417,0.0,0,0,0,0.356643944978714,0.4258501827716827,0.0692062452435493,21939,Luton,Tom Lockyer,Tom Lockyer,2,3,5,0.2,DEF,2
0,1,17,0,11.7,575,0.03,0.03,0.0,0.59,58,1,0,3.0,14.4,2023-09-23,90,20,0,0,0,0,6,0,12288,1,1,1,4.0,3,76,723,647,43,True,0,575,,,Tom Lockyer,0,0,0.0,90,DC,Luton,Wolverhampton Wanderers,1,1,21945,2023,612180,0.0439271032810211,0,1,0,0.0,0.1557177305221557,0.1117906272411346,21945,Luton,Tom Lockyer,Tom Lockyer,2,2,6,1.2,DEF,2
0,0,15,0,0.0,575,0.0,0.47,0.47,2.3,63,1,1,8.0,41.0,2023-09-30,55,9,0,0,0,0,7,0,14506,1,2,1,39.0,7,1838,2898,1060,43,False,0,575,,,Tom Lockyer,1,2,1.0529460906982422,62,DC,Everton,Luton,1,2,21956,2023,614587,0.0,0,0,1,1.0529460906982422,0.0906350165605545,0.0906350165605545,21956,Luton,Tom Lockyer,Tom Lockyer,2,2,7,5.9,DEF,7
0,0,7,0,0.1,575,0.0,0.0,0.0,1.99,77,1,0,1.4,11.4,2023-10-07,80,18,0,0,0,0,8,0,21986,1,1,0,2.0,1,6836,9315,2479,43,True,1,575,,,Tom Lockyer,0,0,0.0,85,DC,Luton,Tottenham,0,1,21971,2023,616118,0.0,0,0,0,0.0,0.0849416330456733,0.0849416330456733,21971,Luton,Tom Lockyer,Tom Lockyer,3,2,8,2.5,DEF,1
1,0,22,0,11.0,575,0.03,0.03,0.0,2.97,88,2,0,4.2,30.8,2023-10-21,90,16,0,0,0,0,9,0,23193,1,2,2,0.0,4,1419,3732,2313,43,False,0,575,,,Tom Lockyer,0,0,0.0,90,DC,Nottingham Forest,Luton,2,2,21982,2023,618079,0.2830888330936432,1,1,0,0.0,0.2830888330936432,0.0,21982,Luton,Tom Lockyer,Tom Lockyer,2,2,9,2.7,DEF,4
0,0,10,0,0.7,575,0.1,0.1,0.0,2.39,92,3,0,1.1,6.4,2023-10-29,90,2,1,0,0,0,10,0,26802,1,1,3,4.0,-1,3300,5328,2028,43,False,0,575,,,Tom Lockyer,0,0,0.0,90,DC,Aston Villa,Luton,3,1,21987,2023,620460,0.0,0,0,0,0.0,0.0,0.0,21987,Luton,Tom Lockyer,Tom Lockyer,2,4,10,0.7,DEF,-1
0,0,15,0,10.0,575,0.0,0.0,0.0,3.04,105,1,0,4.7,32.6,2023-11-05,90,11,0,0,0,0,11,0,25634,1,1,1,4.0,2,-1046,1390,2436,43,True,0,575,,,Tom Lockyer,0,0,0.0,90,DC,Luton,Liverpool,1,1,21999,2023,622351,0.0487819463014602,0,1,0,0.0,0.0487819463014602,0.0,21999,Luton,Tom Lockyer,Tom Lockyer,4,2,11,0.7,DEF,2
0,0,13,0,0.7,575,0.02,0.02,0.0,2.12,118,1,0,2.4,21.4,2023-11-11,90,14,0,0,0,0,12,0,25518,1,0,1,2.0,1,-189,1099,1288,43,False,1,575,,,Tom Lockyer,0,0,0.0,90,DC,Manchester United,Luton,1,0,22012,2023,623246,0.0,0,0,0,0.0,0.0,0.0,22012,Luton,Tom Lockyer,Tom Lockyer,2,4,12,-0.3,DEF,1
