assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty
0,0,0,0,0.0,743,0.0,0.0,0.0,0.0,235,0,0,0.0,0.0,2023-02-18,0,8,0,0,0,0,24,0,147,0,0,1,0.0,0,65,74,9,40,False,0,0,4,0.6742820143699646,27,Sub,Newcastle United,Liverpool,0,2,18438,2022,576627,0.0,0,0,0,0.6742820143699646,0.3111799955368042,0.0888988003134727,2,2
0,0,0,0,0.0,743,0.0,0.0,0.0,0.0,245,0,0,0.0,0.0,2023-02-25,0,17,0,0,0,0,25,0,544,0,0,1,0.0,0,134,193,59,40,True,0,0,4,0.4024820029735565,72,FWL,Crystal Palace,Liverpool,0,0,18443,2022,578128,0.0174288991838693,0,1,0,0.4024820029735565,0.127700999379158,0.0174288991838693,2,2
0,0,0,0,0.0,743,0.0,0.0,0.0,0.0,265,0,0,0.0,0.0,2023-03-11,0,5,0,0,0,0,27,0,706,0,2,2,0.0,0,84,136,52,40,True,0,0,2,0.3206880092620849,43,Sub,Bournemouth,Liverpool,1,0,18462,2022,580943,0.0,0,0,0,0.3206880092620849,0.3206880092620849,0.0,3,2
0,0,0,0,0.0,743,0.0,0.0,0.0,0.0,281,0,0,0.0,0.0,2023-04-01,0,1,0,0,0,0,29,0,1087,0,1,4,0.0,0,189,251,62,40,False,0,0,0,0.0,72,FWL,Manchester City,Liverpool,4,1,18488,2022,584388,0.14962899684906,1,2,0,0.0,0.14962899684906,0.0,2,4
0,0,0,0,0.0,743,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2023-04-04,0,16,0,0,0,0,29,0,1087,0,1,2,0.0,0,189,251,62,40,True,0,0,0,0.0,90,FWR,Chelsea,Liverpool,0,0,18281,2022,586085,0.0,0,0,0,0.0,0.0462251007556915,0.0462251007556915,2,2
0,0,0,0,0.0,743,0.0,0.0,0.0,0.0,294,0,0,0.0,0.0,2023-04-09,0,7,0,0,0,0,30,0,1011,0,5,1,0.0,0,-146,59,205,40,True,0,0,1,0.0765684992074966,65,FWL,Liverpool,Arsenal,2,2,18497,2022,587615,0.1258870065212249,0,1,0,0.0765684992074966,0.202455997467041,0.1258870065212249,2,2
0,0,0,0,0.0,743,0.0,0.0,0.0,0.0,304,0,0,0.0,0.0,2023-04-17,0,12,0,0,0,0,31,0,1117,0,6,1,0.0,0,11,75,64,40,True,0,2,5,0.6698740124702454,84,FWL,Leeds,Liverpool,1,6,18505,2022,589611,0.1136659979820251,1,1,2,0.6698740124702454,1.182729959487915,0.3991859853267669,4,2
0,0,0,0,0.0,743,0.0,0.0,0.0,0.0,316,0,0,0.0,0.0,2023-04-22,0,9,0,0,0,0,32,0,1269,0,1,2,0.0,0,50,124,74,40,False,0,2,4,1.6776089668273926,84,FWL,Liverpool,Nottingham Forest,3,2,18519,2022,590118,0.0,0,0,2,1.6776089668273926,0.3905257284641266,0.1237972006201744,2,2
0,0,0,0,0.0,743,0.0,0.0,0.0,0.0,332,0,0,0.0,0.0,2023-04-30,0,3,0,0,0,0,34,0,1373,0,1,4,0.0,0,34,101,67,40,False,0,1,2,0.3471581041812897,25,Sub,Liverpool,Tottenham,4,3,18539,2022,593264,0.0,0,0,1,0.3471581041812897,0.3471581041812897,0.0,2,2
0,0,0,0,0.0,743,0.0,0.0,0.0,0.0,345,0,0,0.0,0.0,2023-05-06,0,13,0,0,0,0,35,0,2034,0,1,2,0.0,0,565,703,138,40,False,0,0,2,0.194120779633522,76,FW,Liverpool,Brentford,1,0,18545,2022,594954,0.1036464795470237,0,3,0,0.194120779633522,0.2977672517299652,0.0675283595919609,2,5
