,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0.0,90,DC,Leeds,Chelsea,0,3,2022-05-11,16703,2021,534757,0.0,0,0,0,0.0,0.4448094069957733,0.4448094069957733
1,0,0,0.0,48,DC,Chelsea,Arsenal,2,4,2022-04-20,16618,2021,527914,0.0,0,0,0,0.0,0.0,0.0
2,0,0,0.0,90,DC,Southampton,Chelsea,0,6,2022-04-09,16687,2021,524619,0.0246791969984769,0,1,0,0.0,1.1957218647003174,1.1957218647003174
3,0,1,0.0111333122476935,90,DC,Chelsea,Newcastle United,1,0,2022-03-13,16659,2021,519895,0.0,0,0,0,0.0111333122476935,0.3893965780735016,0.3782632648944855
4,0,1,0.2378697097301483,90,DC,Norwich,Chelsea,1,3,2022-03-10,16672,2021,518983,0.0,0,0,0,0.2378697097301483,0.8844964504241943,0.8844964504241943
5,0,0,0.0,90,DR,Crystal Palace,Chelsea,0,1,2022-02-19,16629,2021,514219,0.0476624406874179,0,1,0,0.0,0.6025787591934204,0.6025787591934204
6,0,0,0.0,50,DC,Chelsea,Brighton,1,1,2021-12-29,16568,2021,505342,0.0,0,0,0,0.0,0.1077998429536819,0.1077998429536819
7,0,0,0.0,37,Sub,Aston Villa,Chelsea,1,3,2021-12-26,16556,2021,505173,0.0,0,0,0,0.0,0.4145944118499756,0.4145944118499756
8,0,0,0.0,14,Sub,Chelsea,Leeds,3,2,2021-12-11,16530,2021,501680,0.0,0,0,0,0.0,0.0,0.0
9,0,1,0.0153802763670682,90,DC,West Ham,Chelsea,3,2,2021-12-04,16524,2021,499628,0.0,0,0,0,0.0153802763670682,0.1094239205121994,0.1094239205121994
10,0,0,0.0,90,DC,Watford,Chelsea,1,2,2021-12-01,16509,2021,499307,0.0,0,0,0,0.0,0.5410811901092529,0.5410811901092529
11,0,1,0.4792898595333099,90,DC,Chelsea,Burnley,1,1,2021-11-06,16479,2021,493967,0.0689696371555328,0,1,0,0.4792898595333099,0.6706361174583435,0.6706361174583435
12,0,0,0.0,90,DC,Newcastle United,Chelsea,0,3,2021-10-30,16471,2021,492226,0.0228493232280015,0,1,0,0.0,0.0709766596555709,0.0709766596555709
13,0,0,0.0,90,DC,Brentford,Chelsea,0,1,2021-10-16,16448,2021,488349,0.0,0,0,0,0.0,0.0,0.0
14,0,0,0.0,90,DC,Chelsea,Manchester City,0,1,2021-09-25,16426,2021,484393,0.0,0,0,0,0.0,0.0405587218701839,0.0405587218701839
15,0,1,0.0553511641919612,90,DC,Tottenham,Chelsea,0,3,2021-09-19,16425,2021,482931,0.0285002253949642,0,2,0,0.0553511641919612,1.3176345825195312,1.3176345825195312
16,0,0,0.0,90,DC,Liverpool,Chelsea,1,1,2021-08-28,16402,2021,479070,0.0,0,0,0,0.0,0.0,0.0
17,0,0,0.0,90,DC,Arsenal,Chelsea,0,2,2021-08-22,16394,2021,477842,0.0,0,0,0,0.0,1.3367741107940674,1.3367741107940674
