,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
1,0,0,0.0,90,MC,Everton,Crystal Palace,3,2,2022-05-19,16704,2021,536794,0.5729465484619141,1,2,0,0.0,0.2137612402439117,0.2137612402439117
2,0,2,0.0796473622322082,79,MC,Aston Villa,Crystal Palace,1,1,2022-05-15,16745,2021,536128,0.0499742068350315,0,2,0,0.0796473622322082,0.065337598323822,0.0
3,0,3,0.1904239058494568,90,MC,Crystal Palace,Watford,1,0,2022-05-07,16730,2021,532532,0.156111791729927,0,3,0,0.1904239058494568,0.5860397815704346,0.3795213103294372
4,1,2,0.0841321870684623,87,FWL,Southampton,Crystal Palace,1,2,2022-04-30,16720,2021,530549,0.0261655263602733,0,1,1,0.0841321870684623,0.2581394910812378,0.174007311463356
5,0,1,0.060530949383974,79,MC,Crystal Palace,Leeds,0,0,2022-04-25,16710,2021,529870,0.0537400916218757,0,1,0,0.060530949383974,0.3509364426136017,0.3509364426136017
6,0,0,0.0,30,Sub,Leicester,Crystal Palace,2,1,2022-04-10,16691,2021,525205,0.0365248434245586,0,1,0,0.0,0.0855700746178627,0.0490452349185943
7,0,0,0.0,2,Sub,Crystal Palace,Chelsea,0,1,2022-02-19,16629,2021,514216,0.0,0,0,0,0.0,0.0,0.0
8,0,0,0.0,8,Sub,Norwich,Crystal Palace,1,1,2022-02-09,16609,2021,512170,0.0,0,0,0,0.0,0.0,0.0
9,0,0,0.0,21,Sub,Crystal Palace,Liverpool,1,3,2022-01-23,16599,2021,510187,0.0738932341337204,0,1,0,0.0,0.0738932341337204,0.0
10,0,2,0.0419322848320007,69,FWL,Brighton,Crystal Palace,1,1,2022-01-14,16587,2021,507841,0.0,0,0,0,0.0419322848320007,0.0419322848320007,0.0
11,0,0,0.0,5,Sub,Manchester United,Crystal Palace,1,0,2021-12-05,16519,2021,500532,0.0,0,0,0,0.0,0.0,0.0
12,0,0,0.0,27,Sub,Crystal Palace,Aston Villa,1,2,2021-11-27,16501,2021,497442,0.0,0,0,0,0.0,0.062968336045742,0.062968336045742
