assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5
0,0,0,0,0.0,21,0.0,0.0,0.0,0.0,39,0,0,0.0,0.0,2024-09-15,0,0,0,0,0,0,0,0,False,18,0,0,0,0,4,0,2918,0,1,0,0.0,0,-421,121,542,4.4,False,0,0,0,0.0,24,Wolverhampton Wanderers,Newcastle United,1,2,26641,2024,674638,0.0,0,0,0,0.0,0.081285685300827,0.081285685300827,Newcastle United,5,3,4,0.0,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0.0,21,0.0,0.0,0.0,0.0,51,0,0,0.0,0.0,2024-09-28,0,0,0,0,0,0,0,0,False,11,0,0,0,0,6,0,2623,0,2,4,0.0,0,-162,46,208,4.4,True,0,0,1,0.0600954256951808,79,Newcastle United,Manchester City,1,1,26652,2024,677433,0.0,0,0,0,0.0600954256951808,0.265186458826065,0.205091044306755,Newcastle United,1,5,6,0.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0.0,21,0.0,0.0,0.0,0.0,61,0,0,0.0,0.0,2024-10-05,0,0,0,0,0,0,0,0,False,17,0,0,0,0,7,0,2507,0,1,3,0.0,0,-132,43,175,4.4,True,0,0,0,0.0,77,Everton,Newcastle United,0,0,26669,2024,679742,0.1524757146835327,0,2,0,0.0,0.1870548725128173,0.1870548725128173,Everton,1,5,7,0.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.27,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,0.0,0.0,0.5,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.17,0.14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0.0,21,0.0,0.0,0.0,0.0,151,0,0,0.0,0.0,2024-12-14,0,0,0,0,0,0,0,0,False,8,0,0,0,0,16,0,3392,0,0,0,0.0,0,260,434,174,4.3,True,0,0,0,0.0,23,Newcastle United,Leicester,4,0,26760,2024,693641,0.0,0,0,0,0.0,0.0802507027983665,0.0802507027983665,Newcastle United,3,5,16,0.5,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.0,0.0,0.0,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.5,0.0,0.0,0.5,0.03,0.08,0.0,0.0,1.0,0.0,0.03,0.23,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,2.33,0.0,0.0,0.33,0.02,0.05,0.0,0.0,0.67,0.0,0.02,0.18,0.16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0.0,21,0.0,0.0,0.0,0.0,163,0,0,0.0,0.0,2024-12-21,0,0,0,0,0,0,0,0,False,7,0,0,0,0,17,0,3633,0,5,1,0.0,0,88,290,202,4.3,False,0,0,0,0.0,21,Ipswich,Newcastle United,0,4,26771,2024,695350,0.0,0,0,0,0.0,0.0,0.0,Newcastle United,5,3,17,0.5,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.0,0.0,0.0,0.0,0.08,0.0,0.0,1.0,0.0,0.0,0.13,0.13,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.33,0.0,0.0,0.33,0.02,0.05,0.0,0.0,0.67,0.0,0.02,0.18,0.16,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.75,0.0,0.0,0.25,0.02,0.04,0.0,0.0,0.5,0.0,0.02,0.15,0.14,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,7,0,10.5,21,0.23,0.23,0.0,0.21,201,0,0,1.5,2.2,2025-01-15,13,0,0,0,0,0,0,0,False,18,0,0,0,0,21,0,4181,0,1,2,2.0,1,-17,288,305,4.3,True,0,0,0,0.0,2,Newcastle United,Wolverhampton Wanderers,3,0,26810,2024,699455,0.0,0,0,0,0.0,0.0213562492281198,0.0213562492281198,Newcastle United,2,5,21,0.2,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.33,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.67,0.0,0.0,0.09,0.09,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.25,0.02,0.04,0.0,0.0,0.5,0.0,0.02,0.13,0.12,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.6,0.0,0.0,0.2,0.01,0.03,0.0,0.0,0.4,0.0,0.01,0.12,0.11,0.2
0,0,0,0,0.0,21,0.0,0.0,0.0,0.0,211,0,0,0.0,0.0,2025-01-18,0,0,0,0,0,0,0,0,False,2,0,0,0,0,22,0,4284,0,2,2,0.0,0,44,194,150,4.3,True,0,0,0,0.0,18,Newcastle United,Bournemouth,1,4,26819,2024,699763,0.0686020851135253,0,1,0,0.0,0.0,0.0,Newcastle United,3,5,22,0.0,DEF,0.0,0.23,0.23,0.0,0.21,0.0,0.0,1.5,2.2,10.5,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.2,0.0,0.12,0.12,0.0,0.1,0.0,0.0,0.75,1.1,5.25,1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.35,0.0,0.08,0.08,0.0,0.07,0.0,0.0,0.5,0.73,3.5,0.67,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.4,0.0,0.06,0.06,0.0,0.05,0.0,0.0,0.38,0.55,2.62,0.5,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.5,0.25,0.0,0.0,0.0,0.04,0.0,0.0,0.5,0.0,0.0,0.07,0.07,0.3,0.0,0.05,0.05,0.0,0.04,0.0,0.0,0.3,0.44,2.1,0.4,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,2.0,0.2,0.0,0.2,0.01,0.03,0.0,0.0,0.4,0.0,0.01,0.11,0.1,0.24
0,0,5,0,0.1,21,0.0,0.0,0.0,0.05,245,0,0,0.2,2.0,2025-02-15,1,0,0,0,0,0,0,0,False,11,0,0,0,0,25,0,5037,0,2,0,0.0,1,140,401,261,4.3,False,0,0,0,0.0,47,Manchester City,Newcastle United,4,0,26848,2024,706229,0.010783914476633,0,1,0,0.0,0.0,0.0,Newcastle United,5,1,25,1.2,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.1,0.0,0.0,0.75,1.1,5.25,1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,0.5,0.0,0.0,0.0,0.03,0.0,0.0,0.5,0.0,0.0,0.01,0.01,0.1,0.0,0.08,0.08,0.0,0.07,0.0,0.0,0.5,0.73,3.5,0.67,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,1.67,0.33,0.0,0.0,0.0,0.02,0.0,0.0,0.33,0.0,0.0,0.01,0.01,0.23,0.0,0.06,0.06,0.0,0.05,0.0,0.0,0.38,0.55,2.62,0.5,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.25,0.25,0.0,0.0,0.0,0.02,0.0,0.0,0.25,0.0,0.0,0.03,0.03,0.3,0.0,0.05,0.05,0.0,0.04,0.0,0.0,0.3,0.44,2.1,0.4,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.6,0.2,0.0,0.0,0.0,0.04,0.0,0.0,0.6,0.0,0.0,0.06,0.06,0.24
0,0,0,0,11.4,21,0.02,0.23,0.21,0.34,264,0,0,2.8,7.2,2025-02-26,45,0,0,0,0,0,0,0,False,16,0,0,0,0,27,0,5235,0,0,0,9.0,1,-6,162,168,4.3,False,0,0,0,0.0,21,Liverpool,Newcastle United,2,0,26870,2024,709264,0.0,0,0,0,0.0,0.0,0.0,Newcastle United,5,4,27,0.7,DEF,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.2,2.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.1,1.0,0.05,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,0.0,0.0,0.04,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.08,0.08,0.0,0.09,0.0,0.0,0.57,1.4,3.53,0.67,4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,1.33,0.67,0.0,0.0,0.0,0.03,0.0,0.0,0.67,0.0,0.0,0.01,0.01,0.47,0.0,0.06,0.06,0.0,0.06,0.0,0.0,0.42,1.05,2.65,0.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.25,0.5,0.0,0.0,0.0,0.02,0.0,0.0,0.5,0.0,0.0,0.01,0.01,0.48,0.0,0.05,0.05,0.0,0.05,0.0,0.0,0.34,0.84,2.12,0.4,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.4,0.0,0.0,0.0,0.02,0.0,0.0,0.4,0.0,0.0,0.02,0.02,0.48
0,2,28,0,18.6,21,0.04,0.21,0.17,0.63,378,1,1,10.3,49.4,2025-05-25,62,0,0,0,0,0,0,0,False,17,0,0,0,0,38,0,10517,1,2,1,35.0,10,367,953,586,4.3,False,0,0,1,0.0475624054670333,26,Newcastle United,Everton,0,1,26973,2024,730262,0.1146782860159874,0,3,0,0.0475624054670333,0.1388987451791763,0.1263127774000167,Everton,5,1,38,4.5,DEF,0.0,0.02,0.23,0.21,0.34,0.0,0.0,2.8,7.2,11.4,9.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.01,0.12,0.1,0.2,0.0,0.0,1.5,4.6,5.75,4.5,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.01,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.95,0.0,0.01,0.08,0.07,0.13,0.0,0.0,1.0,3.07,3.83,3.0,15.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.67,0.67,0.0,0.0,0.0,0.03,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.63,0.0,0.06,0.12,0.05,0.15,0.0,0.0,1.12,2.85,5.5,2.75,14.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.0,0.75,0.0,0.0,0.0,0.02,0.0,0.0,0.5,0.0,0.0,0.01,0.01,0.52,0.0,0.05,0.09,0.04,0.12,0.0,0.0,0.9,2.28,4.4,2.2,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.6,0.0,0.0,0.0,0.02,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.52
