assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,3,0,1.0,139,0.0,0.0,0.0,0.0,25,0,0,0.5,1.6,2022-08-21,13,11,0,0,0,0,3,0,336139,0,0,3,2.0,1,-89693,21054,110747,60,False,0,0,0,0.0,11,Sub,Leeds,Chelsea,3,0,18228,2022,543100,0.0,0,0,0,0.0,0.0,0.0
1,0,0,4,0,0.0,139,0.0,0.0,0.0,0.0,35,0,0,0.3,3.0,2022-08-27,1,10,0,0,0,0,4,0,286632,0,1,2,0.0,1,-60477,10397,70874,59,True,0,0,0,0.0,1,Sub,Chelsea,Leicester,2,1,18235,2022,544504,0.0,0,0,0,0.0,0.0,0.0
2,0,0,9,0,2.1,139,0.01,0.01,0.0,0.1,50,0,0,1.4,10.2,2022-08-30,23,17,0,0,0,0,5,0,249846,0,1,2,2.0,1,-42117,6839,48956,58,False,0,0,0,0.0,21,Sub,Southampton,Chelsea,2,1,18244,2022,545975,0.0,0,0,0,0.0,0.0,0.0
3,1,0,25,0,11.0,139,0.0,0.23,0.23,0.17,54,0,1,9.4,50.4,2022-09-03,18,19,0,0,0,0,6,0,229828,0,1,2,33.0,10,-24875,8197,33072,58,True,0,1,1,0.3437249958515167,16,Sub,Chelsea,West Ham,2,1,18260,2022,547260,0.1191760003566742,1,1,1,0.3437249958515167,0.3437249958515167,0.3437249958515167
4,0,0,8,0,9.9,139,0.04,0.08,0.04,0.44,83,1,0,2.6,10.8,2022-10-01,90,7,0,0,0,0,9,0,330093,1,2,1,5.0,2,39545,56669,17124,58,False,0,0,1,0.0340034998953342,90,DL,Crystal Palace,Chelsea,1,2,18284,2022,552289,0.0,0,0,0,0.0340034998953342,0.3109869956970215,0.2769829928874969
5,0,0,18,1,3.8,139,0.03,0.03,0.0,1.79,101,0,0,0.6,2.2,2022-10-16,90,2,0,0,0,0,11,0,392437,1,2,0,0.0,5,20350,58785,38435,58,False,1,0,0,0.0,90,DML,Aston Villa,Chelsea,0,2,18302,2022,556566,0.0,0,0,0,0.0,0.2159679979085922,0.2159679979085922
6,0,0,11,0,9.1,139,0.1,0.1,0.0,0.84,122,1,0,1.9,7.4,2022-10-22,90,14,0,0,0,0,13,0,457361,1,1,1,2.0,2,-51205,18088,69293,59,True,0,0,0,0.0,90,DML,Chelsea,Manchester United,1,1,18323,2022,558420,0.0,0,0,0,0.0,0.0,0.0
7,0,0,2,0,2.3,139,0.01,0.05,0.04,0.62,134,1,0,0.6,0.0,2022-10-29,26,5,0,0,0,0,14,0,467367,0,1,4,4.0,1,5275,32792,27517,59,False,0,0,1,0.0212853997945785,25,Sub,Brighton,Chelsea,4,1,18335,2022,560069,0.0,0,0,0,0.0212853997945785,0.1066519990563392,0.1066519990563392
8,0,0,2,0,14.8,139,0.07,0.07,0.0,0.09,214,0,0,1.6,1.4,2023-02-03,6,9,0,0,0,0,22,0,201384,0,0,0,0.0,1,-2897,1890,4787,58,True,0,0,0,0.0,5,Sub,Chelsea,Fulham,0,0,18415,2022,572945,0.1055219992995262,0,1,0,0.0,0.0,0.0
9,0,0,9,0,14.9,139,0.05,0.05,0.0,0.14,230,0,0,2.7,11.6,2023-02-11,23,19,0,0,0,0,23,0,203597,0,1,1,0.0,1,1522,3086,1564,58,False,0,0,0,0.0,19,Sub,West Ham,Chelsea,1,1,18431,2022,574598,0.0316905006766319,0,1,0,0.0,0.0835096016526222,0.0835096016526222
