,assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,4,0,2.3,720,0.02,0.02,0.0,1.93,76,2,0,2.0,17.2,2023-02-08,89,14,0,0,0,0,22,0,5613,1,2,2,0.0,1,5174,5517,343,50,False,1,0,0,0.0,90,DMC,Manchester United,Leeds,2,2,18279,2022,574406,0.0,0,0,0,0.0,0.0199976991862058,0.0199976991862058
1,0,0,3,0,14.5,720,0.01,0.18,0.17,0.81,225,2,0,2.7,5.8,2023-02-12,85,14,0,0,0,0,23,0,5018,1,2,0,7.0,1,-392,1043,1435,50,True,1,0,1,0.1019390001893043,89,DMC,Leeds,Manchester United,0,2,18426,2022,575400,0.0257993005216121,0,1,0,0.1019390001893043,0.3797209858894348,0.3539220094680786
2,0,0,6,0,11.7,720,0.02,0.02,0.0,1.39,235,1,0,2.3,9.2,2023-02-18,77,8,0,0,0,0,24,0,4691,1,0,1,2.0,1,-420,481,901,50,False,1,0,0,0.0,80,DMC,Everton,Leeds,1,0,18436,2022,576434,0.0336536988615989,0,1,0,0.0,0.0628611966967582,0.0292074996978044
3,0,0,17,1,30.4,720,0.1,0.17,0.07,0.37,245,0,0,4.9,14.4,2023-02-25,90,17,0,0,0,0,25,0,4624,1,0,1,4.0,3,-154,606,760,49,True,0,0,1,0.0560115985572338,90,DMC,Leeds,Southampton,1,0,18446,2022,577832,0.0810453966259956,0,2,0,0.0560115985572338,0.4020960032939911,0.3210499882698059
4,0,0,11,0,6.9,720,0.02,0.05,0.03,1.52,255,1,0,1.9,8.2,2023-03-04,90,6,0,0,0,0,26,0,4216,1,0,1,4.0,2,-482,235,717,49,False,0,0,1,0.014971699565649,90,DMC,Chelsea,Leeds,1,0,18456,2022,579562,0.0,0,0,0,0.014971699565649,0.1553920060396194,0.1553920060396194
5,0,0,5,0,1.3,720,0.04,0.04,0.0,0.41,265,0,0,0.8,6.6,2023-03-11,24,5,0,0,0,0,27,0,3732,0,2,2,0.0,1,-537,230,767,48,True,0,0,0,0.0,23,Sub,Leeds,Brighton,2,2,18466,2022,581272,0.0,0,0,0,0.0,0.0,0.0
6,0,0,4,0,2.3,720,0.01,0.13,0.12,2.86,280,2,0,2.1,9.4,2023-03-18,90,20,0,0,0,0,28,0,3618,1,4,2,9.0,1,-181,214,395,48,False,1,0,2,0.1189429983496666,90,DMC,Wolverhampton Wanderers,Leeds,2,4,18481,2022,583126,0.0,0,0,0,0.1189429983496666,0.2233179956674575,0.1394830048084259
7,0,0,1,0,0.0,720,0.0,0.0,0.0,0.15,281,1,0,0.0,0.0,2023-04-01,25,1,0,0,0,0,29,0,3393,0,1,4,0.0,1,-255,184,439,47,False,0,0,0,0.0,21,Sub,Arsenal,Leeds,4,1,18482,2022,584789,0.0,0,0,0,0.0,0.0,0.0
8,0,0,13,0,30.2,720,0.09,0.13,0.04,0.79,65,1,0,6.8,19.0,2023-04-04,90,16,0,0,0,0,29,0,3393,1,1,2,19.0,2,-255,184,439,47,True,0,0,1,0.0741676017642021,90,DMC,Leeds,Nottingham Forest,2,1,18271,2022,586039,0.1199159994721412,0,2,0,0.0741676017642021,0.2261269986629486,0.1280899941921234
9,0,0,8,0,2.1,720,0.02,0.02,0.0,3.03,294,5,0,2.8,25.6,2023-04-09,90,7,0,0,0,0,30,0,3266,1,5,1,0.0,1,-185,95,280,47,True,1,0,0,0.0,90,DMC,Leeds,Crystal Palace,1,5,18495,2022,587454,0.0,0,0,0,0.0,0.0,0.0
10,0,0,13,0,12.6,720,0.02,0.02,0.0,2.47,304,6,0,2.5,10.8,2023-04-17,90,12,0,0,0,0,31,0,3147,1,6,1,2.0,2,-145,104,249,47,True,0,0,0,0.0,90,DMC,Leeds,Liverpool,1,6,18505,2022,589592,0.0372060984373092,0,1,0,0.0,0.1426890045404434,0.1054830029606819
11,0,0,4,0,2.3,720,0.01,0.01,0.0,1.62,316,2,0,1.6,12.0,2023-04-22,79,9,0,0,0,0,32,0,3133,1,1,2,2.0,1,-40,129,169,47,False,1,0,0,0.0,82,DMC,Fulham,Leeds,2,1,18517,2022,589848,0.0,0,0,0,0.0,0.0,0.0
12,0,0,9,0,29.3,720,0.07,0.12,0.05,2.1,323,1,0,4.6,13.2,2023-04-25,90,10,0,0,0,0,33,0,3132,1,1,1,3.0,2,-10,177,187,46,True,0,0,2,0.0518457442522048,90,DMC,Leeds,Leicester,1,1,18523,2022,591477,0.1281372606754303,0,2,0,0.0518457442522048,0.6706374883651733,0.5103241205215454
13,0,0,6,0,13.1,720,0.01,0.01,0.0,1.59,332,3,0,1.9,4.2,2023-04-30,70,3,0,0,0,0,34,0,3189,1,1,4,2.0,2,39,298,259,46,False,0,0,0,0.0,75,MC,Bournemouth,Leeds,4,1,18533,2022,592937,0.0879521891474723,0,1,0,0.0,0.1239396631717681,0.1239396631717681
14,0,0,9,0,14.8,720,0.04,0.08,0.04,2.47,345,2,0,4.4,12.0,2023-05-06,90,13,0,0,0,0,35,0,3349,1,1,2,17.0,1,122,387,265,46,False,1,0,1,0.0198521874845027,90,DMC,Manchester City,Leeds,2,1,18546,2022,594787,0.0235055424273014,0,1,0,0.0198521874845027,0.0235055424273014,0.0
15,0,0,6,0,1.1,720,0.01,0.12,0.11,2.42,357,2,0,1.6,8.4,2023-05-13,90,15,0,0,0,0,36,0,3458,1,2,2,6.0,2,77,321,244,46,True,0,0,1,0.0810247585177421,90,MC,Leeds,Newcastle United,2,2,18558,2022,596064,0.0,0,0,0,0.0810247585177421,0.151082694530487,0.0700579360127449
