goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,2,0.0798091813921928,90,DC,Brighton,Tottenham,0,2,2022-03-16,16528,2021,520725,0.0210516825318336,0,1,0,0.0798091813921928,0.5796032547950745,0.5585516095161438
1,0,1,0.1355200558900833,90,DC,Newcastle United,Brighton,2,1,2022-03-05,16651,2021,517564,0.0211593005806207,0,1,0,0.1355200558900833,0.1180600151419639,0.0969007164239883
2,0,2,0.0737115740776062,90,DC,Brighton,Burnley,0,3,2022-02-19,16628,2021,514178,0.0,0,0,0,0.0737115740776062,0.1890613585710525,0.1728104799985885
3,0,0,0.0,1,Sub,Watford,Brighton,0,2,2022-02-12,16625,2021,512698,0.0,0,0,0,0.0,0.0,0.0
4,0,0,0.0,26,Sub,Everton,Brighton,2,3,2022-01-02,16580,2021,505590,0.0,0,0,0,0.0,0.0,0.0
5,0,1,0.0416950695216655,90,DC,Southampton,Brighton,1,1,2021-12-04,16521,2021,499901,0.0410492494702339,0,1,0,0.0416950695216655,0.4046084880828857,0.4046084880828857
6,0,0,0.0,55,Sub,West Ham,Brighton,1,1,2021-12-01,16510,2021,499022,0.0,0,0,0,0.0,0.0,0.0
7,0,0,0.0,90,DC,Aston Villa,Brighton,2,0,2021-11-20,16486,2021,495690,0.0,0,0,0,0.0,0.1194289773702621,0.1194289773702621
8,0,1,0.0180944986641407,90,DC,Brighton,Newcastle United,1,1,2021-11-06,16478,2021,494232,0.0,0,0,0,0.0180944986641407,0.3177323341369629,0.3177323341369629
9,0,1,0.0554226636886596,90,DC,Liverpool,Brighton,2,2,2021-10-30,16469,2021,492282,0.0,0,0,0,0.0554226636886596,0.5138295292854309,0.5138295292854309
10,0,1,0.0319334454834461,90,DC,Norwich,Brighton,0,0,2021-10-16,16453,2021,488170,0.0,0,0,0,0.0319334454834461,0.2085780054330825,0.2085780054330825
11,0,2,0.108084961771965,90,DC,Brighton,Arsenal,0,0,2021-10-02,16436,2021,486691,0.0,0,0,0,0.108084961771965,0.0359474755823612,0.0359474755823612
12,0,1,0.0405781865119934,90,DC,Crystal Palace,Brighton,1,1,2021-09-27,16435,2021,485992,0.0,0,0,0,0.0405781865119934,0.0,0.0
13,0,2,0.0673227086663246,90,DC,Brighton,Leicester,2,1,2021-09-19,16423,2021,482579,0.0197491515427827,0,1,0,0.0673227086663246,0.0197491515427827,0.0
14,0,0,0.0,90,DC,Brentford,Brighton,0,1,2021-09-11,16408,2021,480415,0.0,0,0,0,0.0,0.1220747083425521,0.1220747083425521
15,0,1,0.0580487214028835,90,DC,Brighton,Everton,0,2,2021-08-28,16400,2021,478912,0.0,0,0,0,0.0580487214028835,0.1328668594360351,0.1328668594360351
16,1,3,0.1337432861328125,90,DC,Brighton,Watford,2,0,2021-08-21,16391,2021,477230,0.0,0,0,1,0.1337432861328125,0.0521985106170177,0.0521985106170177
17,0,4,0.063740037381649,90,DC,Burnley,Brighton,1,2,2021-08-14,16378,2021,475459,0.0,0,0,0,0.063740037381649,0.7037997245788574,0.7037997245788574
18,0,0,0.0,1,Sub,Brighton,Newcastle United,0,0,2020-07-20,12005,2019,410345,0.0,0,0,0,0.0,0.0,0.0
19,0,0,0.0,1,Sub,Norwich,Brighton,0,1,2020-07-04,11969,2019,405088,0.0,0,0,0,0.0,0.0,0.0
20,0,1,0.0235031023621559,90,DC,Brighton,Manchester United,0,3,2020-06-30,11956,2019,404131,0.0,0,0,0,0.0235031023621559,0.0,0.0
21,0,0,0.0,67,Sub,Leicester,Brighton,0,0,2020-06-23,11945,2019,402054,0.0,0,0,0,0.0,0.0,0.0
22,0,1,0.0533986426889896,90,DC,Sheffield United,Brighton,1,1,2020-02-22,11909,2019,387168,0.0994158685207367,0,1,0,0.0533986426889896,0.0191729422658681,0.0191729422658681
23,0,0,0.0,90,DC,Brighton,Watford,1,1,2020-02-08,11895,2019,386880,0.0,0,0,0,0.0,0.4160044193267822,0.4160044193267822
24,0,0,0.0,90,DC,Everton,Brighton,1,0,2020-01-11,11860,2019,385891,0.0346608087420463,0,1,0,0.0,0.0346608087420463,0.0
