goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0.0,80,FW,Crystal Palace,Manchester United,1,0,2022-05-22,16751,2021,537808,0.0567405335605144,0,1,0,0.0,0.0567405335605144,0.0
1,0,0,0.0,18,Sub,Aston Villa,Crystal Palace,1,1,2022-05-15,16745,2021,536134,0.0,0,0,0,0.0,0.0584178939461708,0.0584178939461708
2,0,1,0.0877275913953781,90,FW,Crystal Palace,Watford,1,0,2022-05-07,16730,2021,532536,0.0528081469237804,0,1,0,0.0877275913953781,0.441451758146286,0.3009160161018371
3,0,3,0.1854229420423507,90,FW,Newcastle United,Crystal Palace,1,0,2022-04-20,16671,2021,527909,0.0846819877624511,0,1,0,0.1854229420423507,0.2192582637071609,0.0
4,0,0,0.0,13,Sub,Crystal Palace,Arsenal,3,0,2022-04-04,16682,2021,523957,0.0,0,0,0,0.0,0.0,0.0
5,0,1,0.1058751791715622,23,Sub,Crystal Palace,Manchester City,0,0,2022-03-14,16660,2021,520650,0.044591087847948,0,1,0,0.1058751791715622,0.1504662632942199,0.044591087847948
6,0,0,0.0,1,Sub,Watford,Crystal Palace,1,4,2022-02-23,16553,2021,515393,0.0,0,0,0,0.0,0.0,0.0
7,0,0,0.0,73,FW,Brentford,Crystal Palace,0,0,2022-02-12,16616,2021,512667,0.3671614825725555,0,2,0,0.0,0.3671614825725555,0.0
8,0,0,0.0,8,Sub,Norwich,Crystal Palace,1,1,2022-02-09,16609,2021,512168,0.0,0,0,0,0.0,0.0,0.0
9,1,2,0.5089977979660034,69,FWL,Crystal Palace,Liverpool,1,3,2022-01-23,16599,2021,510184,0.0,0,0,1,0.5089977979660034,1.1145381927490234,0.6055403351783752
10,0,0,0.0,69,FW,Brighton,Crystal Palace,1,1,2022-01-14,16587,2021,507840,0.0,0,0,0,0.0,0.0,0.0
11,1,5,1.2473094463348389,90,FWL,Crystal Palace,West Ham,2,3,2022-01-01,16579,2021,505517,0.1009868383407592,0,2,1,1.2473094463348389,1.5060997009277344,0.157803326845169
12,1,6,1.1624749898910522,90,FWL,Crystal Palace,Norwich,3,0,2021-12-28,16570,2021,505267,0.2489175796508789,2,3,0,0.4013060927391052,0.5099631547927856,0.0
13,0,0,0.0,65,FW,Tottenham,Crystal Palace,3,0,2021-12-26,16563,2021,505060,0.0781810954213142,0,1,0,0.0,0.0781810954213142,0.0
14,0,4,0.967114269733429,90,FW,Crystal Palace,Southampton,2,2,2021-12-15,16542,2021,503254,0.0959078669548034,1,1,0,0.967114269733429,1.0630221366882324,0.0
15,0,3,0.2345127165317535,76,FW,Crystal Palace,Everton,3,1,2021-12-12,16531,2021,502616,0.0209886394441127,0,1,0,0.2345127165317535,0.2030307799577713,0.0
16,0,0,0.0,22,Sub,Manchester United,Crystal Palace,1,0,2021-12-05,16519,2021,500531,0.0,0,0,0,0.0,0.0,0.0
17,0,0,0.0,70,FWL,Leeds,Crystal Palace,1,0,2021-11-30,16508,2021,498753,0.0,0,0,0,0.0,0.1039897426962852,0.1039897426962852
18,0,1,0.062968336045742,15,Sub,Crystal Palace,Aston Villa,1,2,2021-11-27,16501,2021,497440,0.0,0,0,0,0.062968336045742,0.062968336045742,0.0
19,0,0,0.0,1,Sub,Burnley,Crystal Palace,3,3,2021-11-20,16487,2021,495727,0.0,0,0,0,0.0,0.0,0.0
20,0,4,0.6187760233879089,83,FWL,Crystal Palace,Wolverhampton Wanderers,2,0,2021-11-06,16480,2021,494031,0.8128463625907898,0,1,0,0.6187760233879089,1.3772145509719849,0.0
21,0,0,0.0,78,FWL,Manchester City,Crystal Palace,0,2,2021-10-30,16470,2021,492262,0.0,0,0,0,0.0,0.148193672299385,0.148193672299385
22,0,1,0.0670299902558326,90,AML,Crystal Palace,Newcastle United,1,1,2021-10-23,16460,2021,489946,0.0,0,0,0,0.0670299902558326,1.0284099578857422,0.9613799452781676
23,1,2,0.1963071823120117,85,AML,Arsenal,Crystal Palace,2,2,2021-10-18,16446,2021,489382,0.0792870596051216,1,3,1,0.1963071823120117,0.4042775928974151,0.1286833584308624
24,0,2,0.307602047920227,87,FW,Crystal Palace,Leicester,2,2,2021-10-03,16439,2021,487000,0.0997177436947822,0,2,0,0.307602047920227,0.5005007982254028,0.0931809842586517
25,0,1,0.0585113503038883,74,FW,Crystal Palace,Brighton,1,1,2021-09-27,16435,2021,485986,0.0,0,0,0,0.0585113503038883,0.0585113503038883,0.0
