goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0.0,90,DC,Newcastle United,Wolverhampton Wanderers,1,0,2022-04-08,16689,2021,524201,0.0,0,0,0,0.0,0.0850001275539398,0.0850001275539398
1,0,0,0.0,90,DC,Wolverhampton Wanderers,Aston Villa,2,1,2022-04-02,16676,2021,522832,0.0,0,0,0,0.0,0.1379322558641433,0.1379322558641433
2,0,0,0.0,90,DC,Everton,Wolverhampton Wanderers,0,1,2022-03-13,16661,2021,519967,0.0,0,0,0,0.0,0.1208397671580314,0.1208397671580314
3,0,0,0.0,83,DC,Wolverhampton Wanderers,Crystal Palace,0,2,2022-03-05,16655,2021,517607,0.0,0,0,0,0.0,0.0335633382201194,0.0335633382201194
4,0,1,0.0718922093510627,90,DC,West Ham,Wolverhampton Wanderers,1,0,2022-02-27,16645,2021,516502,0.0,0,0,0,0.0718922093510627,0.0571116395294666,0.0571116395294666
5,0,0,0.0,90,DC,Arsenal,Wolverhampton Wanderers,2,1,2022-02-24,16566,2021,515413,0.0,0,0,0,0.0,0.2981797456741333,0.2981797456741333
6,0,2,0.1233731657266616,90,DC,Wolverhampton Wanderers,Leicester,2,1,2022-02-20,16635,2021,514958,0.0,0,0,0,0.1233731657266616,0.0770586282014846,0.0770586282014846
7,0,0,0.0,90,DC,Tottenham,Wolverhampton Wanderers,0,2,2022-02-13,16624,2021,513318,0.0,0,0,0,0.0,0.0502841472625732,0.0502841472625732
8,0,0,0.0,90,DC,Wolverhampton Wanderers,Arsenal,0,1,2022-02-10,16611,2021,512255,0.0,0,0,0,0.0,0.0981511026620864,0.0981511026620864
9,0,0,0.0,90,DC,Brentford,Wolverhampton Wanderers,1,2,2022-01-22,16597,2021,509800,0.0,0,0,0,0.0,0.0939756408333778,0.0939756408333778
10,0,1,0.1043179407715797,90,DC,Wolverhampton Wanderers,Southampton,3,1,2022-01-15,16595,2021,508138,0.0,0,0,0,0.1043179407715797,0.0,0.0
11,0,0,0.0,90,DC,Manchester United,Wolverhampton Wanderers,0,1,2022-01-03,16583,2021,505893,0.0,0,0,0,0.0,0.0237223990261554,0.0237223990261554
12,0,0,0.0,90,DC,Wolverhampton Wanderers,Chelsea,0,0,2021-12-19,16555,2021,503999,0.0,0,0,0,0.0,0.2655422389507293,0.2655422389507293
13,0,0,0.0,90,DC,Brighton,Wolverhampton Wanderers,0,1,2021-12-15,16538,2021,503289,0.0,0,0,0,0.0,0.4965260624885559,0.4965260624885559
14,0,1,0.0655799955129623,90,DC,Manchester City,Wolverhampton Wanderers,1,0,2021-12-11,16534,2021,501386,0.0,0,0,0,0.0655799955129623,0.0655799955129623,0.0655799955129623
15,0,0,0.0,90,DC,Wolverhampton Wanderers,Liverpool,0,1,2021-12-04,16525,2021,499917,0.0,0,0,0,0.0,0.0,0.0
16,0,0,0.0,90,DC,Wolverhampton Wanderers,Burnley,0,0,2021-12-01,16511,2021,498975,0.1173662170767784,0,1,0,0.0,0.4164803326129913,0.2991141080856323
17,0,0,0.0,90,DC,Norwich,Wolverhampton Wanderers,0,0,2021-11-27,16505,2021,497389,0.0,0,0,0,0.0,0.1001906096935272,0.1001906096935272
18,0,2,0.3322028219699859,90,DC,Wolverhampton Wanderers,West Ham,1,0,2021-11-20,16495,2021,495760,0.0,0,0,0,0.3322028219699859,0.4273136556148529,0.4273136556148529
19,0,0,0.0,90,DC,Crystal Palace,Wolverhampton Wanderers,2,0,2021-11-06,16480,2021,494038,0.0,0,0,0,0.0,0.0,0.0
20,1,1,0.0989189222455024,90,DC,Wolverhampton Wanderers,Everton,2,1,2021-11-01,16475,2021,493485,0.0,0,0,1,0.0989189222455024,0.635411262512207,0.635411262512207
21,0,1,0.0364875495433807,90,DC,Leeds,Wolverhampton Wanderers,1,1,2021-10-23,16462,2021,490009,0.0,0,0,0,0.0364875495433807,0.0,0.0
