goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0.0,74,MC,Southampton,Liverpool,1,2,2022-05-17,16740,2021,536754,0.0,0,0,0,0.0,0.0,0.0
1,0,0,0.0,66,MC,Brentford,Southampton,3,0,2022-05-07,16734,2021,534221,0.1127232611179351,0,2,0,0.0,0.343449205160141,0.230725958943367
2,0,0,0.0,42,Sub,Southampton,Chelsea,0,6,2022-04-09,16687,2021,524616,0.0,0,0,0,0.0,0.4439737498760223,0.4439737498760223
3,0,1,0.0178514309227466,90,MC,Leeds,Southampton,1,1,2022-04-02,16681,2021,522824,0.0,0,0,0,0.0178514309227466,0.1635203957557678,0.1456689685583114
4,0,0,0.0,12,Sub,Aston Villa,Southampton,4,0,2022-03-05,16646,2021,517520,0.0456367023289203,0,2,0,0.0,0.0456367023289203,0.0114779230207204
5,0,0,0.0,1,Sub,Manchester United,Southampton,1,1,2022-02-12,16621,2021,512429,0.0,0,0,0,0.0,0.0,0.0
6,0,0,0.0,1,Sub,Tottenham,Southampton,2,3,2022-02-09,16613,2021,512198,0.0,0,0,0,0.0,0.0,0.0
7,0,1,0.036506425589323,6,Sub,Southampton,Manchester City,1,1,2022-01-22,16604,2021,509919,0.0,0,0,0,0.036506425589323,0.036506425589323,0.0
8,0,0,0.0,50,MC,Wolverhampton Wanderers,Southampton,3,1,2022-01-15,16595,2021,508158,0.0126301050186157,0,1,0,0.0,0.0442655123770237,0.0442655123770237
9,0,2,0.0624899752438068,90,MC,Southampton,Brentford,4,1,2022-01-11,16551,2021,507738,0.3896586894989013,1,3,0,0.0624899752438068,0.8451104760169983,0.4745112359523773
10,0,0,0.0,90,MC,Southampton,Tottenham,1,1,2021-12-28,16575,2021,505238,0.09139284491539,0,3,0,0.0,0.09139284491539,0.0
11,0,0,0.0,1,Sub,West Ham,Southampton,2,3,2021-12-26,16564,2021,505145,0.0273351408541202,0,1,0,0.0,0.0273351408541202,0.0
12,0,0,0.0,90,MC,Arsenal,Southampton,3,0,2021-12-11,16526,2021,501717,0.0,0,0,0,0.0,0.0674656853079795,0.0674656853079795
13,0,0,0.0,90,MR,Norwich,Southampton,2,1,2021-11-20,16492,2021,495803,0.1687777638435363,0,2,0,0.0,0.51005619764328,0.3412784337997436
14,0,0,0.0,12,Sub,Southampton,Aston Villa,1,0,2021-11-05,16484,2021,493617,0.0,0,0,0,0.0,0.0,0.0
15,0,0,0.0,8,Sub,Watford,Southampton,0,1,2021-10-30,16474,2021,492209,0.0,0,0,0,0.0,0.0,0.0
16,0,2,0.0407735928893089,90,MC,Southampton,Burnley,2,2,2021-10-23,16464,2021,489916,0.1088647842407226,1,1,0,0.0407735928893089,0.3731650114059448,0.2235266417264938
17,0,0,0.0,90,MC,Southampton,Leeds,1,0,2021-10-16,16454,2021,488190,0.0,0,0,0,0.0,0.6208183765411377,0.6208183765411377
18,0,0,0.0,41,Sub,Chelsea,Southampton,3,1,2021-10-02,16438,2021,486489,0.0858654752373695,0,1,0,0.0,0.0858654752373695,0.0
19,0,1,0.1203117296099662,36,Sub,Southampton,West Ham,0,0,2021-09-11,16411,2021,480330,0.0,0,0,0,0.1203117296099662,0.1386673599481582,0.0183556377887725
20,0,0,0.0,1,Sub,Newcastle United,Southampton,2,2,2021-08-28,16397,2021,478991,0.0,0,0,0,0.0,0.0195948742330074,0.0195948742330074
21,0,0,0.0,18,Sub,Southampton,Manchester United,1,1,2021-08-22,16392,2021,477543,0.0,0,0,0,0.0,0.0,0.0
22,0,1,0.0586502626538276,9,Sub,Everton,Southampton,3,1,2021-08-14,16380,2021,475526,0.0,0,0,0,0.0586502626538276,0.0,0.0
23,0,2,0.0644775703549385,90,MC,West Ham,Southampton,3,0,2021-05-23,14813,2020,473468,0.4093373715877533,0,2,0,0.0644775703549385,0.6537371277809143,0.1799222230911255
24,0,0,0.0,11,Sub,Southampton,Leeds,0,2,2021-05-18,14802,2020,472332,0.0554952025413513,0,1,0,0.0,0.0554952025413513,0.0
25,0,0,0.0,11,Sub,Southampton,Fulham,3,1,2021-05-15,14792,2020,470986,0.0,0,0,0,0.0,0.0,0.0
26,0,1,0.0549185536801815,23,Sub,Liverpool,Southampton,2,0,2021-05-08,14780,2020,469018,0.0,0,0,0,0.0549185536801815,0.0549185536801815,0.0
27,0,0,0.0,11,Sub,Southampton,Leicester,1,1,2021-04-30,14772,2020,466691,0.0,0,0,0,0.0,0.0,0.0
28,0,0,0.0,32,Sub,Tottenham,Southampton,2,1,2021-04-21,14722,2020,464305,0.0,0,0,0,0.0,0.0,0.0
29,0,0,0.0,90,MC,West Bromwich Albion,Southampton,3,0,2021-04-12,14743,2020,462373,0.0,0,0,0,0.0,0.1932549327611923,0.1932549327611923
30,0,2,0.0479714907705783,90,MC,Southampton,Burnley,3,2,2021-04-04,14733,2020,460036,0.0,0,0,0,0.0479714907705783,1.1369259357452393,1.0889544486999512
31,0,0,0.0,90,MC,Southampton,Brighton,1,2,2021-03-14,14713,2020,456747,0.0191648658365011,0,1,0,0.0,0.1468633413314819,0.1468633413314819
32,0,0,0.0,24,Sub,Manchester City,Southampton,5,2,2021-03-10,14761,2020,455784,0.0,0,0,0,0.0,0.0,0.0
33,0,0,0.0,90,MC,Sheffield United,Southampton,0,2,2021-03-06,14701,2020,454654,0.0637929216027259,0,2,0,0.0,0.5860958099365234,0.5417654514312744
34,0,0,0.0,60,MC,Southampton,Aston Villa,0,1,2021-01-30,14641,2020,445948,0.0518557913601398,0,2,0,0.0,0.0871323496103286,0.0703053772449493
