assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position,team,fpl_name
0,0,0,0,0,0.0,645,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,10,0,0,0,0,1,0,2989,0,1,0,0.0,0,0,0,0,50,True,0,645,,,Youssef Ramalho Chermiti
1,0,0,0,0,0.0,645,0.0,0.0,0.0,0.0,11,0,0,0.0,0.0,2023-08-20T13:00:00Z,0,2,0,0,0,0,2,0,5544,0,0,4,0.0,0,270,1044,774,50,False,0,645,,,Youssef Ramalho Chermiti
2,0,0,-2,0,0.5,645,0.03,0.09,0.06,0.57,27,1,0,0.6,0.0,2023-08-26T14:00:00Z,24,20,0,0,0,0,3,0,5273,0,1,0,7.0,0,-694,437,1131,50,True,1,645,,,Youssef Ramalho Chermiti
3,0,0,0,0,0.0,645,0.0,0.0,0.0,0.0,40,0,0,0.0,0.0,2023-09-02T11:30:00Z,0,17,0,0,0,0,4,0,5051,0,2,2,0.0,0,-597,446,1043,50,False,0,645,,,Youssef Ramalho Chermiti
4,0,0,2,0,1.1,645,0.0,0.0,0.0,0.0,43,0,0,0.1,0.0,2023-09-17T15:30:00Z,2,1,0,0,0,0,5,0,4734,0,1,0,0.0,1,-683,358,1041,49,True,0,645,,,Youssef Ramalho Chermiti
5,0,0,0,0,0.0,645,0.0,0.0,0.0,0.0,52,0,0,0.0,0.0,2023-09-23T16:30:00Z,0,4,0,0,0,0,6,0,4816,0,3,1,0.0,0,-109,311,420,49,False,0,645,,,Youssef Ramalho Chermiti
6,0,0,0,0,0.0,645,0.0,0.0,0.0,0.0,63,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,12,0,0,0,0,7,0,4900,0,2,1,0.0,0,-29,490,519,49,True,0,645,,,Youssef Ramalho Chermiti
7,0,0,2,0,0.1,645,0.0,0.0,0.0,0.0,75,0,0,0.0,0.0,2023-10-07T14:00:00Z,1,3,0,0,0,0,8,0,4802,0,0,3,0.0,1,-230,200,430,49,True,0,645,,,Youssef Ramalho Chermiti
8,0,0,1,0,0.0,645,0.0,0.0,0.0,0.59,85,1,0,0.2,0.0,2023-10-21T11:30:00Z,2,11,0,0,0,0,9,0,5040,0,0,2,2.0,1,40,329,289,49,False,0,645,,,Youssef Ramalho Chermiti
9,0,0,2,0,0.0,645,0.0,0.0,0.0,0.03,99,0,0,0.0,0.0,2023-10-29T13:00:00Z,1,19,0,0,0,0,10,0,4969,0,1,0,0.0,1,-152,200,352,49,False,0,645,,,Youssef Ramalho Chermiti
10,0,0,0,0,0.0,645,0.0,0.0,0.0,0.0,103,0,0,0.0,0.0,2023-11-04T15:00:00Z,0,5,0,0,0,0,11,0,5106,0,1,1,0.0,0,26,307,281,49,True,0,645,,,Youssef Ramalho Chermiti
11,0,0,0,0,0.0,645,0.0,0.0,0.0,0.0,116,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,8,0,0,0,0,12,0,5257,0,3,2,0.0,0,43,319,276,49,False,0,645,,,Youssef Ramalho Chermiti
12,0,0,5,0,11.8,645,0.0,0.23,0.23,0.18,123,0,0,1.8,0.0,2023-11-26T16:30:00Z,8,14,0,0,0,0,13,0,5158,0,3,0,8.0,1,-180,160,340,49,True,0,645,,,Youssef Ramalho Chermiti
13,0,0,3,0,0.0,645,0.0,0.0,0.0,0.1,139,0,0,0.0,0.0,2023-12-02T17:30:00Z,8,16,0,0,0,0,14,0,5325,0,1,0,0.0,1,96,304,208,49,False,0,645,,,Youssef Ramalho Chermiti
14,0,0,0,0,0.0,645,0.0,0.0,0.0,0.0,144,0,0,0.0,0.0,2023-12-07T19:30:00Z,0,15,0,0,0,0,15,0,5261,0,0,3,0.0,0,-111,108,219,49,True,0,645,,,Youssef Ramalho Chermiti
