,assists_x,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,23,1,0.0,559,31,0,0,0.9,9.0,2021-09-11,90,15,0,0,0,0,4,1,17374,0,1,0.0,6,6113,10225,4112,45,True,0,0,0,0,90,GK,Arsenal,Norwich,1,0,16407,2021,480265,0.0,0,0,0,0,0.0184369329363107,0.0184369329363107
1,0,2,32,1,0.0,559,43,0,0,2.6,26.4,2021-09-18,90,5,0,0,0,0,5,3,77277,1,0,0.0,9,52488,65020,12532,45,False,0,0,0,0,90,GK,Burnley,Arsenal,0,1,16419,2021,482072,0.0,0,0,0,0,0.1473787724971771,0.1473787724971771
2,0,0,13,0,0.0,559,51,1,0,2.0,19.8,2021-09-26,90,17,0,0,0,0,6,3,139625,1,3,0.0,3,55176,65509,10333,45,True,0,0,0,0,90,GK,Arsenal,Tottenham,3,1,16434,2021,485613,0.0,0,0,0,0,0.0504952669143676,0.0504952669143676
3,0,0,26,1,0.0,559,61,0,0,1.5,15.0,2021-10-02,90,4,0,0,0,0,7,2,312525,0,0,0.0,6,155959,169174,13215,45,False,0,0,0,0,90,GK,Brighton,Arsenal,0,0,16436,2021,486703,0.0,0,0,0,0,0.0558524876832962,0.0558524876832962
4,0,0,16,0,0.0,559,71,2,0,1.9,18.6,2021-10-18,90,7,0,0,0,0,8,4,514981,2,2,0.0,2,188376,206864,18488,46,True,0,0,0,0,90,GK,Arsenal,Crystal Palace,2,2,16446,2021,489359,0.0,0,0,0,0,0.116495706140995,0.116495706140995
5,0,0,15,0,0.0,559,81,1,0,2.3,23.0,2021-10-22,90,2,0,0,0,0,9,3,530588,1,3,0.0,3,19768,42094,22326,46,True,0,0,0,0,90,GK,Arsenal,Aston Villa,3,1,16456,2021,489543,0.0,0,0,0,0,0.0705933943390846,0.0705933943390846
6,0,2,38,1,0.0,559,93,0,0,5.1,50.8,2021-10-30,90,9,0,0,0,0,10,8,568492,2,0,0.0,10,31397,56736,25339,46,False,0,0,0,0,90,GK,Leicester,Arsenal,0,2,16468,2021,491922,0.0,0,0,0,0,0.0332117415964603,0.0332117415964603
7,0,1,27,1,0.0,559,101,0,0,0.8,7.6,2021-11-07,90,18,0,0,0,0,11,1,824308,0,1,0.0,7,225960,234062,8102,47,True,0,0,0,0,90,GK,Arsenal,Watford,1,0,16476,2021,494497,0.0,0,0,0,0,0.0,0.0
8,0,0,21,0,0.0,559,114,4,0,4.5,44.6,2021-11-20,90,11,0,0,0,0,12,5,952960,0,4,0.0,1,122052,153475,31423,48,False,0,0,0,0,90,GK,Liverpool,Arsenal,4,0,16489,2021,495942,0.0,0,0,0,0,0.0809720233082771,0.0809720233082771
9,0,0,29,1,0.0,559,121,0,0,3.0,30.4,2021-11-27,90,14,0,0,0,0,13,5,1072429,0,2,0.0,7,102529,116089,13560,48,True,0,0,0,0,90,GK,Arsenal,Newcastle United,2,0,16496,2021,497070,0.0,0,0,0,0,0.0380198992788791,0.0380198992788791
10,0,0,23,0,0.0,559,134,3,0,4.7,47.4,2021-12-02,90,13,0,0,0,0,14,7,1125402,2,3,0.0,3,52163,74772,22609,49,False,0,0,0,0,90,GK,Manchester United,Arsenal,3,2,16512,2021,499477,0.0,0,0,0,0,0.0463460125029087,0.0463460125029087
11,0,0,15,0,0.0,559,142,2,0,2.5,24.6,2021-12-06,90,8,0,0,0,0,15,3,1222798,1,2,0.0,2,88066,101275,13209,49,False,0,0,0,0,90,GK,Everton,Arsenal,2,1,16517,2021,501151,0.0,0,0,0,0,0.3245296478271484,0.3245296478271484
12,0,3,34,1,0.0,559,151,0,0,4.2,42.2,2021-12-11,90,16,0,0,0,0,16,6,1368378,0,3,0.0,11,125567,145629,20062,50,True,0,0,0,0,90,GK,Arsenal,Southampton,3,0,16526,2021,501696,0.0,0,0,0,0,0.360835999250412,0.360835999250412
13,0,0,18,1,0.0,559,161,0,0,1.0,10.4,2021-12-15,90,19,0,0,0,0,17,1,1459440,0,2,0.0,5,96475,114182,17707,50,True,1,0,0,0,90,GK,Arsenal,West Ham,2,0,16536,2021,503301,0.0,0,0,0,0,0.1838010847568512,0.1838010847568512
14,0,0,10,0,0.0,559,173,1,0,0.7,7.2,2021-12-18,90,10,0,0,0,0,18,1,1802585,4,1,0.0,2,255408,268533,13125,51,False,0,0,0,0,90,GK,Leeds,Arsenal,1,4,16548,2021,503858,0.0,0,0,0,0,0.1262088268995285,0.1262088268995285
