,assists_x,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,15,1,27.8,221,44,0,0,7.7,25.6,2021-09-18,90,7,0,0,0,0,5,0,5736,0,3,24.0,3,-88,466,554,49,True,0,0,1,0.0477878525853157,90,DR,Liverpool,Crystal Palace,3,0,16420,2021,482087,0.0498632080852985,0,1,0,0.0477878525853157,0.5639351606369019,0.4662841260433197
1,0,0,8,0,19.6,221,66,1,0,3.2,8.6,2021-10-03,77,12,0,0,0,0,7,0,7301,2,2,4.0,1,380,1004,624,49,True,1,0,0,0.0,79,DR,Liverpool,Manchester City,2,2,16441,2021,487408,0.028604544699192,0,1,0,0.0,0.4954288899898529,0.4954288899898529
2,1,1,35,1,48.5,221,80,0,0,9.1,36.2,2021-10-16,82,18,0,0,0,0,8,0,8288,5,0,6.0,7,620,1517,897,49,False,0,0,1,0.1091608926653862,84,MC,Watford,Liverpool,0,5,16455,2021,487852,1.073153734207153,1,4,0,0.1091608926653862,1.3354721069335938,1.2743552923202517
3,0,0,3,0,0.3,221,88,0,0,0.0,0.0,2021-10-24,26,13,0,0,0,0,9,0,10435,5,0,0.0,1,1620,2679,1059,49,False,0,0,0,0.0,26,MC,Manchester United,Liverpool,0,5,16463,2021,490857,0.0,0,0,0,0.0,0.3534424901008606,0.3534424901008606
4,0,0,3,0,2.2,221,128,0,0,0.5,1.4,2021-11-27,23,16,0,0,0,0,13,0,6869,0,4,1.0,1,-127,134,261,49,True,0,0,1,0.022853722795844,21,Sub,Liverpool,Southampton,4,0,16503,2021,497414,0.0,0,0,0,0.022853722795844,0.1246981620788574,0.1018444374203682
5,0,0,5,0,0.8,221,132,0,0,0.5,4.4,2021-12-01,15,8,0,0,0,0,14,0,6935,4,1,0.0,1,12,184,172,49,False,0,0,0,0.0,12,Sub,Everton,Liverpool,1,4,16507,2021,499373,0.0,0,0,0,0.0,0.2820680439472198,0.2820680439472198
6,0,0,3,0,0.0,221,150,0,0,0.0,0.0,2021-12-04,1,20,0,0,0,0,15,0,6951,1,0,0.0,1,-31,187,218,49,False,0,0,0,0.0,1,Sub,Wolverhampton Wanderers,Liverpool,0,1,16525,2021,499941,0.0,0,0,0,0.0,0.0,0.0
7,0,0,3,0,0.6,221,158,0,0,0.2,1.0,2021-12-11,6,2,0,0,0,0,16,0,6968,0,1,0.0,1,-67,166,233,49,True,0,0,0,0.0,3,Sub,Liverpool,Aston Villa,1,0,16533,2021,501653,0.0,0,0,0,0.0,0.0,0.0
8,0,0,3,0,0.5,221,169,0,0,0.2,1.0,2021-12-16,1,14,0,0,0,0,17,0,6986,1,3,0.0,1,-25,128,153,49,True,0,0,0,0.0,1,Sub,Liverpool,Newcastle United,3,1,16544,2021,503369,0.0,0,0,0,0.0,0.0,0.0
9,0,0,14,0,30.7,221,177,2,0,7.4,25.4,2021-12-19,90,17,0,0,0,0,18,0,7088,2,2,18.0,2,-9,143,152,49,False,0,0,3,0.0618792660534381,90,MC,Tottenham,Liverpool,2,2,16552,2021,504161,0.0643641352653503,0,2,0,0.0618792660534381,0.1916353851556778,0.1120607629418373
10,0,0,13,0,16.6,221,197,0,0,3.3,14.4,2021-12-28,26,9,0,0,0,0,20,0,7438,0,1,2.0,1,136,244,108,49,False,0,0,0,0.0,25,Sub,Leicester,Liverpool,1,0,16573,2021,505340,0.023745696991682,0,1,0,0.0,0.1534780263900756,0.1534780263900756
11,0,0,10,0,1.2,221,203,2,0,2.7,25.8,2022-01-02,68,6,0,0,0,0,21,0,7307,2,2,0.0,2,-49,187,236,49,False,0,0,0,0.0,74,MC,Chelsea,Liverpool,2,2,16578,2021,505724,0.0,0,0,0,0.0,0.1161296814680099,0.1161296814680099
12,0,0,3,0,11.9,221,214,0,0,1.5,2.6,2022-01-16,12,3,0,0,0,0,22,0,7747,0,3,0.0,1,183,539,356,49,True,0,0,0,0.0,11,Sub,Liverpool,Brentford,3,0,16589,2021,508480,0.0775040611624717,0,1,0,0.0,0.0775040611624717,0.0775040611624717
13,0,0,2,0,0.0,221,224,0,0,0.2,2.2,2022-01-23,1,7,0,0,0,0,23,0,7553,3,1,0.0,1,-105,114,219,49,False,0,0,0,0.0,1,Sub,Crystal Palace,Liverpool,1,3,16599,2021,510200,0.0,0,0,0,0.0,0.0,0.0
14,0,0,3,0,0.0,221,242,0,0,0.0,0.0,2022-02-13,1,5,0,0,0,0,25,0,7447,1,0,0.0,1,-106,57,163,49,False,0,0,0,0.0,1,Sub,Burnley,Liverpool,0,1,16617,2021,513151,0.0,0,0,0,0.0,0.0,0.0
15,0,0,4,0,14.8,221,184,0,0,2.6,3.4,2022-02-23,13,10,0,0,0,0,26,0,7394,0,6,8.0,1,-82,76,158,49,True,0,0,1,0.0326529070734977,11,Sub,Liverpool,Leeds,6,0,16559,2021,515353,0.133993312716484,0,1,0,0.0326529070734977,0.133993312716484,0.0
16,0,0,3,0,0.1,221,274,0,0,0.0,0.2,2022-03-05,1,19,0,0,0,0,28,0,7274,0,1,0.0,1,-43,49,92,49,True,0,0,0,0.0,1,Sub,Liverpool,West Ham,1,0,16649,2021,517767,0.0,0,0,0,0.0,0.0,0.0
