assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,team_h_difficulty,team_a_difficulty,event
0,0,24,1,17.1,335,0.13,0.13,0.0,0.41,4,0,0,3.3,12.0,2024-08-17,78,0,0,0,0,0,0,0,False,10,0,0,0,0,1,0,392551,1,2,0,4.0,6,0,0,0,60,False,0,335,0,0,0.0,80,DL,Ipswich,Liverpool,0,2,26603,2024,666252,0.0481887757778167,0,1,0,0.0,1.798518180847168,1.798518180847168,1688,Liverpool,5,2,1
0,0,29,1,47.1,335,0.19,0.49,0.3,0.36,16,0,0,12.1,22.0,2024-08-25,90,0,0,0,0,0,0,0,False,4,0,0,0,0,2,0,472797,1,0,2,52.0,6,17476,45348,27872,60,True,0,335,0,2,0.4957362115383148,90,DL,Liverpool,Brentford,2,0,26621,2024,668951,0.159635990858078,0,3,0,0.4957362115383148,1.3992499113082886,0.8712024092674255,1688,Liverpool,3,5,2
0,0,25,1,22.0,335,0.07,0.07,0.0,1.34,27,0,0,3.2,9.6,2024-09-01,82,0,0,0,0,0,0,0,False,14,0,0,0,0,3,0,529916,1,3,0,0.0,6,33734,106687,72953,60,False,0,335,0,0,0.0,88,DL,Manchester United,Liverpool,0,3,26631,2024,672631,0.0354180969297885,0,1,0,0.0,0.0354180969297885,0.0,1688,Liverpool,5,3,3
0,0,6,0,20.9,335,0.09,0.09,0.0,0.25,36,1,0,2.4,3.0,2024-09-14,74,0,0,0,0,0,0,0,False,16,0,0,0,0,4,0,791285,1,1,0,0.0,1,223672,338191,114519,60,True,1,335,0,0,0.0,78,DL,Liverpool,Nottingham Forest,0,1,26635,2024,673768,0.0547658987343311,0,1,0,0.0,0.1341885924339294,0.1341885924339294,1688,Liverpool,4,5,4
0,0,33,1,24.1,335,0.02,0.1,0.08,1.08,46,0,0,4.0,12.2,2024-09-21,90,0,0,0,0,0,0,0,False,3,0,0,0,0,5,0,810736,1,0,3,4.0,6,16778,60027,43249,60,True,0,335,0,1,0.0391244180500507,90,DL,Liverpool,Bournemouth,3,0,26645,2024,675687,0.3443487584590912,0,2,0,0.0391244180500507,1.4377806186676023,1.3758660554885864,1688,Liverpool,3,5,5
0,0,14,0,27.0,335,0.56,0.56,0.0,0.63,60,1,0,4.5,9.6,2024-09-28,88,0,0,0,0,0,0,0,False,20,0,0,0,0,6,0,771425,1,2,1,8.0,2,-44018,62803,106821,60,False,0,335,0,0,0.0,90,DL,Wolverhampton Wanderers,Liverpool,1,2,26658,2024,678068,0.6266660094261169,0,1,0,0.0,0.7054303288459778,0.7054303288459778,1688,Liverpool,5,3,6
0,0,3,0,0.6,335,0.0,0.0,0.0,0.14,66,0,0,0.2,1.8,2024-10-05,11,0,0,0,0,0,0,0,False,7,0,0,0,0,7,0,732433,0,1,0,0.0,1,-44068,22141,66209,60,False,0,335,0,0,0.0,9,Sub,Crystal Palace,Liverpool,0,1,26662,2024,679201,0.0,0,0,0,0.0,0.0545404031872749,0.0545404031872749,1688,Liverpool,5,3,7
0,0,10,0,11.4,335,0.01,0.01,0.0,0.99,74,1,0,3.1,19.8,2024-10-20,90,0,0,0,0,0,0,0,False,6,0,0,0,0,8,0,653477,1,1,2,0.0,2,-83389,7913,91302,60,True,0,335,0,0,0.0,90,DL,Liverpool,Chelsea,2,1,26679,2024,682187,0.0766523703932762,0,1,0,0.0,0.100581593811512,0.100581593811512,1688,Liverpool,3,5,8
0,0,2,0,0.5,335,0.0,0.0,0.0,0.8,81,2,0,0.5,4.6,2024-10-27,62,0,0,0,0,0,0,0,False,1,0,0,0,0,9,0,622000,1,2,2,0.0,1,-34732,12091,46823,60,False,0,335,0,0,0.0,67,DL,Arsenal,Liverpool,2,2,26691,2024,683714,0.0,0,0,0,0.0,0.017184779047966,0.017184779047966,1688,Liverpool,5,5,9
0,2,34,1,32.6,335,0.26,0.26,0.0,1.38,105,0,0,6.2,19.6,2024-11-09,90,0,0,0,0,0,0,0,False,2,0,0,0,0,11,0,523538,1,0,2,10.0,8,-67486,5997,73483,59,True,0,335,0,0,0.0,90,DL,Liverpool,Aston Villa,2,0,26707,2024,686973,0.4674590826034546,0,2,0,0.0,0.687980055809021,0.2205210030078888,1688,Liverpool,3,5,11
