assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers
0,0,8,0,0.8,594,0.0,0.03,0.03,0.96,1,2,0,3.0,8.6,2023-08-11,60,13,0,0,0,0,1,0,11392,1,3,0,21.0,2,0,0,0,5.5,True,0,0,1,0.0612575747072696,66,Burnley,Manchester City,0,3,22275,2023,603613,0.0,0,0,0,0.0612575747072696,0.2169287949800491,0.1556712239980697,Burnley,5,2,1,0.4,FWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
0,0,3,0,2.6,594,0.02,0.07,0.05,2.49,25,3,0,1.6,3.6,2023-08-27,80,2,0,0,0,0,3,0,12888,1,3,1,10.0,2,-634,1296,1930,5.5,True,0,0,2,0.0496373809874057,84,Burnley,Aston Villa,1,3,22302,2023,607447,0.0,0,0,0,0.0496373809874057,0.0496373809874057,0.0,Burnley,3,2,3,1.5,FWD,0.0,0.0,0.03,0.03,0.96,2.0,0.0,3.0,8.6,0.8,21.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.22,0.16,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1496.0,-0.19652820830750156
0,0,7,0,15.8,594,0.18,0.21,0.03,1.35,34,3,0,3.5,14.0,2023-09-02,59,18,0,0,0,0,4,0,12509,1,5,2,5.0,1,-784,1086,1870,5.5,True,0,0,1,0.0226836558431386,65,Burnley,Tottenham,2,5,21929,2023,608684,0.4399324953556061,0,1,0,0.0226836558431386,1.0354710817337036,0.5728549361228943,Burnley,3,2,4,1.2,FWD,0.0,0.02,0.07,0.05,2.49,3.0,0.0,1.6,3.6,2.6,10.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,2.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-379.0,-0.2652232746955345
0,2,28,0,1.4,594,0.01,0.17,0.16,0.52,47,1,1,5.5,35.4,2023-09-18,63,16,0,0,0,0,5,0,11600,1,1,1,18.0,8,-1272,942,2214,5.4,False,0,1,3,0.1234044358134269,66,Nottingham Forest,Burnley,1,1,21944,2023,611605,0.0,0,0,1,0.1234044358134269,0.1234044358134269,0.0,Burnley,2,2,5,3.2,FWD,0.0,0.18,0.21,0.03,1.35,3.0,0.0,3.5,14.0,15.8,5.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,0.0,1.0,0.02,0.44,0.0,0.0,1.0,0.0,0.02,1.04,0.57,1.2,0.0,0.07,0.1,0.04,1.6,2.67,0.0,2.7,8.73,6.4,12.0,66.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.67,1.0,1.67,0.0,1.33,0.04,0.15,0.0,0.0,0.33,0.0,0.04,0.43,0.24,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-909.0,-0.40304182509505704
0,0,2,0,11.8,594,0.01,0.47,0.46,0.49,54,1,0,3.6,3.2,2023-09-23,72,14,0,0,0,0,6,0,14727,1,1,0,21.0,2,2777,4208,1431,5.4,True,0,0,2,0.4378433525562286,76,Burnley,Manchester United,0,1,21950,2023,612523,0.0485338270664215,0,1,0,0.4378433525562286,0.5191059112548828,0.0327287204563617,Burnley,3,2,6,2.2,FWD,0.0,0.01,0.17,0.16,0.52,1.0,1.0,5.5,35.4,1.4,18.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,1.0,3.0,0.12,0.0,0.0,0.0,0.0,1.0,0.12,0.12,0.0,3.2,0.0,0.07,0.15,0.08,1.45,2.33,0.33,3.53,17.67,6.6,11.0,67.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.33,3.67,0.33,2.0,0.07,0.15,0.0,0.0,0.33,0.33,0.07,0.4,0.19,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3127.0,0.4924632026955134
0,0,-3,0,0.0,594,0.0,0.3,0.3,1.91,66,1,0,2.1,2.4,2023-09-30,57,15,0,0,0,0,7,0,49441,1,0,2,19.0,0,30154,34182,4028,5.4,False,1,0,2,0.4473260045051574,60,Newcastle United,Burnley,2,0,21958,2023,614682,0.0,0,0,0,0.4473260045051574,0.4473260045051574,0.0,Burnley,2,4,7,5.0,FWD,0.0,0.01,0.47,0.46,0.49,1.0,0.0,3.6,3.2,11.8,21.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.44,0.05,0.0,0.0,1.0,0.0,0.44,0.52,0.03,2.2,0.0,0.07,0.28,0.22,0.79,1.67,0.33,4.2,17.53,9.67,14.67,64.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.33,1.0,3.67,0.33,2.0,0.19,0.16,0.0,0.0,0.67,0.33,0.19,0.56,0.2,2.2,0.0,0.04,0.19,0.15,1.16,2.0,0.2,3.44,12.96,6.48,15.0,66.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.6,0.8,3.0,0.2,1.8,0.14,0.1,0.0,0.0,0.4,0.2,0.14,0.39,0.15,1.7,34714.0,0.7891651400157027
0,0,4,1,22.8,594,0.03,0.32,0.29,1.0,15,0,0,8.5,15.8,2023-10-03,73,12,0,0,0,0,7,0,49441,1,2,1,46.0,2,30154,34182,4028,5.4,False,0,0,2,0.2008216083049774,78,Luton,Burnley,1,2,22289,2023,615892,0.0430491305887699,0,2,0,0.2008216083049774,0.110928863286972,0.0,Burnley,2,2,7,5.0,FWD,0.0,0.0,0.3,0.3,1.91,1.0,0.0,2.1,2.4,0.0,19.0,57.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.45,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.0,5.0,0.0,0.01,0.31,0.31,0.97,1.0,0.33,3.73,13.67,4.4,19.33,64.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.67,1.0,3.33,0.33,2.33,0.34,0.02,0.0,0.0,0.33,0.33,0.34,0.36,0.01,3.47,0.0,0.04,0.24,0.2,1.35,1.8,0.2,3.26,11.72,6.32,14.6,66.2,0.0,0.0,0.0,0.0,0.2,0.0,1.0,2.0,1.2,2.6,0.2,2.0,0.22,0.1,0.0,0.0,0.4,0.2,0.22,0.43,0.12,2.62,0.0,0.7891651400157027
0,0,5,0,3.9,594,0.16,0.29,0.13,2.99,83,2,0,2.5,9.8,2023-10-21,75,4,0,0,0,0,9,0,26465,1,0,3,11.0,2,-6439,929,7368,5.4,False,0,0,2,0.0729261711239814,80,Brentford,Burnley,3,0,21977,2023,618115,0.0,0,0,0,0.0729261711239814,0.1158733516931533,0.0710967555642128,Burnley,2,2,9,0.5,FWD,1.0,0.03,0.32,0.29,1.0,0.0,0.0,8.5,15.8,22.8,46.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,0.2,0.04,0.0,0.0,2.0,0.0,0.2,0.11,0.0,5.0,0.33,0.01,0.36,0.35,1.13,0.67,0.0,4.73,7.13,11.53,28.67,67.33,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.0,1.0,1.33,0.0,2.0,0.36,0.03,0.0,0.0,1.0,0.0,0.36,0.36,0.01,4.07,0.2,0.05,0.29,0.25,1.05,1.2,0.2,4.64,14.16,10.36,21.8,64.8,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.8,1.2,2.6,0.2,2.0,0.25,0.11,0.0,0.0,0.8,0.2,0.25,0.45,0.12,3.32,-22976.0,-0.7760636374593226
0,0,2,0,0.8,594,0.0,0.22,0.22,0.9,93,1,0,1.0,2.0,2023-10-28,45,3,0,0,0,0,10,0,23350,1,1,2,7.0,1,-3299,1422,4721,5.4,False,0,0,1,0.1325671970844268,49,Bournemouth,Burnley,2,1,21985,2023,619889,0.0,0,0,0,0.1325671970844268,0.0,0.0,Burnley,2,2,10,0.7,FWD,0.0,0.16,0.29,0.13,2.99,2.0,0.0,2.5,9.8,3.9,11.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,2.0,0.07,0.0,0.0,0.0,0.0,0.0,0.07,0.12,0.07,0.5,0.33,0.06,0.3,0.24,1.97,1.0,0.0,4.37,9.33,8.9,25.33,68.33,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.67,2.0,1.33,0.0,2.0,0.24,0.01,0.0,0.0,0.67,0.0,0.24,0.22,0.02,3.5,0.2,0.04,0.31,0.27,1.38,1.0,0.2,4.44,13.32,7.98,23.0,68.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.8,1.4,2.8,0.2,2.2,0.26,0.02,0.0,0.0,0.6,0.2,0.26,0.26,0.02,3.18,-3115.0,-0.5370340224645939
0,0,3,0,3.6,594,0.02,0.17,0.15,0.97,102,1,0,2.5,1.2,2023-11-04,77,8,0,0,0,0,11,0,20764,1,2,0,20.0,2,-2848,1638,4486,5.4,True,0,0,2,0.2410291582345962,80,Burnley,Crystal Palace,0,2,21996,2023,621559,0.0,0,0,0,0.2410291582345962,0.1555967181921005,0.1555967181921005,Burnley,2,2,11,1.2,FWD,0.0,0.0,0.22,0.22,0.9,1.0,0.0,1.0,2.0,0.8,7.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.7,0.33,0.06,0.28,0.21,1.63,1.0,0.0,4.0,9.2,9.17,21.33,64.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.67,0.0,1.67,0.14,0.01,0.0,0.0,0.67,0.0,0.14,0.08,0.02,2.07,0.2,0.04,0.32,0.28,1.46,1.0,0.0,3.54,6.64,7.86,20.8,64.4,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.8,1.6,1.4,0.0,1.8,0.26,0.02,0.0,0.0,0.6,0.0,0.26,0.24,0.02,2.68,-2586.0,-0.465055519268452
