perfomance_names,perfomance_odds,contest
Youri Tielemans Perf,14.5 - 17,Aston Villa v Arsenal
Boubacar Kamara Perf,12.5 - 15,Aston Villa v Arsenal
Emiliano Buendia Perf,12.5 - 15,Aston Villa v Arsenal
Amadou Onana Perf,12 - 14.5,Aston Villa v Arsenal
Ian Maatsen Perf,12 - 14.5,Aston Villa v Arsenal
John McGinn Perf,11 - 13.5,Aston Villa v Arsenal
Ezri Konsa Perf,10 - 12.5,Aston Villa v Arsenal
Matty Cash Perf,9.5 - 12,Aston Villa v Arsenal
Evann Guessand Perf,9.5 - 12,Aston Villa v Arsenal
Pau Torres Perf,9.5 - 12,Aston Villa v Arsenal
Lucas Digne Perf,9.5 - 12,Aston Villa v Arsenal
Morgan Rogers Perf,9 - 11,Aston Villa v Arsenal
Ollie Watkins Perf,6.5 - 8.5,Aston Villa v Arsenal
Donyell Malen Perf,6.5 - 8.5,Aston Villa v Arsenal
Mikel Merino Perf,19 - 22,Aston Villa v Arsenal
Martin Odegaard Perf,19 - 22,Aston Villa v Arsenal
Martin Zubimendi Perf,16.5 - 19,Aston Villa v Arsenal
Declan Rice Perf,16.5 - 19,Aston Villa v Arsenal
Bukayo Saka Perf,16.5 - 19,Aston Villa v Arsenal
Eberechi Eze Perf,15.5 - 18,Aston Villa v Arsenal
Noni Madueke Perf,13.5 - 16,Aston Villa v Arsenal
Riccardo Calafiori Perf,13.5 - 16,Aston Villa v Arsenal
Jurrien Timber Perf,13.5 - 16,Aston Villa v Arsenal
Piero Hincapie Perf,12.5 - 15,Aston Villa v Arsenal
Ben White Perf,12 - 14.5,Aston Villa v Arsenal
Gabriel Martinelli Perf,12 - 14.5,Aston Villa v Arsenal
Viktor Gyokeres Perf,11 - 13.5,Aston Villa v Arsenal
Olivier Boscagli Perf,26 - 29,Brighton v West Ham
Diego Gomez Perf,25 - 28,Brighton v West Ham
Mats Wieffer Perf,22 - 25,Brighton v West Ham
Danny Welbeck Perf,21 - 24,Brighton v West Ham
Jan Paul van Hecke Perf,21 - 24,Brighton v West Ham
Lewis Dunk Perf,21 - 24,Brighton v West Ham
Maxime De Cuyper Perf,20 - 23,Brighton v West Ham
Kaoru Mitoma Perf,20 - 23,Brighton v West Ham
Yasin Ayari Perf,20 - 23,Brighton v West Ham
Diego Coppola Perf,20 - 23,Brighton v West Ham
Yankuba Minteh Perf,19 - 22,Brighton v West Ham
Carlos Baleba Perf,19 - 22,Brighton v West Ham
Jack Hinshelwood Perf,19 - 22,Brighton v West Ham
Georginio Rutter Perf,18.5 - 21,Brighton v West Ham
Ferdi Kadioglu Perf,18 - 20.5,Brighton v West Ham
Charalampos Kostoulas Perf,17.5 - 20,Brighton v West Ham
Brajan Gruda Perf,17 - 19.5,Brighton v West Ham
Stefanos Tzimas Perf,17 - 19.5,Brighton v West Ham
Joel Veltman Perf,16.5 - 19,Brighton v West Ham
Lucas Paqueta Perf,18.5 - 21,Brighton v West Ham
Freddie Potts Perf,16.5 - 19,Brighton v West Ham
Mateus Fernandes Perf,16 - 18.5,Brighton v West Ham
Soungoutou Magassa Perf,16 - 18.5,Brighton v West Ham
Aaron Wan-Bissaka Perf,15 - 17.5,Brighton v West Ham
Jarrod Bowen Perf,14.5 - 17,Brighton v West Ham
Jean-Clair Todibo Perf,14 - 16.5,Brighton v West Ham
James Ward-Prowse Perf,13 - 15.5,Brighton v West Ham
Guido Rodriguez Perf,13 - 15.5,Brighton v West Ham
Konstantinos Mavropanos Perf,12.5 - 15,Brighton v West Ham
El Hadji Malick Diouf Perf,12 - 14.5,Brighton v West Ham
Tomas Soucek Perf,11.5 - 14,Brighton v West Ham
Max Kilman Perf,11.5 - 14,Brighton v West Ham
Kyle Walker-Peters Perf,10 - 12.5,Brighton v West Ham
Luis Guilherme Perf,9.5 - 12,Brighton v West Ham
Crysencio Summerville Perf,9 - 11.5,Brighton v West Ham
Niclas Fullkrug Perf,7.5 - 9.5,Brighton v West Ham
Callum Wilson Perf,7 - 9,Brighton v West Ham
Youri Tielemans Perf,14.5 - 17,Aston Villa v Arsenal
Boubacar Kamara Perf,12.5 - 15,Aston Villa v Arsenal
Emiliano Buendia Perf,12.5 - 15,Aston Villa v Arsenal
Amadou Onana Perf,12 - 14.5,Aston Villa v Arsenal
Ian Maatsen Perf,12 - 14.5,Aston Villa v Arsenal
John McGinn Perf,11 - 13.5,Aston Villa v Arsenal
Ezri Konsa Perf,10 - 12.5,Aston Villa v Arsenal
Matty Cash Perf,9.5 - 12,Aston Villa v Arsenal
Evann Guessand Perf,9.5 - 12,Aston Villa v Arsenal
Pau Torres Perf,9.5 - 12,Aston Villa v Arsenal
Lucas Digne Perf,9.5 - 12,Aston Villa v Arsenal
Morgan Rogers Perf,9 - 11,Aston Villa v Arsenal
Ollie Watkins Perf,6.5 - 8.5,Aston Villa v Arsenal
Donyell Malen Perf,6.5 - 8.5,Aston Villa v Arsenal
Mikel Merino Perf,19 - 22,Aston Villa v Arsenal
Martin Odegaard Perf,19 - 22,Aston Villa v Arsenal
Martin Zubimendi Perf,16.5 - 19,Aston Villa v Arsenal
Declan Rice Perf,16.5 - 19,Aston Villa v Arsenal
Bukayo Saka Perf,16.5 - 19,Aston Villa v Arsenal
Eberechi Eze Perf,15.5 - 18,Aston Villa v Arsenal
Noni Madueke Perf,13.5 - 16,Aston Villa v Arsenal
Riccardo Calafiori Perf,13.5 - 16,Aston Villa v Arsenal
Jurrien Timber Perf,13.5 - 16,Aston Villa v Arsenal
Piero Hincapie Perf,12.5 - 15,Aston Villa v Arsenal
Ben White Perf,12 - 14.5,Aston Villa v Arsenal
Gabriel Martinelli Perf,12 - 14.5,Aston Villa v Arsenal
Viktor Gyokeres Perf,11 - 13.5,Aston Villa v Arsenal
Erling Haaland Perf,26 - 29,Man City v Sunderland
Rayan Cherki Perf,26 - 29,Man City v Sunderland
Nico Gonzalez Perf,25 - 28,Man City v Sunderland
Phil Foden Perf,24 - 27,Man City v Sunderland
Ruben Dias Perf,23 - 26,Man City v Sunderland
Josko Gvardiol Perf,22 - 25,Man City v Sunderland
Omar Marmoush Perf,22 - 25,Man City v Sunderland
Tijjani Reijnders Perf,22 - 25,Man City v Sunderland
Jeremy Doku Perf,22 - 25,Man City v Sunderland
Rayan Ait-Nouri Perf,22 - 25,Man City v Sunderland
Abdukodir Khusanov Perf,22 - 25,Man City v Sunderland
Matheus Nunes Perf,20 - 23,Man City v Sunderland
Nico O'Reilly Perf,21 - 24,Man City v Sunderland
Savinho Perf,21 - 24,Man City v Sunderland
Bernardo Silva Perf,19 - 22,Man City v Sunderland
Nathan Ake Perf,19 - 22,Man City v Sunderland
Rico Lewis Perf,19 - 22,Man City v Sunderland
John Stones Perf,18 - 20.5,Man City v Sunderland
Trai Hume Perf,13 - 15.5,Man City v Sunderland
Enzo Le Fee Perf,13 - 15.5,Man City v Sunderland
Granit Xhaka Perf,11 - 13.5,Man City v Sunderland
Reinildo Mandava Perf,11 - 13.5,Man City v Sunderland
Nordi Mukiele Perf,10.5 - 13,Man City v Sunderland
Noah Sadiki Perf,10 - 12.5,Man City v Sunderland
Lutsharel Geertruida Perf,10.5 - 13,Man City v Sunderland
Daniel Ballard Perf,10 - 12.5,Man City v Sunderland
Omar Alderete Perf,10 - 12.5,Man City v Sunderland
