perfomance_names,perfomance_odds,contest
James Garner Perf,12.5 - 15,Everton v Arsenal
Dwight McNeil Perf,11.5 - 14,Everton v Arsenal
Kiernan Dewsbury-Hall Perf,11.5 - 14,Everton v Arsenal
James Tarkowski Perf,11 - 13.5,Everton v Arsenal
Tim Iroegbunam Perf,10.5 - 13,Everton v Arsenal
Carlos Alcaraz Perf,10.5 - 13,Everton v Arsenal
Jack Grealish Perf,10 - 12.5,Everton v Arsenal
Tyler Dibling Perf,10 - 12.5,Everton v Arsenal
Nathan Patterson Perf,10 - 12.5,Everton v Arsenal
Vitaliy Mykolenko Perf,9.5 - 12,Everton v Arsenal
Michael Keane Perf,9 - 11,Everton v Arsenal
Beto Perf,8.5 - 10.5,Everton v Arsenal
Jake O'Brien Perf,7 - 9,Everton v Arsenal
Thierno Barry Perf,6.5 - 8.5,Everton v Arsenal
Bukayo Saka Perf,21 - 24,Everton v Arsenal
Martin Odegaard Perf,21 - 24,Everton v Arsenal
Piero Hincapie Perf,20 - 23,Everton v Arsenal
Declan Rice Perf,19 - 22,Everton v Arsenal
William Saliba Perf,19 - 22,Everton v Arsenal
Christian Norgaard Perf,20 - 23,Everton v Arsenal
Mikel Merino Perf,18.5 - 21,Everton v Arsenal
Eberechi Eze Perf,17 - 19.5,Everton v Arsenal
Gabriel Jesus Perf,16.5 - 19,Everton v Arsenal
Noni Madueke Perf,16.5 - 19,Everton v Arsenal
Riccardo Calafiori Perf,16 - 18.5,Everton v Arsenal
Jurrien Timber Perf,15.5 - 18,Everton v Arsenal
Martin Zubimendi Perf,15 - 17.5,Everton v Arsenal
Ethan Nwaneri Perf,15 - 17.5,Everton v Arsenal
Ben White Perf,15 - 17.5,Everton v Arsenal
Leandro Trossard Perf,14.5 - 17,Everton v Arsenal
Gabriel Martinelli Perf,14 - 16.5,Everton v Arsenal
Myles Lewis-Skelly Perf,13.5 - 16,Everton v Arsenal
Viktor Gyokeres Perf,12.5 - 15,Everton v Arsenal
Youri Tielemans Perf,19 - 22,Aston Villa v Man Utd
John McGinn Perf,17 - 19.5,Aston Villa v Man Utd
Emiliano Buendia Perf,16 - 18.5,Aston Villa v Man Utd
Morgan Rogers Perf,16 - 18.5,Aston Villa v Man Utd
Ian Maatsen Perf,15.5 - 18,Aston Villa v Man Utd
Boubacar Kamara Perf,15 - 17.5,Aston Villa v Man Utd
Ollie Watkins Perf,14 - 16.5,Aston Villa v Man Utd
Amadou Onana Perf,14 - 16.5,Aston Villa v Man Utd
Matty Cash Perf,13.5 - 16,Aston Villa v Man Utd
Ezri Konsa Perf,13.5 - 16,Aston Villa v Man Utd
Pau Torres Perf,13 - 15.5,Aston Villa v Man Utd
Victor Lindelof Perf,12.5 - 15,Aston Villa v Man Utd
Donyell Malen Perf,11 - 13.5,Aston Villa v Man Utd
Bruno Fernandes Perf,21 - 24,Aston Villa v Man Utd
Matheus Cunha Perf,17.5 - 20,Aston Villa v Man Utd
Mason Mount Perf,14.5 - 17,Aston Villa v Man Utd
Patrick Dorgu Perf,13 - 15.5,Aston Villa v Man Utd
Manuel Ugarte Perf,13 - 15.5,Aston Villa v Man Utd
Kobbie Mainoo Perf,12 - 14.5,Aston Villa v Man Utd
Diogo Dalot Perf,11.5 - 14,Aston Villa v Man Utd
Leny Yoro Perf,11.5 - 14,Aston Villa v Man Utd
Matthijs de Ligt Perf,11.5 - 14,Aston Villa v Man Utd
Luke Shaw Perf,10 - 12.5,Aston Villa v Man Utd
Ayden Heaven Perf,9.5 - 12,Aston Villa v Man Utd
Joshua Zirkzee Perf,9 - 11.5,Aston Villa v Man Utd
Benjamin Sesko Perf,7.5 - 9.5,Aston Villa v Man Utd
Tom Cairney Perf,19 - 22,Fulham v Nottingham Forest
Joachim Andersen Perf,18.5 - 21,Fulham v Nottingham Forest
Kenny Tete Perf,18 - 20.5,Fulham v Nottingham Forest
Antonee Robinson Perf,18 - 20.5,Fulham v Nottingham Forest
Harry Wilson Perf,17 - 19.5,Fulham v Nottingham Forest
Sasa Lukic Perf,16 - 18.5,Fulham v Nottingham Forest
Emile Smith Rowe Perf,16 - 18.5,Fulham v Nottingham Forest
Sander Berge Perf,16 - 18.5,Fulham v Nottingham Forest
Joshua King Perf,16 - 18.5,Fulham v Nottingham Forest
Jorge Cuenca Perf,15.5 - 18,Fulham v Nottingham Forest
Raul Jimenez Perf,15.5 - 18,Fulham v Nottingham Forest
Issa Diop Perf,15.5 - 18,Fulham v Nottingham Forest
Timothy Castagne Perf,14.5 - 17,Fulham v Nottingham Forest
Harrison Reed Perf,13.5 - 16,Fulham v Nottingham Forest
Kevin Perf,13 - 15.5,Fulham v Nottingham Forest
Adama Traore Perf,11.5 - 14,Fulham v Nottingham Forest
Elliot Anderson Perf,22 - 25,Fulham v Nottingham Forest
