assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5,ownership_change,percenatge_net_transfers
0,0,7,1,3.2,28,0.08,0.23,0.15,1.21,1,0,0,4.9,7.4,2022-08-05,82,7,0,0,0,0,1,0,6018571,1,2,0,38.0,2,0,0,0,8.0,False,0,0,1,0.1818339973688125,84,Crystal Palace,Arsenal,0,2,18202,2022,539147,0.0,0,0,0,0.1818339973688125,0.226634994149208,0.0448005981743335,Arsenal,4,2,1,3.1,FWD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,65,0,33.7,28,0.05,1.96,1.91,0.33,11,2,2,23.7,98.6,2022-08-13,83,10,0,0,0,0,2,0,6211795,1,2,4,105.0,19,-265945,105825,371770,8.0,True,0,2,7,1.855739951133728,88,Arsenal,Leicester,4,2,18217,2022,540654,0.5772899985313416,2,3,2,1.855739951133728,1.8763699531555176,0.0208778008818626,Arsenal,3,4,2,11.0,FWD,1.0,0.08,0.23,0.15,1.21,0.0,0.0,4.9,7.4,3.2,38.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.18,0.0,0.0,0.0,0.0,0.18,0.23,0.04,3.1,6018571.0,1.0,0.08,0.23,0.15,1.21,0.0,0.0,4.9,7.4,3.2,38.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.18,0.0,0.0,0.0,0.0,0.18,0.23,0.04,3.1,6018571.0,193224.0,-0.5568420942430302
1,0,15,1,23.1,28,0.03,0.09,0.06,0.28,21,0,0,10.3,25.6,2022-08-20,90,3,0,0,0,0,3,0,7496318,1,3,0,54.0,4,853585,882488,28903,8.1,False,1,0,2,0.1276959925889969,90,Bournemouth,Arsenal,0,3,18227,2022,542572,0.3799070119857788,1,2,0,0.1276959925889969,0.7257329821586609,0.3458259999752044,Arsenal,4,2,3,9.3,FWD,1.0,0.13,2.19,2.06,1.54,2.0,2.0,28.6,106.0,36.9,143.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,21.0,2.0,8.0,2.04,0.58,2.0,3.0,2.0,2.04,2.1,0.07,14.1,12230366.0,1.0,0.13,2.19,2.06,1.54,2.0,2.0,28.6,106.0,36.9,143.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,21.0,2.0,8.0,2.04,0.58,2.0,3.0,2.0,2.04,2.1,0.07,14.1,12230366.0,1284523.0,0.9365738744402786
0,0,0,0,27.6,28,0.14,0.45,0.31,0.74,31,1,0,11.5,8.2,2022-08-27,88,9,0,0,0,0,4,0,7962228,1,1,2,79.0,1,237640,268237,30597,8.2,True,1,0,4,0.2634910047054291,90,Arsenal,Fulham,2,1,18238,2022,544653,0.1841479986906051,0,2,0,0.2634910047054291,0.3736140131950378,0.0321587994694709,Arsenal,2,4,4,7.5,FWD,2.0,0.16,2.28,2.12,1.82,2.0,2.0,38.9,131.6,60.0,197.0,255.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,7.0,4.0,25.0,2.0,10.0,2.17,0.96,3.0,5.0,2.0,2.17,2.83,0.41,23.4,19726684.0,2.0,0.16,2.28,2.12,1.82,2.0,2.0,38.9,131.6,60.0,197.0,255.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,7.0,4.0,25.0,2.0,10.0,2.17,0.96,3.0,5.0,2.0,2.17,2.83,0.41,23.4,19726684.0,465910.0,0.7952241043522491
0,0,19,0,12.3,28,0.09,0.99,0.9,0.45,41,1,1,14.2,37.8,2022-08-31,87,2,0,0,0,0,5,0,8026017,1,1,2,92.0,6,-70519,106179,176698,8.2,True,0,1,4,1.2875100374221802,90,Arsenal,Aston Villa,2,1,18247,2022,546263,0.0915329977869987,0,1,1,1.2875100374221802,0.739791989326477,0.0915329977869987,Arsenal,2,4,5,6.9,FWD,1.0,0.22,2.5,2.28,1.35,3.0,2.0,45.5,132.4,84.4,238.0,261.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,6.0,6.0,24.0,2.0,13.0,2.25,1.14,3.0,7.0,2.0,2.25,2.98,0.4,27.8,21670341.0,2.0,0.3,2.73,2.43,2.56,3.0,2.0,50.4,139.8,87.6,276.0,343.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,8.0,6.0,26.0,2.0,14.0,2.43,1.14,3.0,7.0,2.0,2.43,3.2,0.44,30.9,27688912.0,63789.0,-0.24929209515089598
0,0,5,0,54.7,28,0.35,0.41,0.06,1.55,56,3,0,8.8,11.0,2022-09-04,90,14,0,0,0,0,6,0,8025951,1,1,3,22.0,1,-129699,102712,232411,8.2,False,1,0,2,0.0491003990173339,90,Manchester United,Arsenal,3,1,18261,2022,548114,0.4023370146751404,0,5,0,0.0491003990173339,0.6405209898948669,0.3403950035572052,Arsenal,4,4,6,6.2,FWD,1.0,0.26,1.53,1.27,1.47,2.0,1.0,36.0,71.6,63.0,225.0,265.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,5.0,4.0,11.0,1.0,10.0,1.68,0.66,1.0,5.0,1.0,1.68,1.84,0.47,23.7,23484563.0,2.0,0.39,3.72,3.33,3.01,4.0,3.0,64.6,177.6,99.9,368.0,430.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,9.0,8.0,32.0,3.0,18.0,3.72,1.23,3.0,8.0,3.0,3.72,3.94,0.54,37.8,35714929.0,-66.0,-0.3870190944817276
0,1,30,1,4.5,28,0.03,0.86,0.83,0.53,72,0,1,12.5,43.6,2022-09-18,90,4,0,0,0,0,8,0,7527911,1,3,0,77.0,6,-339612,38460,378072,8.1,False,1,1,4,0.833499014377594,90,Brentford,Arsenal,0,3,18280,2022,551062,0.0,0,0,1,0.833499014377594,1.0419399738311768,0.2084369957447052,Arsenal,4,3,8,4.0,FWD,0.0,0.44,1.4,0.96,2.0,4.0,1.0,23.0,48.8,67.0,114.0,177.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,5.0,7.0,1.0,6.0,1.34,0.49,0.0,6.0,1.0,1.34,1.38,0.43,13.1,16051968.0,1.0,0.61,1.94,1.33,3.02,5.0,1.0,44.8,82.6,117.7,247.0,355.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,6.0,7.0,12.0,1.0,12.0,1.73,1.06,1.0,10.0,1.0,1.73,2.48,0.81,29.9,31510514.0,-498040.0,-0.8153323154043387
0,2,29,0,12.9,28,0.03,1.45,1.42,1.57,81,1,1,14.8,46.2,2022-10-01,79,18,0,0,0,0,9,0,7253158,1,1,3,89.0,8,-429297,67507,496804,8.0,True,0,1,4,1.4708600044250488,82,Arsenal,Tottenham,3,1,18282,2022,551999,0.0919592976570129,0,1,1,1.4708600044250488,1.6820900440216064,0.4622029960155487,Arsenal,3,4,9,5.0,FWD,1.0,0.38,1.27,0.89,2.08,3.0,1.0,21.3,54.6,59.2,99.0,180.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,3.0,7.0,1.0,6.0,0.88,0.4,0.0,5.0,1.0,0.88,1.68,0.55,10.2,15553862.0,1.0,0.61,2.71,2.1,3.27,5.0,2.0,47.0,100.6,99.1,270.0,355.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,6.0,7.0,14.0,2.0,14.0,2.43,0.68,0.0,8.0,2.0,2.43,2.8,0.67,24.6,31542107.0,-274753.0,-0.7607454045730103
1,0,12,0,2.6,28,0.06,0.35,0.29,1.01,91,2,0,6.2,7.4,2022-10-09,90,12,0,0,0,0,10,0,7286361,1,2,3,52.0,5,-21252,169445,190697,8.0,True,0,0,2,0.2236669957637787,90,Arsenal,Liverpool,3,2,18292,2022,555087,0.0,0,0,0,0.2236669957637787,1.1482000350952148,0.9245349764823914,Arsenal,4,4,10,5.8,FWD,1.0,0.06,2.31,2.25,2.1,1.0,2.0,27.3,89.8,17.4,166.0,169.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,3.0,14.0,2.0,8.0,2.3,0.09,0.0,1.0,2.0,2.3,2.72,0.67,9.0,14781069.0,1.0,0.5,3.71,3.21,4.1,5.0,3.0,50.3,138.6,84.4,280.0,346.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,6.0,8.0,21.0,3.0,14.0,3.64,0.59,0.0,7.0,3.0,3.64,4.1,1.1,22.1,30833037.0,33203.0,-0.059010057144126486
0,0,2,1,23.5,28,0.02,0.09,0.07,1.72,104,0,0,4.1,6.0,2022-10-16,81,11,0,0,0,0,11,0,7324047,1,1,0,11.0,2,2100,133178,131078,8.0,False,0,0,1,0.3768979907035827,83,Leeds,Arsenal,0,1,18305,2022,556782,0.1068499982357025,0,2,0,0.3768979907035827,0.4837479889392853,0.0578924007713794,Arsenal,4,2,11,5.7,FWD,1.0,0.12,2.66,2.54,3.11,3.0,2.0,33.5,97.2,20.0,218.0,259.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,6.0,19.0,2.0,10.0,2.53,0.09,0.0,1.0,2.0,2.53,3.87,1.6,14.8,22067430.0,1.0,0.47,3.07,2.6,4.66,6.0,2.0,42.3,108.2,74.7,240.0,349.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,7.0,9.0,20.0,2.0,12.0,2.58,0.49,0.0,6.0,2.0,2.58,4.51,1.94,21.0,30093381.0,37686.0,0.007946839428433035
