assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3
0,0,0,0,0.0,545,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2022-08-06,0,8,0,0,0,0,1,0,25925,0,1,0,0.0,0,0,0,0,4.0,False,0,0,3,0.1667460054159164,89,Tottenham,Southampton,4,1,18207,2022,539486,0.2146279960870742,1,2,0,0.1667460054159164,0.9257460236549376,0.5443729758262634,Southampton,3,2,1,1.5,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0.0,545,0.0,0.0,0.0,0.0,15,0,0,0.0,0.0,2022-08-14,0,18,0,0,0,0,2,0,40477,0,2,2,0.0,0,936,5456,4520,4.0,True,0,0,0,0.0,85,Chelsea,Tottenham,2,2,18220,2022,541425,0.0,0,0,0,0.0,0.564300000667572,0.564300000667572,Chelsea,3,4,2,0.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.17,0.21,1.0,2.0,0.0,0.17,0.93,0.54,1.5,25925.0
0,0,3,0,1.5,545,0.02,0.02,0.0,0.25,32,0,0,0.4,0.4,2022-08-28,45,2,0,0,0,0,4,0,58648,1,1,0,2.0,1,9159,16294,7135,4.0,False,0,0,0,0.0,90,Nottingham Forest,Tottenham,0,2,18241,2022,545406,0.0,0,0,0,0.0,0.0340321995317935,0.0340321995317935,Tottenham,2,2,4,0.2,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,0.17,0.21,1.0,2.0,0.0,0.17,1.49,1.11,1.5,66402.0
0,0,0,0,0.8,545,0.0,0.0,0.0,0.0,47,0,0,0.2,0.0,2022-08-31,5,18,0,0,0,0,5,0,81415,0,1,1,2.0,0,18306,24872,6566,4.0,True,1,0,2,0.0459074005484581,90,West Ham,Tottenham,1,1,18249,2022,546424,0.0,0,0,0,0.0459074005484581,0.299219012260437,0.284289002418518,West Ham,3,3,5,-0.3,DEF,0.0,0.02,0.02,0.0,0.25,0.0,0.0,0.4,0.4,1.5,2.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,99125.0
0,0,7,0,1.0,545,0.0,0.0,0.0,0.87,54,2,0,0.4,2.6,2022-09-03,90,6,0,0,0,0,6,0,94747,1,1,2,0.0,1,10207,19782,9575,4.0,False,0,0,0,0.0,90,Tottenham,Fulham,2,1,18255,2022,547158,0.0,0,0,0,0.0,0.3059810101985931,0.3059810101985931,Fulham,2,4,6,-0.1,DEF,0.0,0.02,0.02,0.0,0.25,0.0,0.0,0.6,0.4,2.3,4.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.05,0.0,0.0,0.0,0.0,0.05,0.33,0.32,-0.1,140063.0
0,0,3,0,11.0,545,0.04,0.06,0.02,0.03,90,0,0,3.6,4.6,2022-10-01,16,20,0,0,0,0,9,0,251405,0,0,2,20.0,1,33466,61348,27882,4.0,True,0,0,0,0.0,64,Arsenal,Tottenham,3,1,18282,2022,552009,0.0,0,0,0,0.0,0.0827461034059524,0.0827461034059524,Arsenal,2,3,9,1.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0.0,545,0.0,0.0,0.0,0.0,149,0,0,0.0,0.0,2022-11-06,0,7,0,0,0,0,15,0,225765,0,2,1,0.0,0,-12337,2967,15304,4.0,True,0,0,0,0.0,68,Tottenham,Liverpool,1,2,18349,2022,562899,0.0,0,0,0,0.0,0.3457140028476715,0.3457140028476715,Tottenham,2,3,15,0.2,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0.0,545,0.0,0.0,0.0,0.0,159,0,0,0.0,0.0,2022-11-12,0,10,0,0,0,0,16,0,210822,0,2,0,0.0,0,-15240,1922,17162,4.0,True,0,0,2,0.4864839911460876,59,Tottenham,Leeds,4,3,18359,2022,564476,0.0,0,0,0,0.4864839911460876,0.6755539774894714,0.189069002866745,Tottenham,3,3,16,0.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.2,225765.0
0,0,0,0,0.0,545,0.0,0.0,0.0,0.0,187,0,0,0.0,0.0,2023-01-04,0,11,0,0,0,0,19,0,132446,0,2,2,0.0,0,-2269,978,3247,4.0,False,0,0,0,0.0,11,Crystal Palace,Tottenham,0,4,18386,2022,567502,0.0,0,0,0,0.0,0.0,0.0,Tottenham,2,2,19,0.3,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,24,0,1.5,545,0.01,0.37,0.36,1.15,230,1,1,8.6,49.2,2023-02-11,90,6,0,0,0,0,23,0,130675,1,1,1,35.0,10,975,4314,3339,4.0,True,0,0,0,0.0,10,Leicester,Tottenham,4,1,18427,2022,574959,0.0,0,0,0,0.0,0.0,0.0,Leicester,3,3,23,6.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,13,0,7.6,545,0.03,0.03,0.0,1.48,239,2,0,1.4,6.2,2023-02-19,81,18,0,0,0,0,24,0,152193,1,0,2,0.0,1,20020,22627,2607,4.0,False,0,1,2,0.3375639915466308,90,Tottenham,West Ham,2,0,18440,2022,577216,0.0448849983513355,0,2,1,0.3375639915466308,0.4773649871349334,0.094915896654129,West Ham,2,4,24,4.3,DEF,0.0,0.01,0.37,0.36,1.15,1.0,1.0,8.6,49.2,1.5,35.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,130675.0
0,0,13,0,2.4,545,0.01,0.01,0.0,3.56,254,4,0,1.5,10.2,2023-03-04,90,5,0,0,0,0,26,0,179498,1,0,4,2.0,0,-5641,8807,14448,4.0,False,0,0,0,0.0,1,Wolverhampton Wanderers,Tottenham,1,0,18461,2022,579539,0.0,0,0,0,0.0,0.0,0.0,Tottenham,2,3,26,2.8,DEF,0.0,0.04,0.4,0.36,2.63,3.0,1.0,10.0,55.4,9.1,35.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,11.0,1.0,2.0,0.34,0.04,0.0,2.0,1.0,0.34,0.48,0.09,10.3,282868.0
0,0,5,0,0.0,545,0.06,0.09,0.03,0.06,378,0,0,0.0,0.0,2023-05-28,19,10,0,0,0,0,38,0,148602,0,1,2,0.0,1,-3121,750,3871,4.0,False,0,0,0,0.0,90,Leeds,Tottenham,1,4,18578,2022,601012,0.0,0,0,0,0.0,0.3818457424640655,0.3818457424640655,Tottenham,2,3,38,0.8,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
