assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers
0,3,76,0,15.4,177,0.11,0.65,0.54,1.92,20,2,3,21.4,110.6,2024-08-25,90,False,20,0,0,0,0,2,0,35046,1,6,2,88.0,20,-6996,2609,9605,6.4,False,0,3,6,1.1007217168807983,90,Wolverhampton Wanderers,Chelsea,2,6,26619,2024,668755,0.1261259466409683,0,1,3,1.1007217168807983,1.285353660583496,0.0585060119628906,Chelsea,3,3,2,10.0,MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.5727853283117734
0,0,-2,0,3.9,177,0.04,0.63,0.59,0.25,23,1,0,5.0,5.0,2024-09-01,85,False,7,0,0,0,0,3,0,1086203,1,1,1,41.0,2,942625,1038647,96022,6.5,True,0,0,3,0.8514624238014221,89,Chelsea,Crystal Palace,1,1,26630,2024,672434,0.0,0,0,0,0.8514624238014221,1.3489946126937866,1.0004723072052002,Chelsea,3,4,3,7.3,MID,0.0,0.11,0.65,0.54,1.92,2.0,3.0,21.4,110.6,15.4,88.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,20.0,3.0,6.0,1.1,0.13,0.0,0.0,1.0,3.0,1.1,1.29,0.06,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1051157.0,0.8307488791885563
0,0,11,1,14.4,177,0.0,0.11,0.11,1.55,32,0,0,2.6,3.2,2024-09-14,60,False,3,0,0,0,0,4,0,1249816,1,1,0,8.0,3,143181,377844,234663,6.6,False,0,0,3,0.1327870190143585,63,Bournemouth,Chelsea,0,1,26639,2024,674169,0.0712776780128479,0,1,0,0.1327870190143585,0.1894958317279815,0.0,Chelsea,3,3,4,6.2,MID,0.0,0.04,0.63,0.59,0.25,1.0,0.0,5.0,5.0,3.9,41.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,0.85,0.0,0.0,0.0,0.0,0.0,0.85,1.35,1.0,7.3,0.0,0.08,0.64,0.56,1.08,1.5,1.5,13.2,57.8,9.65,64.5,87.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,1.5,11.0,1.5,4.5,0.98,0.06,0.0,0.0,0.5,1.5,0.98,1.32,0.53,8.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163613.0,0.23376222639088207
0,0,12,1,16.4,177,0.01,0.17,0.16,0.85,50,0,0,5.7,9.6,2024-09-21,90,False,19,0,0,0,0,5,0,1261725,1,3,0,31.0,3,2084,149085,147001,6.6,False,0,0,2,0.3379615545272827,90,West Ham,Chelsea,0,3,26642,2024,675298,0.0698368325829505,0,1,0,0.3379615545272827,0.4241189062595367,0.0861573442816734,Chelsea,3,2,5,7.0,MID,1.0,0.0,0.11,0.11,1.55,0.0,0.0,2.6,3.2,14.4,8.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,0.13,0.07,0.0,0.0,1.0,0.0,0.13,0.19,0.0,6.2,0.5,0.02,0.37,0.35,0.9,0.5,0.0,3.8,4.1,9.15,24.5,72.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,2.5,0.0,3.0,0.49,0.04,0.0,0.0,0.5,0.0,0.49,0.77,0.5,6.75,0.33,0.05,0.46,0.41,1.24,1.0,1.0,9.67,39.6,11.23,45.67,78.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.67,1.0,8.33,1.0,4.0,0.69,0.07,0.0,0.0,0.67,1.0,0.69,0.94,0.35,7.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11909.0,0.007038495572232392
1,0,13,0,1.2,177,0.0,0.23,0.23,0.88,54,2,0,1.0,1.2,2024-09-28,62,False,5,0,0,0,0,6,0,1086672,1,2,4,8.0,5,-180325,96757,277082,6.6,True,0,0,1,0.1286199241876602,71,Chelsea,Brighton,4,2,26657,2024,677899,0.0,0,0,0,0.1286199241876602,0.1286199241876602,0.0,Chelsea,3,4,6,3.2,MID,1.0,0.01,0.17,0.16,0.85,0.0,0.0,5.7,9.6,16.4,31.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,2.0,0.34,0.07,0.0,0.0,1.0,0.0,0.34,0.42,0.09,7.0,1.0,0.0,0.14,0.14,1.2,0.0,0.0,4.15,6.4,15.4,19.5,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,2.5,0.24,0.07,0.0,0.0,1.0,0.0,0.24,0.31,0.04,6.6,0.67,0.02,0.3,0.29,0.88,0.33,0.0,4.43,5.93,11.57,26.67,78.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.67,0.33,2.67,0.0,2.67,0.44,0.05,0.0,0.0,0.67,0.0,0.44,0.65,0.36,6.83,0.5,0.04,0.39,0.35,1.14,0.75,0.75,8.68,32.1,12.52,42.0,81.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.75,0.75,7.0,0.75,3.5,0.61,0.07,0.0,0.0,0.75,0.75,0.61,0.81,0.29,7.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-175053.0,-0.4823600533919682
0,3,34,0,39.3,177,0.22,0.55,0.33,0.59,65,1,1,16.4,44.4,2024-10-06,89,False,16,0,0,0,0,7,0,970210,1,1,1,80.0,10,-124780,60271,185051,6.5,True,0,1,7,0.3349137902259826,90,Chelsea,Nottingham Forest,1,1,26668,2024,680142,0.2788770198822021,0,3,1,0.3349137902259826,0.6411942839622498,0.1159370020031929,Chelsea,4,4,7,5.2,MID,0.0,0.0,0.23,0.23,0.88,2.0,0.0,1.0,1.2,1.2,8.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,5.0,0.0,1.0,0.13,0.0,1.0,0.0,0.0,0.0,0.13,0.13,0.0,3.2,0.5,0.0,0.2,0.2,0.86,1.0,0.0,3.35,5.4,8.8,19.5,76.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,2.0,4.0,0.0,1.5,0.23,0.03,0.5,0.0,0.5,0.0,0.23,0.28,0.04,5.1,0.67,0.0,0.17,0.17,1.09,0.67,0.0,3.1,4.67,10.67,15.67,70.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.33,3.67,0.0,2.0,0.2,0.05,0.33,0.0,0.67,0.0,0.2,0.25,0.03,5.47,0.5,0.01,0.29,0.27,0.88,0.75,0.0,3.58,4.75,8.98,22.0,74.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.75,1.25,3.25,0.0,2.25,0.36,0.04,0.25,0.0,0.5,0.0,0.36,0.52,0.27,5.92,0.4,0.03,0.36,0.33,1.09,1.0,0.6,7.14,25.92,10.26,35.2,77.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.6,1.4,6.6,0.6,3.0,0.51,0.05,0.2,0.0,0.6,0.6,0.51,0.68,0.23,6.74,-116462.0,-0.508637627281695
0,0,9,0,14.3,177,0.06,0.08,0.02,1.87,74,2,0,4.9,7.4,2024-10-20,75,False,12,0,0,0,0,8,0,919864,1,1,2,27.0,2,-60332,67860,128192,6.5,False,0,0,1,0.0362117514014244,84,Liverpool,Chelsea,2,1,26679,2024,682205,0.0528028234839439,0,1,0,0.0362117514014244,0.0890145748853683,0.0,Chelsea,3,5,8,5.2,MID,0.0,0.22,0.55,0.33,0.59,1.0,1.0,16.4,44.4,39.3,80.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,1.0,7.0,0.33,0.28,0.0,0.0,3.0,1.0,0.33,0.64,0.12,5.2,0.0,0.11,0.39,0.28,0.74,1.5,0.5,8.7,22.8,20.25,44.0,75.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,2.5,7.5,0.5,4.0,0.23,0.14,0.5,0.0,1.5,0.5,0.23,0.38,0.06,4.2,0.33,0.08,0.32,0.24,0.77,1.0,0.33,7.7,18.4,18.97,39.67,80.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.67,6.0,0.33,3.33,0.27,0.12,0.33,0.0,1.33,0.33,0.27,0.4,0.07,5.13,0.5,0.06,0.26,0.21,0.97,0.75,0.25,6.42,14.6,17.83,31.75,75.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.75,1.25,5.25,0.25,3.25,0.23,0.1,0.25,0.0,1.25,0.25,0.23,0.35,0.05,5.4,0.4,0.05,0.34,0.28,0.82,0.8,0.2,6.14,12.68,15.04,33.6,77.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,1.2,4.6,0.2,3.2,0.36,0.08,0.2,0.0,1.0,0.2,0.36,0.55,0.24,5.78,-50346.0,-0.30773468263521925
0,0,10,0,27.8,177,0.18,0.26,0.08,1.55,85,1,0,8.7,13.0,2024-10-27,66,False,15,0,0,0,0,9,0,930080,1,1,2,46.0,1,3284,66069,62785,6.5,True,1,0,2,0.1321231573820114,74,Chelsea,Newcastle United,2,1,26688,2024,683514,0.1376972794532776,0,2,0,0.1321231573820114,0.3961242139339447,0.2640010714530945,Chelsea,4,4,9,4.8,MID,0.0,0.06,0.08,0.02,1.87,2.0,0.0,4.9,7.4,14.3,27.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.04,0.05,0.0,0.0,1.0,0.0,0.04,0.09,0.0,5.2,0.0,0.14,0.32,0.18,1.23,1.5,0.5,10.65,25.9,26.8,53.5,82.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,6.0,0.5,4.0,0.19,0.17,0.0,0.0,2.0,0.5,0.19,0.37,0.06,5.2,0.0,0.09,0.29,0.19,1.11,1.67,0.33,7.43,17.67,18.27,38.33,75.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,2.33,5.67,0.33,3.0,0.17,0.11,0.33,0.0,1.33,0.33,0.17,0.29,0.04,4.53,0.25,0.07,0.26,0.19,1.05,1.25,0.25,7.0,15.65,17.8,36.5,79.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.75,1.75,5.0,0.25,2.75,0.21,0.1,0.25,0.0,1.25,0.25,0.21,0.32,0.05,5.15,0.4,0.06,0.23,0.17,1.15,1.0,0.2,6.12,13.16,17.12,30.8,75.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,1.4,4.6,0.2,2.8,0.19,0.09,0.2,0.0,1.2,0.2,0.19,0.29,0.04,5.36,10216.0,0.025486209198007048
0,0,1,0,2.9,177,0.03,0.56,0.53,1.76,95,1,0,1.6,0.6,2024-11-03,70,False,14,0,0,0,0,10,0,880670,1,1,1,12.0,2,-51676,72454,124130,6.5,False,0,0,2,0.6330176591873169,72,Manchester United,Chelsea,1,1,26697,2024,685876,0.0,0,0,0,0.6330176591873169,0.0514670312404632,0.0,Chelsea,3,3,10,2.2,MID,0.0,0.18,0.26,0.08,1.55,1.0,0.0,8.7,13.0,27.8,46.0,66.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.13,0.14,0.0,0.0,2.0,0.0,0.13,0.4,0.26,4.8,0.0,0.12,0.17,0.05,1.71,1.5,0.0,6.8,10.2,21.05,36.5,70.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,2.0,1.5,0.0,1.5,0.08,0.1,0.0,0.0,1.5,0.0,0.08,0.24,0.13,5.0,0.0,0.15,0.3,0.14,1.34,1.33,0.33,10.0,21.6,27.13,51.0,76.67,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.0,1.67,4.33,0.33,3.33,0.17,0.16,0.0,0.0,2.0,0.33,0.17,0.38,0.13,5.07,0.0,0.12,0.28,0.16,1.22,1.5,0.25,7.75,16.5,20.65,40.25,73.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,1.25,2.25,4.5,0.25,2.75,0.16,0.12,0.25,0.0,1.5,0.25,0.16,0.31,0.09,4.6,0.2,0.09,0.26,0.16,1.15,1.2,0.2,7.34,15.12,19.8,38.4,76.4,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.6,1.8,4.2,0.2,2.6,0.19,0.11,0.2,0.0,1.4,0.2,0.19,0.34,0.09,5.08,-49410.0,-0.26286981646522606
0,0,9,0,16.1,177,0.31,0.51,0.2,0.82,103,1,0,3.0,3.2,2024-11-10,67,False,1,0,0,0,0,11,0,793888,1,1,1,11.0,1,-88424,32601,121025,6.4,True,1,0,4,0.2004947960376739,71,Chelsea,Arsenal,1,1,26705,2024,687561,0.1250054240226745,0,1,0,0.2004947960376739,0.3949865698814392,0.099403940141201,Chelsea,5,4,11,0.8,MID,0.0,0.03,0.56,0.53,1.76,1.0,0.0,1.6,0.6,2.9,12.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.63,0.0,0.0,0.0,0.0,0.0,0.63,0.05,0.0,2.2,0.0,0.1,0.41,0.3,1.66,1.0,0.0,5.15,6.8,15.35,29.0,68.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,1.5,1.5,0.0,2.0,0.38,0.07,0.0,0.0,1.0,0.0,0.38,0.22,0.13,3.5,0.0,0.09,0.3,0.21,1.73,1.33,0.0,5.07,7.0,15.0,28.33,70.33,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.0,1.67,1.67,0.0,1.67,0.27,0.06,0.0,0.0,1.0,0.0,0.27,0.18,0.09,4.07,0.0,0.12,0.36,0.24,1.44,1.25,0.25,7.9,16.35,21.08,41.25,75.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,1.0,1.5,3.75,0.25,3.0,0.28,0.12,0.0,0.0,1.5,0.25,0.28,0.29,0.09,4.35,0.0,0.1,0.34,0.24,1.33,1.4,0.2,6.52,13.32,17.1,34.6,72.4,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.2,2.0,4.0,0.2,2.6,0.25,0.09,0.2,0.0,1.2,0.2,0.25,0.26,0.08,4.12,-86782.0,-0.5755796544855688
