assists_x,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty
0,0,4,0,23.5,108,15,2,0,2.8,4.2,2021-08-21,78,11,0,0,0,0,2,0,5372,0,2,0.0,2,-667,223,890,55,False,0,0,0,0.0,81,MR,Liverpool,Burnley,2,0,16386,2021,476682,0.0304880999028682,0,1,0,0.0,0.0,0.0,2,5
0,0,2,1,2.7,108,29,0,0,0.6,0.0,2021-08-29,62,10,0,0,0,0,3,0,5482,1,1,6.0,3,-362,348,710,55,True,0,0,1,0.1024816781282424,65,MR,Burnley,Leeds,1,1,16403,2021,479539,0.0,0,0,0,0.1024816781282424,0.1626145392656326,0.0601328611373901,2,2
1,0,22,0,15.2,108,35,3,0,4.6,30.4,2021-09-13,75,8,0,0,0,0,4,0,5612,1,3,0.0,5,-343,439,782,55,False,0,0,0,0.0,77,MR,Everton,Burnley,3,1,16415,2021,481591,0.4539793729782104,1,1,0,0.0,0.0,0.0,2,2
0,0,1,0,1.4,108,43,1,0,2.7,0.6,2021-09-18,56,1,0,0,0,0,5,0,6976,1,0,25.0,1,878,1687,809,55,True,0,0,3,0.1220979243516922,59,MR,Burnley,Arsenal,0,1,16419,2021,482063,0.0,0,0,0,0.1220979243516922,0.0436729900538921,0.0,4,2
0,0,-1,0,5.6,108,57,1,0,1.2,6.2,2021-09-25,45,9,0,0,0,0,6,0,6459,2,2,0.0,0,-756,429,1185,55,False,1,0,0,0.0,44,Sub,Leicester,Burnley,2,2,16430,2021,484696,0.0,0,0,0,0.0,0.0354422219097614,0.0354422219097614,2,3
0,0,10,0,18.8,108,62,0,0,3.0,9.0,2021-10-02,30,15,0,0,0,0,7,0,6951,0,0,2.0,1,154,1045,891,55,True,0,0,0,0.0,26,Sub,Burnley,Norwich,0,0,16437,2021,486501,0.0267473179847002,0,1,0,0.0,0.0267473179847002,0.0,2,2
0,0,3,0,0.3,108,76,0,0,0.1,0.2,2021-10-16,18,12,0,0,0,0,8,0,5731,0,2,0.0,1,-1204,86,1290,55,False,0,0,0,0.0,14,Sub,Manchester City,Burnley,2,0,16451,2021,488152,0.0,0,0,0,0.0,0.0,0.0,2,5
0,0,3,0,0.0,108,89,0,0,1.0,3.0,2021-10-23,12,16,0,0,0,0,9,0,5541,2,2,7.0,1,-253,69,322,54,False,0,0,1,0.026320019736886,10,Sub,Southampton,Burnley,2,2,16464,2021,489935,0.0,0,0,0,0.026320019736886,0.026320019736886,0.0,2,3
0,0,1,0,16.0,108,92,1,0,4.4,4.6,2021-10-30,90,3,0,0,0,0,10,0,5394,1,3,23.0,2,-224,135,359,54,True,0,0,2,0.8106796145439148,90,MR,Burnley,Brentford,3,1,16467,2021,492299,0.0397899821400642,0,1,0,0.8106796145439148,1.0486390590667725,0.198169469833374,2,2
0,0,12,0,16.4,108,104,1,0,2.7,10.6,2021-11-06,69,6,0,0,0,0,11,0,5320,1,1,0.0,2,-122,119,241,54,False,0,0,0,0.0,72,MR,Chelsea,Burnley,1,1,16479,2021,493984,0.0586710572242736,0,1,0,0.0,0.0586710572242736,0.0,2,4
0,0,11,0,12.9,108,112,3,0,7.1,15.2,2021-11-20,90,7,0,0,0,0,12,0,5463,3,3,43.0,2,39,260,221,54,True,0,0,4,0.2164351195096969,90,MR,Burnley,Crystal Palace,3,3,16487,2021,495708,0.0,0,0,0,0.2164351195096969,0.2081167250871658,0.0783466249704361,2,2
0,0,8,1,1.6,108,137,0,0,0.9,3.4,2021-12-01,71,20,0,0,0,0,14,0,5462,0,0,4.0,3,-6,118,124,54,False,0,0,0,0.0,74,MR,Wolverhampton Wanderers,Burnley,0,0,16511,2021,498989,0.0,0,0,0,0.0,0.0190711058676242,0.0190711058676242,2,3
0,0,6,0,1.7,108,145,1,0,5.8,15.0,2021-12-04,79,14,0,0,0,0,15,0,5638,0,1,41.0,2,143,335,192,54,False,0,0,3,0.1393317580223083,85,MR,Newcastle United,Burnley,1,0,16520,2021,499960,0.0,0,0,0,0.1393317580223083,0.0889977067708969,0.0,2,3
0,0,2,1,2.2,108,154,0,0,1.2,3.6,2021-12-12,90,19,0,0,0,0,16,0,5619,0,0,6.0,3,-68,202,270,54,True,0,0,0,0.0,90,MR,Burnley,West Ham,0,0,16529,2021,502223,0.0,0,0,0,0.0,0.3494777977466583,0.3494777977466583,3,2
0,0,9,0,14.8,108,198,3,0,4.8,14.8,2021-12-30,90,13,0,0,0,0,20,0,5693,1,3,18.0,2,6,107,101,54,False,0,0,1,0.08137197047472,90,ML,Manchester United,Burnley,3,1,16574,2021,505416,0.0390992946922779,0,1,0,0.08137197047472,0.1204712688922882,0.0,2,4
0,0,0,0,1.5,108,206,1,0,1.5,5.0,2022-01-02,45,10,0,0,0,0,21,0,5721,1,3,8.0,1,26,211,185,54,False,0,0,1,0.0149103244766592,48,ML,Leeds,Burnley,3,1,16581,2021,505641,0.0,0,0,0,0.0149103244766592,0.6164509057998657,0.6015405654907227,2,2
0,0,2,0,0.3,108,221,0,0,0.9,1.0,2022-01-23,7,1,0,0,0,0,23,0,5538,0,0,8.0,1,-41,206,247,54,False,0,0,1,0.0162317026406526,5,Sub,Arsenal,Burnley,0,0,16596,2021,510341,0.0,0,0,0,0.0162317026406526,0.0162317026406526,0.0,2,4
