assists_x,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty
0,0,11,0,16.1,90,182,2,0,3.0,12.0,2021-12-26,90,4,0,0,0,0,19,0,3667,0,2,2.0,0,19,57,38,43,False,1,0,0,0.0,90,DC,Brighton,Brentford,2,0,16557,2021,505189,0.0268416423350572,0,1,0,0.0,0.1071743443608284,0.0803326964378357,2,2
0,0,7,0,0.0,90,192,1,0,0.6,5.6,2021-12-29,90,12,0,0,0,0,20,0,3647,1,0,0.0,2,10,44,34,43,True,0,0,0,0.0,90,DC,Brentford,Manchester City,0,1,16567,2021,505370,0.0,0,0,0,0.0,0.0,0.0,5,2
0,0,15,0,10.5,90,202,1,0,2.9,18.4,2022-01-02,90,2,0,0,0,0,21,0,4383,1,2,0.0,2,390,522,132,43,True,0,0,0,0.0,90,DC,Brentford,Aston Villa,2,1,16577,2021,505594,0.0738702565431594,0,1,0,0.0,0.153679072856903,0.0798088163137435,2,2
0,0,19,0,15.3,90,162,3,0,5.6,20.6,2022-01-19,90,13,0,0,0,0,22,0,4153,3,1,20.0,1,-64,172,236,43,True,0,0,1,0.058680523186922,90,DC,Brentford,Manchester United,1,3,16537,2021,509186,0.0326434001326561,0,1,0,0.058680523186922,0.1646354645490646,0.1319920718669891,3,2
0,0,15,0,24.3,90,328,1,0,4.4,19.8,2022-04-16,69,18,0,0,0,0,33,0,4069,2,1,0.0,2,5,59,54,43,False,0,0,0,0.0,70,Sub,Watford,Brentford,1,2,16698,2021,526449,0.1221019104123115,0,2,0,0.0,0.1221019104123115,0.0,2,2
0,0,22,1,1.3,90,332,0,0,1.5,11.4,2022-04-23,90,17,0,0,0,0,34,0,4107,0,0,2.0,5,16,53,37,43,True,1,0,0,0.0,90,DC,Brentford,Tottenham,0,0,16714,2021,528877,0.0,0,0,0,0.0,0.0824747234582901,0.0824747234582901,3,2
0,0,11,0,1.1,90,344,3,0,3.1,10.0,2022-05-02,90,13,0,0,0,0,35,0,4209,0,3,20.0,1,81,113,32,43,False,0,0,1,0.0131813790649175,90,DC,Manchester United,Brentford,3,0,16722,2021,531705,0.0,0,0,0,0.0131813790649175,0.0104876216500997,0.0104876216500997,2,4
0,0,19,1,0.1,90,352,0,0,1.5,15.0,2022-05-07,90,16,0,0,0,0,36,0,4354,0,3,0.0,6,104,172,68,43,True,0,0,0,0.0,90,DC,Brentford,Southampton,3,0,16734,2021,534202,0.0,0,0,0,0.0,0.6938589215278625,0.6938589215278625,2,2
0,0,-1,0,0.7,90,362,2,0,0.0,0.0,2022-05-15,45,8,0,0,0,0,37,0,4902,3,2,0.0,-1,423,550,127,43,False,1,0,0,0.0,50,DC,Everton,Brentford,2,3,16744,2021,536240,0.0,0,0,0,0.0,0.068726398050785,0.068726398050785,2,2
