assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers,pts_bps,whh,whd,wha
0,0,3,0,2.9,191,0.02,0.06,0.04,1.59,8,2,0,2.8,18.4,2024-08-18,90,False,4,0,0,0,0,1,0,1762243,1,1,2,7.0,0,0,0,0,4.5,False,1,0,1,0.0322997756302356,90,Brentford,Crystal Palace,2,1,26609,2024,666810,0.0,0,0,0,0.0322997756302356,0.1456997245550155,0.1456997245550155,Crystal Palace,3,3,1,1.9,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.392,0.274,0.334
0,0,15,0,0.8,191,0.01,0.02,0.01,0.76,35,1,0,2.9,23.8,2024-09-14,90,False,19,0,0,0,0,4,0,1161192,1,1,1,4.0,2,-269536,16765,286301,4.4,True,0,0,1,0.0127912433817982,90,Fulham,West Ham,1,1,26634,2024,673734,0.0,0,0,0,0.0127912433817982,0.08158840239048,0.08158840239048,Fulham,2,3,4,0.5,DEF,0.0,0.02,0.06,0.04,1.59,2.0,0.0,2.8,18.4,2.9,7.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.15,0.15,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-601051.0,-0.8893640329169223,2.0,0.384,0.282,0.333
0,0,15,0,11.3,191,0.01,0.07,0.06,1.54,44,1,0,5.3,25.6,2024-09-21,90,False,15,0,0,0,0,5,0,1094620,1,1,3,16.0,2,-72249,6561,78810,4.4,True,0,0,3,0.0547981671988964,90,Fulham,Newcastle United,3,1,26646,2024,675715,0.1051719188690185,0,1,0,0.0547981671988964,1.3254398107528689,1.3081705570220947,Fulham,4,3,5,0.5,DEF,0.0,0.01,0.02,0.01,0.76,1.0,0.0,2.9,23.8,0.8,4.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.08,0.5,0.0,0.02,0.04,0.02,1.18,1.5,0.0,2.85,21.1,1.85,5.5,90.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,1.5,1.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.11,0.11,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66572.0,-0.8462944091084794,,,,
0,2,28,1,2.1,191,0.02,0.08,0.06,0.8,59,0,0,4.6,39.4,2024-09-28,90,False,16,0,0,0,0,6,0,1005530,1,1,0,4.0,8,-90997,12234,103231,4.4,False,0,0,1,0.0456208400428295,90,Nottingham Forest,Fulham,0,1,26653,2024,677791,0.0,0,0,0,0.0456208400428295,0.224400594830513,0.224400594830513,Fulham,3,4,6,4.0,DEF,0.0,0.01,0.07,0.06,1.54,1.0,0.0,5.3,25.6,11.3,16.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,3.0,0.05,0.11,0.0,0.0,1.0,0.0,0.05,1.33,1.31,0.5,0.0,0.01,0.05,0.04,1.15,1.0,0.0,4.1,24.7,6.05,10.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.03,0.05,0.0,0.0,0.5,0.0,0.03,0.7,0.69,0.5,0.0,0.01,0.05,0.04,1.3,1.33,0.0,3.67,22.6,5.0,9.0,90.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.0,2.0,1.33,0.0,1.67,0.03,0.04,0.0,0.0,0.33,0.0,0.03,0.52,0.51,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89090.0,-0.7880916294981163,,,,
0,0,1,0,1.5,191,0.01,0.01,0.0,1.57,69,3,0,2.1,17.6,2024-10-05,90,False,13,0,0,0,0,7,0,966068,1,2,3,2.0,1,-41213,14056,55269,4.4,False,0,0,0,0.0,90,Manchester City,Fulham,3,2,26664,2024,679468,0.0,0,0,0,0.0,1.4112880229949951,1.4112880229949951,Fulham,3,4,7,2.2,DEF,1.0,0.02,0.08,0.06,0.8,0.0,0.0,4.6,39.4,2.1,4.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.22,0.22,4.0,0.5,0.02,0.08,0.06,1.17,0.5,0.0,4.95,32.5,6.7,10.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,5.0,0.0,2.0,0.05,0.05,0.0,0.0,0.5,0.0,0.05,0.77,0.77,2.25,0.33,0.01,0.06,0.04,1.03,0.67,0.0,4.27,29.6,4.73,8.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.33,4.0,0.0,1.67,0.04,0.04,0.0,0.0,0.33,0.0,0.04,0.54,0.54,1.67,0.25,0.02,0.06,0.04,1.17,1.0,0.0,3.9,26.8,4.28,7.75,90.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,1.0,1.5,3.0,0.0,1.5,0.04,0.03,0.0,0.0,0.25,0.0,0.04,0.44,0.44,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-39462.0,-0.5944897223223945,,,,
0,0,-5,0,1.2,191,0.01,0.01,0.0,1.29,72,3,0,1.1,10.0,2024-10-19,63,False,2,0,0,0,1,8,0,931205,1,3,1,0.0,-2,-36051,15462,51513,4.3,True,0,0,0,0.0,68,Fulham,Aston Villa,1,3,26673,2024,681320,0.0,0,0,0,0.0,0.0683858543634414,0.0683858543634414,Fulham,3,3,8,2.3,DEF,0.0,0.01,0.01,0.0,1.57,3.0,0.0,2.1,17.6,1.5,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,1.41,2.2,0.5,0.02,0.04,0.03,1.18,1.5,0.0,3.35,28.5,1.8,3.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,4.5,0.0,0.5,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.82,0.82,3.1,0.33,0.01,0.05,0.04,1.3,1.33,0.0,4.0,27.53,4.97,7.33,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,2.0,3.67,0.0,1.33,0.03,0.04,0.0,0.0,0.33,0.0,0.03,0.99,0.98,2.23,0.25,0.01,0.05,0.03,1.17,1.25,0.0,3.72,26.6,3.92,6.5,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.25,1.75,3.25,0.0,1.25,0.03,0.03,0.0,0.0,0.25,0.0,0.03,0.76,0.76,1.8,0.2,0.01,0.05,0.03,1.25,1.4,0.0,3.54,24.96,3.72,6.6,90.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.2,1.8,2.6,0.0,1.2,0.03,0.02,0.0,0.0,0.2,0.0,0.03,0.64,0.63,1.82,-34863.0,-0.5382754759238522,-2.0,0.4,0.267,0.333
0,0,7,0,3.6,191,0.03,0.08,0.05,0.59,92,1,0,3.2,10.4,2024-11-04,90,False,4,0,0,0,0,10,0,755247,1,1,2,18.0,2,-32126,8011,40137,4.3,True,0,0,2,0.041110310703516,90,Fulham,Brentford,2,1,26693,2024,686107,0.0,0,0,0,0.041110310703516,0.1557156890630722,0.1435903757810592,Fulham,3,3,10,0.0,DEF,0.0,0.01,0.01,0.0,1.29,3.0,0.0,1.1,10.0,1.2,0.0,63.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,2.3,0.0,0.01,0.01,0.0,1.43,3.0,0.0,1.6,13.8,1.35,1.0,76.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0,2.5,2.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.74,2.25,0.33,0.01,0.03,0.02,1.22,2.0,0.0,2.6,22.33,1.6,2.0,81.0,0.0,0.0,0.0,0.33,0.0,0.0,1.0,2.0,1.33,2.33,0.0,0.33,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.57,0.57,2.83,0.25,0.01,0.04,0.03,1.3,1.75,0.0,3.28,23.15,4.03,5.5,83.25,0.0,0.0,0.0,0.25,0.0,0.0,1.0,1.75,1.75,2.25,0.0,1.0,0.03,0.03,0.0,0.0,0.25,0.0,0.03,0.76,0.75,2.25,0.2,0.01,0.04,0.03,1.19,1.6,0.0,3.2,23.28,3.38,5.2,84.6,0.0,0.0,0.0,0.2,0.0,0.0,1.0,1.6,1.6,2.2,0.0,1.0,0.02,0.02,0.0,0.0,0.2,0.0,0.02,0.62,0.62,1.9,-175958.0,-0.6672343607211099,2.0,0.467,0.259,0.274
0,1,31,1,2.0,191,0.01,0.04,0.03,1.52,104,0,0,3.1,23.8,2024-11-09,90,False,7,0,0,0,0,11,0,731914,1,2,0,5.0,7,-23502,4883,28385,4.3,False,0,0,1,0.0658192411065101,90,Crystal Palace,Fulham,0,2,26706,2024,686619,0.0,0,0,0,0.0658192411065101,0.1397346407175064,0.1397346407175064,Fulham,3,3,11,3.0,DEF,0.0,0.03,0.08,0.05,0.59,1.0,0.0,3.2,10.4,3.6,18.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.16,0.14,0.0,0.0,0.02,0.04,0.02,0.94,2.0,0.0,2.15,10.2,2.4,9.0,76.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0,2.0,1.5,0.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.11,0.11,1.15,0.0,0.02,0.03,0.02,1.15,2.33,0.0,2.13,12.67,2.1,6.67,81.0,0.0,0.0,0.0,0.33,0.0,0.0,1.0,2.0,2.0,0.33,0.0,0.67,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.55,0.54,1.5,0.25,0.02,0.04,0.03,1.06,1.75,0.0,2.75,19.35,2.1,6.0,83.25,0.0,0.0,0.0,0.25,0.0,0.0,1.0,1.75,1.5,2.25,0.0,0.75,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.46,0.46,2.12,0.2,0.02,0.05,0.03,1.16,1.6,0.0,3.26,20.6,3.94,8.0,84.6,0.0,0.0,0.0,0.2,0.0,0.0,1.0,1.6,1.8,2.2,0.0,1.2,0.03,0.02,0.0,0.0,0.2,0.0,0.03,0.64,0.63,1.8,-23333.0,-0.7064446314776963,6.0,0.354,0.281,0.365
0,0,0,0,0.8,191,0.01,0.01,0.0,0.91,115,4,0,1.8,15.0,2024-11-23,90,False,20,0,0,0,0,12,0,742227,1,4,1,2.0,0,7495,28235,20740,4.3,True,0,0,0,0.0,90,Fulham,Wolverhampton Wanderers,1,4,26717,2024,688392,0.0,0,0,0,0.0,0.0255613978952169,0.0255613978952169,Fulham,3,3,12,3.0,DEF,1.0,0.01,0.04,0.03,1.52,0.0,0.0,3.1,23.8,2.0,5.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,7.0,0.0,1.0,0.07,0.0,0.0,0.0,0.0,0.0,0.07,0.14,0.14,3.0,0.5,0.02,0.06,0.04,1.06,0.5,0.0,3.15,17.1,2.8,11.5,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0,4.5,0.0,1.5,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.15,0.14,1.5,0.33,0.02,0.04,0.03,1.13,1.33,0.0,2.47,14.73,2.27,7.67,81.0,0.0,0.0,0.0,0.33,0.0,0.0,1.0,2.0,1.0,2.33,0.0,1.0,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.12,0.12,1.77,0.25,0.02,0.04,0.02,1.24,1.75,0.0,2.38,15.45,2.08,6.25,83.25,0.0,0.0,0.0,0.25,0.0,0.0,1.0,2.0,1.5,2.0,0.0,0.75,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.44,0.44,1.88,0.4,0.02,0.04,0.03,1.15,1.4,0.0,2.82,20.24,2.08,5.8,84.6,0.0,0.0,0.0,0.2,0.0,0.0,1.0,1.8,1.2,3.2,0.0,0.8,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.4,0.4,2.3,10313.0,0.1530372639101582,,,,
0,0,6,0,0.6,191,0.01,0.01,0.0,1.12,174,1,0,1.8,17.2,2024-12-26,90,False,6,0,0,0,0,18,0,439863,1,2,1,0.0,1,-14792,3271,18063,4.2,False,1,0,0,0.0,90,Chelsea,Fulham,1,2,26775,2024,696192,0.0,0,0,0,0.0,0.1436016708612442,0.1436016708612442,Fulham,3,4,18,-0.3,DEF,0.0,0.01,0.01,0.0,0.91,4.0,0.0,1.8,15.0,0.8,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,3.0,0.5,0.01,0.02,0.02,1.22,2.0,0.0,2.45,19.4,1.4,3.5,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.5,3.5,0.0,0.5,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.08,3.0,0.33,0.02,0.04,0.03,1.01,1.67,0.0,2.7,16.4,2.13,8.33,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.33,1.0,3.0,0.0,1.0,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.11,0.1,2.0,0.25,0.02,0.03,0.02,1.08,2.0,0.0,2.3,14.8,1.9,6.25,83.25,0.0,0.0,0.0,0.25,0.0,0.0,1.0,2.5,1.0,1.75,0.0,0.75,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.09,2.08,0.2,0.01,0.03,0.02,1.18,2.2,0.0,2.26,15.36,1.82,5.4,84.6,0.0,0.0,0.0,0.2,0.0,0.0,1.0,2.4,1.4,1.6,0.0,0.6,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.36,0.36,2.1,-302364.0,-0.6933533327083529,1.0,0.635,0.201,0.164
