assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers,pts_bps,whh,whd,wha
0,0,7,0,14.8,11,0.23,0.57,0.34,1.23,34,2,0,7.1,0.0,2024-09-14,90,0,0,0,0,0,0,0,False,11,0,0,0,0,4,0,85674,1,2,2,57.0,2,37592,53659,16067,5.9,True,0,0,6,0.4108835160732269,90,Crystal Palace,Leicester,2,2,26636,2024,673711,0.1044820472598075,0,1,0,0.4108835160732269,1.416905641555786,1.1869100332260132,Crystal Palace,1,3,4,1.0,FWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.539138915182285,2.0,0.588,0.238,0.173
0,0,9,1,1.0,11,0.01,0.16,0.15,1.63,43,0,0,1.9,6.8,2024-09-21,65,0,0,0,0,0,0,0,False,14,0,0,0,0,5,0,105775,1,0,0,11.0,2,18846,29860,11014,5.9,True,0,0,2,0.0704249814152717,66,Crystal Palace,Manchester United,0,0,26649,2024,675935,0.0,0,0,0,0.0704249814152717,0.4005952477455139,0.3301702737808227,Crystal Palace,2,3,5,1.0,FWD,0.0,0.23,0.57,0.34,1.23,2.0,0.0,7.1,0.0,14.8,57.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,6.0,0.41,0.1,0.0,0.0,1.0,0.0,0.41,1.42,1.19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20101.0,0.4610755003180506,2.0,0.331,0.254,0.415
0,0,4,0,2.3,11,0.01,0.1,0.09,0.87,55,2,0,1.4,0.0,2024-09-28,72,0,0,0,0,0,0,0,False,8,0,0,0,0,6,0,117049,1,1,2,14.0,2,9491,26236,16745,5.9,False,0,0,2,0.1081047356128692,74,Everton,Crystal Palace,2,1,26654,2024,677827,0.0,0,0,0,0.1081047356128692,0.0506060533225536,0.0,Crystal Palace,3,3,6,1.5,FWD,1.0,0.01,0.16,0.15,1.63,0.0,0.0,1.9,6.8,1.0,11.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.07,0.0,0.0,0.0,0.0,0.0,0.07,0.4,0.33,1.0,0.5,0.12,0.36,0.24,1.43,1.0,0.0,4.5,3.4,7.9,34.0,77.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,4.0,0.24,0.05,0.0,0.0,0.5,0.0,0.24,0.91,0.76,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11274.0,0.2208185011982038,2.0,0.352,0.288,0.361
0,0,8,0,1.3,11,0.01,0.08,0.07,1.4,66,1,0,1.4,5.6,2024-10-05,90,0,0,0,0,0,0,0,False,12,0,0,0,0,7,0,104860,1,1,0,7.0,1,-13127,9326,22453,5.9,True,1,0,1,0.0609246455132961,90,Crystal Palace,Liverpool,0,1,26662,2024,679180,0.0,0,0,0,0.0609246455132961,0.0609246455132961,0.0,Crystal Palace,5,3,7,1.3,FWD,0.0,0.01,0.1,0.09,0.87,2.0,0.0,1.4,0.0,2.3,14.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.11,0.0,0.0,0.0,0.0,0.0,0.11,0.05,0.0,1.5,0.5,0.01,0.13,0.12,1.25,1.0,0.0,1.65,3.4,1.65,12.5,68.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,0.0,2.0,0.09,0.0,0.0,0.0,0.0,0.0,0.09,0.23,0.17,1.25,0.33,0.08,0.28,0.19,1.24,1.33,0.0,3.47,2.27,6.03,27.33,75.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.33,2.0,0.0,3.33,0.2,0.03,0.0,0.0,0.33,0.0,0.2,0.62,0.51,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12189.0,-0.4130715252210579,1.0,0.158,0.211,0.632
0,0,18,0,41.7,11,0.06,0.31,0.25,1.35,77,1,0,10.5,13.8,2024-10-21,65,0,0,0,0,0,0,0,False,16,0,0,0,0,8,0,100908,1,0,1,49.0,2,-6178,8875,15053,5.9,False,0,0,4,0.2124115079641342,68,Nottingham Forest,Crystal Palace,1,0,26677,2024,682460,0.2070889621973037,0,4,0,0.2124115079641342,0.4703259170055389,0.0868245735764503,Crystal Palace,3,4,8,1.7,FWD,0.0,0.01,0.08,0.07,1.4,1.0,0.0,1.4,5.6,1.3,7.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,1.3,0.0,0.01,0.09,0.08,1.14,1.5,0.0,1.4,2.8,1.8,10.5,81.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,1.5,0.0,1.5,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.06,0.0,1.4,0.33,0.01,0.11,0.1,1.3,1.0,0.0,1.57,4.13,1.53,10.67,75.67,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.67,0.67,1.67,0.0,1.67,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.17,0.11,1.27,0.25,0.06,0.23,0.16,1.28,1.25,0.0,2.95,3.1,4.85,22.25,79.25,0.0,0.0,0.0,0.0,0.25,0.0,1.0,1.0,1.0,1.75,0.0,2.75,0.16,0.03,0.0,0.0,0.25,0.0,0.16,0.48,0.38,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3952.0,-0.2581912403878301,2.0,0.413,0.271,0.316
0,0,3,0,0.8,11,0.01,0.01,0.0,0.04,86,0,0,0.9,8.2,2024-10-27,23,0,0,0,0,0,0,0,False,18,0,0,0,0,9,0,90626,0,0,1,0.0,1,-10647,2730,13377,5.9,True,0,0,0,0.0,17,Crystal Palace,Tottenham,1,0,26689,2024,683491,0.0,0,0,0,0.0,0.0,0.0,Crystal Palace,2,3,9,0.8,FWD,0.0,0.06,0.31,0.25,1.35,1.0,0.0,10.5,13.8,41.7,49.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,4.0,0.21,0.21,0.0,0.0,4.0,0.0,0.21,0.47,0.09,1.7,0.0,0.03,0.2,0.16,1.38,1.0,0.0,5.95,9.7,21.5,28.0,77.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.5,1.5,0.0,2.5,0.14,0.1,0.0,0.0,2.0,0.0,0.14,0.27,0.04,1.5,0.0,0.03,0.16,0.14,1.21,1.33,0.0,4.43,6.47,15.1,23.33,75.67,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.67,1.0,1.67,0.0,2.33,0.13,0.07,0.0,0.0,1.33,0.0,0.13,0.19,0.03,1.5,0.25,0.02,0.16,0.14,1.31,1.0,0.0,3.8,6.55,11.58,20.25,73.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.5,0.75,1.75,0.0,2.25,0.11,0.05,0.0,0.0,1.0,0.0,0.11,0.25,0.1,1.38,0.2,0.06,0.24,0.18,1.3,1.2,0.0,4.46,5.24,12.22,27.6,76.4,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.8,1.0,1.8,0.0,3.0,0.17,0.06,0.0,0.0,1.0,0.0,0.17,0.48,0.32,1.3,-10282.0,-0.6610169491525424,1.0,0.244,0.237,0.519
0,0,9,0,22.3,11,0.06,0.18,0.12,1.38,100,2,0,5.8,11.8,2024-11-02,83,0,0,0,0,0,0,0,False,20,0,0,0,0,10,0,78624,1,2,2,24.0,2,-12880,2608,15488,5.9,False,0,0,2,0.1032361686229705,84,Wolverhampton Wanderers,Crystal Palace,2,2,26701,2024,685257,0.1621864736080169,0,2,0,0.1032361686229705,0.2453107237815857,0.0,Crystal Palace,3,3,10,1.7,FWD,0.0,0.01,0.01,0.0,0.04,0.0,0.0,0.9,8.2,0.8,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.03,0.16,0.12,0.7,0.5,0.0,5.7,11.0,21.25,24.5,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.5,0.0,2.0,0.11,0.1,0.0,0.0,2.0,0.0,0.11,0.24,0.04,1.25,0.0,0.03,0.13,0.11,0.93,0.67,0.0,4.27,9.2,14.6,18.67,59.33,0.0,0.0,0.0,0.0,0.33,0.0,0.67,0.33,0.67,1.33,0.0,1.67,0.09,0.07,0.0,0.0,1.33,0.0,0.09,0.18,0.03,1.27,0.0,0.02,0.12,0.1,0.92,1.0,0.0,3.55,6.9,11.52,17.5,62.5,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.5,1.0,1.5,0.0,1.75,0.1,0.05,0.0,0.0,1.0,0.0,0.1,0.15,0.02,1.32,0.2,0.02,0.13,0.11,1.06,0.8,0.0,3.22,6.88,9.42,16.2,63.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.4,0.8,1.6,0.0,1.8,0.09,0.04,0.0,0.0,0.8,0.0,0.09,0.2,0.08,1.26,-12002.0,-0.7117595048629531,2.0,0.384,0.282,0.333
0,0,4,0,0.3,11,0.0,0.0,0.0,0.0,124,0,0,0.3,2.2,2024-11-30,13,0,0,0,0,0,0,0,False,15,0,0,0,0,13,0,48916,0,1,1,0.0,1,-4285,124,4409,5.9,True,0,0,0,0.0,8,Crystal Palace,Newcastle United,1,1,26725,2024,690094,0.0,0,0,0,0.0,0.0,0.0,Crystal Palace,4,3,13,0.8,FWD,0.0,0.06,0.18,0.12,1.38,2.0,0.0,5.8,11.8,22.3,24.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.1,0.16,0.0,0.0,2.0,0.0,0.1,0.25,0.0,1.7,0.0,0.04,0.09,0.06,0.71,1.0,0.0,3.35,10.0,11.55,12.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,1.5,0.0,1.0,0.05,0.08,0.0,0.0,1.0,0.0,0.05,0.12,0.0,1.25,0.0,0.04,0.17,0.12,0.92,1.0,0.0,5.73,11.27,21.6,24.33,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,1.33,1.67,0.0,2.0,0.11,0.12,0.0,0.0,2.0,0.0,0.11,0.24,0.03,1.4,0.0,0.03,0.15,0.11,1.04,1.0,0.0,4.65,9.85,16.53,20.0,65.25,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.75,1.0,1.5,0.0,1.75,0.09,0.09,0.0,0.0,1.5,0.0,0.09,0.19,0.02,1.38,0.0,0.03,0.14,0.11,1.01,1.2,0.0,4.0,7.88,13.68,18.8,66.6,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.8,1.2,1.6,0.0,1.8,0.1,0.07,0.0,0.0,1.2,0.0,0.1,0.17,0.02,1.4,-29708.0,-0.9452900948599162,1.0,0.326,0.263,0.411
0,0,3,0,0.0,11,0.0,0.0,0.0,0.0,136,0,0,0.0,0.0,2024-12-03,1,0,0,0,0,0,0,0,False,10,0,0,0,0,14,0,49336,0,1,0,0.0,1,-47,1708,1755,5.9,False,0,0,0,0.0,1,Ipswich,Crystal Palace,0,1,26737,2024,691351,0.0,0,0,0,0.0,0.0,0.0,Crystal Palace,3,2,14,0.5,FWD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.2,0.3,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.03,0.09,0.06,0.69,1.0,0.0,3.05,7.0,11.3,12.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,1.5,1.5,0.0,1.0,0.05,0.08,0.0,0.0,1.0,0.0,0.05,0.12,0.0,1.25,0.0,0.02,0.06,0.04,0.47,0.67,0.0,2.33,7.4,7.8,8.0,39.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,1.33,1.33,0.0,0.67,0.03,0.05,0.0,0.0,0.67,0.0,0.03,0.08,0.0,1.1,0.0,0.03,0.12,0.09,0.69,0.75,0.0,4.38,9.0,16.28,18.25,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,1.25,1.5,0.0,1.5,0.08,0.09,0.0,0.0,1.5,0.0,0.08,0.18,0.02,1.25,0.0,0.03,0.12,0.09,0.83,0.8,0.0,3.78,8.32,13.28,16.0,54.8,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.8,1.0,1.4,0.0,1.4,0.08,0.07,0.0,0.0,1.2,0.0,0.08,0.16,0.02,1.26,420.0,-0.0135720473577822,1.0,0.317,0.279,0.404
0,0,-2,0,0.5,11,0.0,0.0,0.0,0.0,143,0,0,0.0,0.0,2024-12-07,13,0,0,0,0,0,0,0,False,13,0,0,0,0,15,0,48425,0,2,2,0.0,0,-1103,1104,2207,5.9,True,1,0,0,0.0,10,Crystal Palace,Manchester City,2,2,26747,2024,692202,0.0,0,0,0,0.0,0.0,0.0,Crystal Palace,4,3,15,-0.5,FWD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.1,0.15,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.02,0.06,0.04,0.46,0.67,0.0,2.03,4.67,7.53,8.0,32.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.33,1.0,1.33,0.0,0.67,0.03,0.05,0.0,0.0,0.67,0.0,0.03,0.08,0.0,1.0,0.0,0.02,0.05,0.03,0.36,0.5,0.0,1.75,5.55,5.85,6.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1.0,1.25,0.0,0.5,0.03,0.04,0.0,0.0,0.5,0.0,0.03,0.06,0.0,0.95,0.0,0.03,0.1,0.07,0.55,0.6,0.0,3.5,7.2,13.02,14.6,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,1.0,1.4,0.0,1.2,0.06,0.07,0.0,0.0,1.2,0.0,0.06,0.14,0.02,1.1,-911.0,-0.333131984294775,0.0,0.172,0.225,0.603
