assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,fpl_id,understat_id,player_team,FPL_Name,Understat_Name
0,0,0,15,0,0.8,711,0.01,0.01,0.0,1.29,203,3,0,1.8,17.6,2024-01-20,90,4,0,0,0,0,21,0,2144,1,2,3,0.0,1,0,70,70,45,False,0,0,0,0.0,90,DEF,Brentford,Nottingham Forest,3,2,22104,2023,635957,0.0,0,0,0,0.0,0.3158827424049377,0.3158827424049377,711,9833,Nottingham Forest,Andrew Omobamidele,Andrew Omobamidele
1,0,0,8,0,0.5,711,0.0,0.0,0.0,1.23,215,2,0,1.1,10.4,2024-01-30,90,1,0,0,0,0,22,0,2357,1,2,1,0.0,1,69,123,54,45,True,0,0,0,0.0,90,DEF,Nottingham Forest,Arsenal,1,2,22108,2023,637748,0.0,0,0,0,0.0,0.0,0.0,711,9833,Nottingham Forest,Andrew Omobamidele,Andrew Omobamidele
2,0,0,14,0,10.3,711,0.0,0.0,0.0,0.96,222,1,0,4.3,31.0,2024-02-04,90,3,0,0,0,0,23,0,2395,1,1,1,2.0,1,-3,50,53,45,False,1,0,0,0.0,90,DEF,Bournemouth,Nottingham Forest,1,1,22115,2023,639025,0.0205894913524389,0,1,0,0.0,0.0751326084136962,0.0545431189239025,711,9833,Nottingham Forest,Andrew Omobamidele,Andrew Omobamidele
3,0,0,3,0,0.0,711,0.0,0.0,0.0,0.01,248,0,0,0.0,0.0,2024-02-17,1,19,0,0,0,0,25,0,2621,0,0,2,0.0,1,-49,62,111,45,True,0,0,0,0.0,1,DEF,Nottingham Forest,West Ham,2,0,22142,2023,641804,0.0,0,0,0,0.0,0.0,0.0,711,9833,Nottingham Forest,Andrew Omobamidele,Andrew Omobamidele
4,0,0,0,0,0.4,711,0.0,0.0,0.0,1.66,252,1,0,0.3,2.8,2024-02-24,45,2,0,0,0,0,26,0,2761,0,2,4,0.0,1,0,71,71,45,False,0,0,0,0.0,38,DEF,Aston Villa,Nottingham Forest,4,2,22147,2023,643201,0.0,0,0,0,0.0,0.3634808659553528,0.3634808659553528,711,9833,Nottingham Forest,Andrew Omobamidele,Andrew Omobamidele
5,0,0,11,0,0.1,711,0.0,0.0,0.0,2.07,268,1,0,3.8,38.2,2024-03-02,90,11,0,0,0,0,27,0,2806,1,1,0,0.0,2,-38,34,72,45,True,0,0,0,0.0,90,DEF,Nottingham Forest,Liverpool,0,1,22162,2023,644930,0.0,0,0,0,0.0,0.0,0.0,711,9833,Nottingham Forest,Andrew Omobamidele,Andrew Omobamidele
6,0,0,4,0,0.5,711,0.0,0.0,0.0,0.46,274,1,0,1.0,9.4,2024-03-10,90,5,1,0,0,0,28,0,2970,1,0,1,0.0,-1,56,110,54,45,False,1,0,0,0.0,90,DEF,Brighton,Nottingham Forest,1,0,22168,2023,647231,0.0,0,0,0,0.0,0.0447566919028759,0.0447566919028759,711,9833,Nottingham Forest,Andrew Omobamidele,Andrew Omobamidele
7,0,0,8,0,0.3,711,0.0,0.0,0.0,1.48,305,1,0,1.9,16.8,2024-04-02,90,10,0,0,0,0,31,0,3647,1,1,3,2.0,2,-104,35,139,45,True,0,0,0,0.0,90,DEF,Nottingham Forest,Fulham,3,1,22198,2023,650976,0.0,0,0,0,0.0,0.7926961779594421,0.7926961779594421,711,9833,Nottingham Forest,Andrew Omobamidele,Andrew Omobamidele
8,0,0,16,0,10.3,711,0.0,0.0,0.0,1.48,319,3,0,2.1,10.4,2024-04-07,90,18,0,0,0,0,32,0,3651,1,1,3,0.0,1,-71,32,103,45,False,0,0,0,0.0,90,DEF,Tottenham,Nottingham Forest,3,1,22213,2023,652619,0.0567061491310596,0,1,0,0.0,0.2013844400644302,0.2013844400644302,711,9833,Nottingham Forest,Andrew Omobamidele,Andrew Omobamidele
9,0,0,12,0,1.3,711,0.01,0.15,0.14,1.07,329,2,0,2.3,9.6,2024-04-13,90,20,0,0,0,0,33,0,3737,1,2,2,12.0,1,-16,65,81,45,True,0,0,1,0.0812814310193061,90,DEF,Nottingham Forest,Wolverhampton Wanderers,2,2,22223,2023,653320,0.0,0,0,0,0.0812814310193061,0.1257959157228469,0.0445144809782505,711,9833,Nottingham Forest,Andrew Omobamidele,Andrew Omobamidele
10,0,0,3,0,0.6,711,0.0,0.0,0.0,0.06,347,0,0,0.3,2.4,2024-04-28,16,13,0,0,0,0,35,0,3842,0,2,0,0.0,1,-133,30,163,45,True,0,0,0,0.0,12,DEF,Nottingham Forest,Manchester City,0,2,22242,2023,657803,0.0,0,0,0,0.0,0.0087820459157228,0.0087820459157228,711,9833,Nottingham Forest,Andrew Omobamidele,Andrew Omobamidele
