AM_namesX10,AM_oddsX10,contest
Anthony Gordon Ax10,2.6 - 3,Newcastle v Chelsea
Cole Palmer Ax10,2.6 - 3,Newcastle v Chelsea
Anthony Elanga Ax10,2.3 - 2.7,Newcastle v Chelsea
Jacob Murphy Ax10,2.2 - 2.6,Newcastle v Chelsea
Alejandro Garnacho Ax10,2.3 - 2.7,Newcastle v Chelsea
Pedro Neto Ax10,2 - 2.4,Newcastle v Chelsea
Joao Pedro Ax10,1.7 - 2.1,Newcastle v Chelsea
Sandro Tonali Ax10,1.7 - 2.1,Newcastle v Chelsea
Reece James Ax10,1.6 - 1.9,Newcastle v Chelsea
Enzo Fernandez Ax10,1.6 - 1.9,Newcastle v Chelsea
Nick Woltemade Ax10,1.4 - 1.7,Newcastle v Chelsea
Bruno Guimaraes Ax10,1.1 - 1.4,Newcastle v Chelsea
Lewis Miley Ax10,1 - 1.3,Newcastle v Chelsea
Lewis Hall Ax10,0.9 - 1.2,Newcastle v Chelsea
Marc Cucurella Ax10,0.9 - 1.2,Newcastle v Chelsea
Moises Caicedo Ax10,0.7 - 0.9,Newcastle v Chelsea
Trevoh Chalobah Ax10,0.5 - 0.7,Newcastle v Chelsea
Fabian Schar Ax10,0.5 - 0.7,Newcastle v Chelsea
Mohammed Kudus Ax10,1.6 - 2,Tottenham v Liverpool
Federico Chiesa Ax10,2 - 2.4,Tottenham v Liverpool
Hugo Ekitike Ax10,0.7 - 0.9,Tottenham v Liverpool
Florian Wirtz Ax10,1.7 - 2.1,Tottenham v Liverpool
Richarlison Ax10,0.75 - 1,Tottenham v Liverpool
Brennan Johnson Ax10,1.7 - 2.1,Tottenham v Liverpool
Xavi Simons Ax10,1.2 - 1.5,Tottenham v Liverpool
Alexis MacAllister Ax10,1.2 - 1.5,Tottenham v Liverpool
Pedro Porro Ax10,1.2 - 1.5,Tottenham v Liverpool
Curtis Jones Ax10,0.8 - 1.1,Tottenham v Liverpool
Ryan Gravenberch Ax10,0.6 - 0.8,Tottenham v Liverpool
Conor Bradley Ax10,1.1 - 1.4,Tottenham v Liverpool
Rodrigo Bentancur Ax10,0.2 - 0.4,Tottenham v Liverpool
Cristian Romero Ax10,0.2 - 0.4,Tottenham v Liverpool
Milos Kerkez Ax10,1 - 1.3,Tottenham v Liverpool
Djed Spence Ax10,0.5 - 0.7,Tottenham v Liverpool
