AM_namesX10,AM_oddsX10,contest
Bukayo Saka Ax10,2.3 - 2.7,Aston Villa v Arsenal
Declan Rice Ax10,2.2 - 2.6,Aston Villa v Arsenal
Martin Odegaard Ax10,1.9 - 2.3,Aston Villa v Arsenal
Mikel Merino Ax10,1.1 - 1.4,Aston Villa v Arsenal
Noni Madueke Ax10,1.3 - 1.6,Aston Villa v Arsenal
Riccardo Calafiori Ax10,0.3 - 0.5,Aston Villa v Arsenal
Boubacar Kamara Ax10,0.7 - 0.9,Aston Villa v Arsenal
Morgan Rogers Ax10,1 - 1.3,Aston Villa v Arsenal
Evann Guessand Ax10,0.8 - 1.1,Aston Villa v Arsenal
Matty Cash Ax10,0.75 - 1,Aston Villa v Arsenal
Martin Zubimendi Ax10,0.7 - 0.9,Aston Villa v Arsenal
Ben White Ax10,0.7 - 0.9,Aston Villa v Arsenal
Jurrien Timber Ax10,0.6 - 0.8,Aston Villa v Arsenal
Ian Maatsen Ax10,0.7 - 0.9,Aston Villa v Arsenal
Ollie Watkins Ax10,0.7 - 0.9,Aston Villa v Arsenal
John McGinn Ax10,0.75 - 1,Aston Villa v Arsenal
Piero Hincapie Ax10,0.6 - 0.8,Aston Villa v Arsenal
Amadou Onana Ax10,0.2 - 0.4,Aston Villa v Arsenal
Eberechi Eze Ax10,1.7 - 2.1,Aston Villa v Arsenal
Gabriel Martinelli Ax10,1.4 - 1.7,Aston Villa v Arsenal
Viktor Gyokeres Ax10,1.2 - 1.5,Aston Villa v Arsenal
Emiliano Buendia Ax10,1 - 1.3,Aston Villa v Arsenal
Lucas Digne Ax10,0.8 - 1.1,Aston Villa v Arsenal
Youri Tielemans Ax10,0.75 - 1,Aston Villa v Arsenal
Ezri Konsa Ax10,0 - 0.2,Aston Villa v Arsenal
Jeremy Doku Ax10,4.3 - 4.8,Man City v Sunderland
Phil Foden Ax10,3.7 - 4.2,Man City v Sunderland
Bernardo Silva Ax10,2.4 - 2.8,Man City v Sunderland
Tijjani Reijnders Ax10,1.6 - 2,Man City v Sunderland
Matheus Nunes Ax10,1.6 - 2,Man City v Sunderland
Nico O'Reilly Ax10,1.4 - 1.7,Man City v Sunderland
Erling Haaland Ax10,1.3 - 1.6,Man City v Sunderland
Trai Hume Ax10,1 - 1.3,Man City v Sunderland
Enzo Le Fee Ax10,0.8 - 1.1,Man City v Sunderland
Josko Gvardiol Ax10,0.7 - 0.9,Man City v Sunderland
Nordi Mukiele Ax10,0.6 - 0.8,Man City v Sunderland
Brian Brobbey Ax10,0.6 - 0.8,Man City v Sunderland
Chemsdine Talbi Ax10,0.6 - 0.8,Man City v Sunderland
Nico Gonzalez Ax10,0.5 - 0.7,Man City v Sunderland
Granit Xhaka Ax10,0.5 - 0.7,Man City v Sunderland
Noah Sadiki Ax10,0.4 - 0.6,Man City v Sunderland
Ruben Dias Ax10,0.2 - 0.4,Man City v Sunderland
Omar Alderete Ax10,0.1 - 0.3,Man City v Sunderland
Daniel Ballard Ax10,0.1 - 0.3,Man City v Sunderland
Reinildo Mandava Ax10,0.1 - 0.3,Man City v Sunderland
Rayan Cherki Ax10,6 - 6.5,Man City v Sunderland
Savinho Ax10,3.9 - 4.4,Man City v Sunderland
Omar Marmoush Ax10,3.5 - 4,Man City v Sunderland
Rayan Ait-Nouri Ax10,2.2 - 2.6,Man City v Sunderland
Rico Lewis Ax10,1.7 - 2.1,Man City v Sunderland
Bertrand Traore Ax10,0.7 - 0.9,Man City v Sunderland
Nathan Ake Ax10,0.3 - 0.5,Man City v Sunderland
Abdukodir Khusanov Ax10,0.3 - 0.5,Man City v Sunderland
Wilson Isidor Ax10,0.3 - 0.5,Man City v Sunderland
Lutsharel Geertruida Ax10,0.2 - 0.4,Man City v Sunderland
John Stones Ax10,0.2 - 0.4,Man City v Sunderland
Yankuba Minteh Ax10,3.1 - 3.6,Brighton v West Ham
Mats Wieffer Ax10,2.2 - 2.6,Brighton v West Ham
Brajan Gruda Ax10,2.1 - 2.5,Brighton v West Ham
Diego Gomez Ax10,1.9 - 2.3,Brighton v West Ham
Jarrod Bowen Ax10,1.8 - 2.2,Brighton v West Ham
Danny Welbeck Ax10,1 - 1.3,Brighton v West Ham
Maxime De Cuyper Ax10,1.6 - 2,Brighton v West Ham
Carlos Baleba Ax10,0.75 - 1,Brighton v West Ham
Freddie Potts Ax10,0.6 - 0.8,Brighton v West Ham
El Hadji Malick Diouf Ax10,1.2 - 1.5,Brighton v West Ham
Ferdi Kadioglu Ax10,0.75 - 1,Brighton v West Ham
Lucas Paqueta Ax10,1 - 1.3,Brighton v West Ham
Callum Wilson Ax10,0.75 - 1,Brighton v West Ham
Mateus Fernandes Ax10,1.2 - 1.5,Brighton v West Ham
Aaron Wan-Bissaka Ax10,0.75 - 1,Brighton v West Ham
Georginio Rutter Ax10,2.4 - 2.8,Brighton v West Ham
Kaoru Mitoma Ax10,2.3 - 2.7,Brighton v West Ham
Charalampos Kostoulas Ax10,1.6 - 1.9,Brighton v West Ham
Stefanos Tzimas Ax10,1.4 - 1.7,Brighton v West Ham
Crysencio Summerville Ax10,1.2 - 1.5,Brighton v West Ham
Jack Hinshelwood Ax10,1.1 - 1.4,Brighton v West Ham
Yasin Ayari Ax10,1 - 1.3,Brighton v West Ham
Niclas Fullkrug Ax10,1 - 1.3,Brighton v West Ham
Luis Guilherme Ax10,0.9 - 1.2,Brighton v West Ham
James Ward-Prowse Ax10,1.1 - 1.4,Brighton v West Ham
Joel Veltman Ax10,0.9 - 1.2,Brighton v West Ham
Kyle Walker-Peters Ax10,0.9 - 1.2,Brighton v West Ham
Olivier Boscagli Ax10,0.7 - 0.9,Brighton v West Ham
Tomas Soucek Ax10,0.7 - 0.9,Brighton v West Ham
Diego Coppola Ax10,0.3 - 0.5,Brighton v West Ham
Jan Paul van Hecke Ax10,0.2 - 0.4,Brighton v West Ham
Lewis Dunk Ax10,0.2 - 0.4,Brighton v West Ham
Soungoutou Magassa Ax10,0.2 - 0.4,Brighton v West Ham
Max Kilman Ax10,0.2 - 0.4,Brighton v West Ham
Guido Rodriguez Ax10,0.2 - 0.4,Brighton v West Ham
Konstantinos Mavropanos Ax10,0.1 - 0.3,Brighton v West Ham
Jean-Clair Todibo Ax10,0.1 - 0.3,Brighton v West Ham
Bukayo Saka Ax10,2.3 - 2.7,Aston Villa v Arsenal
Declan Rice Ax10,2.2 - 2.6,Aston Villa v Arsenal
Martin Odegaard Ax10,1.9 - 2.3,Aston Villa v Arsenal
Mikel Merino Ax10,1.1 - 1.4,Aston Villa v Arsenal
Noni Madueke Ax10,1.3 - 1.6,Aston Villa v Arsenal
Riccardo Calafiori Ax10,0.3 - 0.5,Aston Villa v Arsenal
Boubacar Kamara Ax10,0.7 - 0.9,Aston Villa v Arsenal
Morgan Rogers Ax10,1 - 1.3,Aston Villa v Arsenal
Evann Guessand Ax10,0.8 - 1.1,Aston Villa v Arsenal
Matty Cash Ax10,0.75 - 1,Aston Villa v Arsenal
Martin Zubimendi Ax10,0.7 - 0.9,Aston Villa v Arsenal
Ben White Ax10,0.7 - 0.9,Aston Villa v Arsenal
Jurrien Timber Ax10,0.6 - 0.8,Aston Villa v Arsenal
Ian Maatsen Ax10,0.7 - 0.9,Aston Villa v Arsenal
Ollie Watkins Ax10,0.7 - 0.9,Aston Villa v Arsenal
John McGinn Ax10,0.75 - 1,Aston Villa v Arsenal
Piero Hincapie Ax10,0.6 - 0.8,Aston Villa v Arsenal
Amadou Onana Ax10,0.2 - 0.4,Aston Villa v Arsenal
Eberechi Eze Ax10,1.7 - 2.1,Aston Villa v Arsenal
Gabriel Martinelli Ax10,1.4 - 1.7,Aston Villa v Arsenal
Viktor Gyokeres Ax10,1.2 - 1.5,Aston Villa v Arsenal
Emiliano Buendia Ax10,1 - 1.3,Aston Villa v Arsenal
Lucas Digne Ax10,0.8 - 1.1,Aston Villa v Arsenal
Youri Tielemans Ax10,0.75 - 1,Aston Villa v Arsenal
Ezri Konsa Ax10,0 - 0.2,Aston Villa v Arsenal
Donyell Malen Ax10,1.3 - 1.6,Aston Villa v Arsenal
Myles Lewis-Skelly Ax10,0.9 - 1.2,Aston Villa v Arsenal
Christian Norgaard Ax10,0.75 - 1,Aston Villa v Arsenal
Cole Palmer Ax10,2.6 - 3,Bournemouth v Chelsea
Joao Pedro Ax10,1.9 - 2.3,Bournemouth v Chelsea
David Brooks Ax10,1.9 - 2.3,Bournemouth v Chelsea
Enzo Fernandez Ax10,1.7 - 2.1,Bournemouth v Chelsea
Antoine Semenyo Ax10,1.6 - 2,Bournemouth v Chelsea
Alex Scott Ax10,1.4 - 1.7,Bournemouth v Chelsea
Justin Kluivert Ax10,1.4 - 1.7,Bournemouth v Chelsea
Marcos Senesi Ax10,1.2 - 1.5,Bournemouth v Chelsea
Adrien Truffert Ax10,1.1 - 1.4,Bournemouth v Chelsea
Marc Cucurella Ax10,1 - 1.3,Bournemouth v Chelsea
Trevoh Chalobah Ax10,0.6 - 0.8,Bournemouth v Chelsea
Alejandro Garnacho Ax10,2.6 - 3,Bournemouth v Chelsea
Reece James Ax10,2 - 2.4,Bournemouth v Chelsea
Pedro Neto Ax10,1.8 - 2.2,Bournemouth v Chelsea
Marcus Tavernier Ax10,1.6 - 1.9,Bournemouth v Chelsea
Malo Gusto Ax10,1.3 - 1.6,Bournemouth v Chelsea
Evanilson Ax10,0.9 - 1.2,Bournemouth v Chelsea
Adam Smith Ax10,0.6 - 0.8,Bournemouth v Chelsea
Bafode Diakite Ax10,0.7 - 0.9,Bournemouth v Chelsea
Kiernan Dewsbury-Hall Ax10,2.8 - 3.3,Everton v Nottingham Forest
Jack Grealish Ax10,2.8 - 3.3,Everton v Nottingham Forest
Iliman Ndiaye Ax10,2 - 2.4,Everton v Nottingham Forest
Morgan Gibbs-White Ax10,1.9 - 2.3,Everton v Nottingham Forest
Elliot Anderson Ax10,1.6 - 2,Everton v Nottingham Forest
Dwight McNeil Ax10,1.6 - 1.9,Everton v Nottingham Forest
Carlos Alcaraz Ax10,1.6 - 1.9,Everton v Nottingham Forest
Dan Ndoye Ax10,1.2 - 1.5,Everton v Nottingham Forest
James Garner Ax10,0.75 - 1,Everton v Nottingham Forest
