assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5,pts_bps,whh,whd,wha
0.0,0.0,4.0,0.0,0.3,42.0,0.0,0.0,0.0,0.1,82.0,1.0,0.0,0.2,1.8,2024-10-26,8.0,False,3.0,0.0,0.0,0.0,0.0,9.0,0.0,845.0,0.0,1.0,1.0,0.0,1.0,252.0,338.0,86.0,50.0,True,0.0,0.0,0.0,0.0,4.0,Aston Villa,Bournemouth,1.0,1.0,26684.0,2024.0,682971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa,3.0,4.0,9.0,0.2,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.516,0.245,0.239
0.0,0.0,6.0,0.0,1.3,42.0,0.01,0.01,0.0,0.15,99.0,1.0,0.0,0.4,2.2,2024-11-03,9.0,False,18.0,0.0,0.0,0.0,0.0,10.0,0.0,1144.0,0.0,1.0,4.0,0.0,1.0,160.0,330.0,170.0,50.0,False,0.0,0.0,0.0,0.0,8.0,Tottenham,Aston Villa,4.0,1.0,26700.0,2024.0,685543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa,3.0,4.0,10.0,0.2,MID,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.2,1.8,0.3,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,845.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.2,1.8,0.3,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,845.0,1.0,0.502,0.24,0.259
0.0,0.0,-1.0,0.0,0.2,42.0,0.0,0.0,0.0,0.67,105.0,1.0,0.0,0.3,2.4,2024-11-09,16.0,False,12.0,0.0,0.0,0.0,0.0,11.0,0.0,1392.0,0.0,0.0,2.0,0.0,0.0,113.0,298.0,185.0,50.0,False,1.0,0.0,0.0,0.0,13.0,Liverpool,Aston Villa,2.0,0.0,26707.0,2024.0,686996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa,3.0,5.0,11.0,-0.3,MID,0.0,0.01,0.01,0.0,0.25,2.0,0.0,0.6,4.0,1.6,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1989.0,0.0,0.01,0.01,0.0,0.25,2.0,0.0,0.6,4.0,1.6,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1989.0,0.0,0.664,0.199,0.137
0.0,0.0,7.0,0.0,2.4,42.0,0.01,0.01,0.0,0.94,123.0,2.0,0.0,1.2,9.8,2024-12-01,61.0,False,6.0,0.0,0.0,0.0,0.0,13.0,0.0,1259.0,1.0,0.0,3.0,0.0,2.0,-46.0,99.0,145.0,50.0,False,0.0,0.0,0.0,0.0,67.0,Chelsea,Aston Villa,3.0,0.0,26724.0,2024.0,690696.0,0.0,0.0,0.0,0.0,0.0,0.299271285533905,0.299271285533905,Aston Villa,3.0,4.0,13.0,0.3,MID,0.0,0.01,0.01,0.0,0.82,2.0,0.0,0.7,4.6,1.5,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,2536.0,0.0,0.01,0.01,0.0,0.92,3.0,0.0,0.9,6.4,1.8,0.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3381.0,2.0,0.554,0.228,0.218
0.0,0.0,13.0,0.0,3.6,42.0,0.02,0.02,0.0,0.76,132.0,1.0,0.0,1.1,7.0,2024-12-04,69.0,False,4.0,0.0,0.0,0.0,0.0,14.0,0.0,1686.0,1.0,1.0,3.0,0.0,2.0,279.0,411.0,132.0,50.0,True,0.0,0.0,0.0,0.0,74.0,Aston Villa,Brentford,3.0,1.0,26734.0,2024.0,691544.0,0.0,0.0,0.0,0.0,0.0,0.2613265514373779,0.2613265514373779,Aston Villa,2.0,4.0,14.0,1.0,MID,0.0,0.01,0.01,0.0,1.61,3.0,0.0,1.5,12.2,2.6,0.0,77.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,2651.0,0.0,0.02,0.02,0.0,1.86,5.0,0.0,2.1,16.2,4.2,0.0,94.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,4640.0,2.0,0.532,0.24,0.228
0.0,0.0,15.0,1.0,12.5,42.0,0.02,0.02,0.0,0.33,141.0,0.0,0.0,2.9,14.4,2024-12-07,90.0,False,17.0,0.0,0.0,0.0,0.0,15.0,0.0,2022.0,1.0,0.0,1.0,2.0,3.0,258.0,435.0,177.0,50.0,True,0.0,0.0,0.0,0.0,90.0,Aston Villa,Southampton,1.0,0.0,26742.0,2024.0,692167.0,0.1036212816834449,0.0,1.0,0.0,0.0,0.956247329711914,0.8526260256767273,Aston Villa,2.0,4.0,15.0,2.3,MID,0.0,0.03,0.03,0.0,1.7,3.0,0.0,2.3,16.8,6.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.56,1.3,2945.0,0.0,0.04,0.04,0.0,2.52,5.0,0.0,3.0,21.4,7.5,0.0,155.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.56,1.2,5481.0,3.0,0.693,0.189,0.118
0.0,0.0,16.0,0.0,6.3,42.0,0.02,0.02,0.0,1.54,158.0,1.0,0.0,2.3,16.2,2024-12-14,90.0,False,16.0,0.0,0.0,0.0,0.0,16.0,0.0,2300.0,1.0,1.0,2.0,0.0,2.0,99.0,365.0,266.0,50.0,False,0.0,0.0,0.0,0.0,90.0,Nottingham Forest,Aston Villa,2.0,1.0,26761.0,2024.0,693897.0,0.0,0.0,0.0,0.0,0.0,0.0227430593222379,0.0227430593222379,Aston Villa,3.0,3.0,16.0,1.8,MID,1.0,0.05,0.05,0.0,2.03,3.0,0.0,5.2,31.2,18.5,2.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7.0,7.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,1.52,1.41,3.6,4967.0,1.0,0.05,0.05,0.0,2.7,4.0,0.0,5.5,33.6,18.7,2.0,236.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,9.0,7.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,1.52,1.41,3.3,6359.0,2.0,0.361,0.278,0.361
0.0,0.0,9.0,0.0,3.9,42.0,0.03,0.03,0.0,1.03,161.0,1.0,0.0,1.7,13.4,2024-12-21,90.0,False,13.0,0.0,0.0,0.0,0.0,17.0,0.0,2390.0,1.0,1.0,2.0,0.0,2.0,-8.0,232.0,240.0,50.0,True,0.0,0.0,0.0,0.0,90.0,Aston Villa,Manchester City,2.0,1.0,26762.0,2024.0,695018.0,0.0,0.0,0.0,0.0,0.0,0.583741307258606,0.583741307258606,Aston Villa,4.0,4.0,17.0,1.3,MID,1.0,0.06,0.06,0.0,2.63,2.0,0.0,6.3,37.6,22.4,2.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,6.0,7.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,1.24,1.14,5.1,6008.0,1.0,0.07,0.07,0.0,3.57,4.0,0.0,7.5,47.4,24.8,2.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,9.0,9.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,1.54,1.44,5.4,7267.0,2.0,0.287,0.263,0.451
0.0,0.0,12.0,0.0,1.3,42.0,0.01,0.08,0.07,2.49,177.0,2.0,0.0,1.6,13.0,2024-12-26,68.0,False,15.0,0.0,0.0,0.0,0.0,18.0,0.0,2677.0,1.0,0.0,3.0,2.0,2.0,169.0,454.0,285.0,50.0,False,0.0,0.0,1.0,0.0469025038182735,73.0,Newcastle United,Aston Villa,3.0,0.0,26778.0,2024.0,696227.0,0.0,0.0,0.0,0.0,0.0469025038182735,0.0,0.0,Aston Villa,3.0,4.0,18.0,2.2,MID,1.0,0.07,0.07,0.0,2.9,2.0,0.0,6.9,44.0,22.7,2.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,7.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,1.56,1.46,5.4,6712.0,1.0,0.1,0.1,0.0,4.6,5.0,0.0,9.2,60.8,28.7,2.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,11.0,11.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,2.12,2.02,6.7,9657.0,,,,
0.0,0.0,13.0,0.0,26.5,42.0,0.04,0.07,0.03,0.83,181.0,2.0,0.0,4.3,15.4,2024-12-30,82.0,False,5.0,0.0,0.0,0.0,0.0,19.0,0.0,2852.0,1.0,2.0,2.0,1.0,2.0,76.0,333.0,257.0,50.0,True,0.0,0.0,1.0,0.0318675152957439,90.0,Aston Villa,Brighton,2.0,2.0,26782.0,2024.0,696985.0,0.0616270042955875,0.0,2.0,0.0,0.0318675152957439,0.2404710799455642,0.1469765603542328,Aston Villa,3.0,4.0,19.0,2.2,MID,0.0,0.06,0.13,0.07,5.06,4.0,0.0,5.6,42.6,11.5,2.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,7.0,6.0,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.05,0.61,0.61,5.3,7367.0,1.0,0.1,0.17,0.07,6.15,5.0,0.0,9.6,64.0,27.6,4.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,11.0,11.0,0.0,1.0,0.05,0.1,0.0,1.0,0.0,0.05,1.82,1.72,8.6,11075.0,2.0,0.487,0.25,0.264
0.0,0.0,15.0,0.0,25.8,42.0,0.05,0.05,0.0,0.41,191.0,1.0,0.0,4.6,16.6,2025-01-04,90.0,False,11.0,0.0,0.0,0.0,0.0,20.0,0.0,3361.0,1.0,1.0,2.0,4.0,2.0,351.0,705.0,354.0,50.0,True,0.0,0.0,0.0,0.0,90.0,Aston Villa,Leicester,2.0,1.0,26793.0,2024.0,697251.0,0.0737035125494003,0.0,2.0,0.0,0.0,0.3402788937091827,0.3154594898223877,Aston Villa,2.0,4.0,20.0,2.0,MID,0.0,0.08,0.18,0.1,4.35,5.0,0.0,7.6,41.8,31.7,3.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,6.0,0.0,2.0,0.08,0.06,0.0,2.0,0.0,0.08,0.82,0.73,5.7,7919.0,1.0,0.12,0.22,0.1,6.22,6.0,0.0,12.8,72.4,50.5,5.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,10.0,11.0,0.0,2.0,0.08,0.17,0.0,3.0,0.0,0.08,1.8,1.61,9.8,12241.0,2.0,0.715,0.173,0.112
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,Arsenal,Aston Villa,,,,,,,,,,,,,,3.0,4.0,22.0,,,0.0,0.09,0.12,0.03,1.24,3.0,0.0,8.9,32.0,52.3,5.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,0.0,1.0,0.03,0.14,0.0,4.0,0.0,0.03,0.58,0.46,4.2,6213.0,0.0,0.13,0.23,0.1,4.76,6.0,0.0,12.2,58.4,57.5,7.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,9.0,8.0,0.0,2.0,0.08,0.14,0.0,4.0,0.0,0.08,1.16,1.05,7.7,11280.0,,0.634,0.22,0.146
