assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,team_h_difficulty,team_a_difficulty,event
0,0,5,0,0.0,201,0.0,0.0,0.0,1.59,8,2,0,2.6,26.4,2024-08-18,90,0,0,0,0,0,0,0,False,4,0,0,0,0,1,3,1563145,1,1,2,0.0,2,0,0,0,45,False,0,201,0,0,0.0,90,GK,Brentford,Crystal Palace,2,1,26609,2024,666809,0.0,0,0,0,0.0,0.0,0.0,7702,Crystal Palace,3,3,1
0,0,1,0,0.0,201,0.0,0.0,0.0,1.39,14,2,0,1.1,11.4,2024-08-24,90,0,0,0,0,0,0,0,False,19,0,0,0,0,2,1,1652313,1,2,0,0.0,1,8957,58251,49294,45,True,0,201,0,0,0.0,90,GK,Crystal Palace,West Ham,0,2,26613,2024,667915,0.0,0,0,0,0.0,0.0,0.0,7702,Crystal Palace,2,3,2
0,0,18,0,0.0,201,0.0,0.0,0.0,2.27,23,1,0,4.3,42.6,2024-09-01,90,0,0,0,0,0,0,0,False,6,0,0,0,0,3,6,1472632,1,1,1,0.0,4,-187964,29283,217247,45,False,0,201,0,0,0.0,90,GK,Chelsea,Crystal Palace,1,1,26630,2024,672441,0.0,0,0,0,0.0,0.0,0.0,7702,Crystal Palace,3,4,3
0,0,5,0,0.0,201,0.0,0.0,0.0,1.23,34,2,0,2.2,21.6,2024-09-14,90,0,0,0,0,0,0,0,False,11,0,0,0,0,4,2,1479751,1,2,2,0.0,1,-22164,152595,174759,45,True,0,201,0,0,0.0,90,GK,Crystal Palace,Leicester,2,2,26636,2024,673703,0.0,0,0,0,0.0,0.4832994639873504,0.4832994639873504,7702,Crystal Palace,2,3,4
0,2,32,1,0.0,201,0.0,0.0,0.0,1.7,43,0,0,5.2,52.2,2024-09-21,90,0,0,0,0,0,0,0,False,14,0,0,0,0,5,7,1372393,1,0,0,0.0,9,-104930,12221,117151,45,True,1,201,0,0,0.0,90,GK,Crystal Palace,Manchester United,0,0,26649,2024,675927,0.0,0,0,0,0.0,0.0,0.0,7702,Crystal Palace,3,3,5
0,0,0,0,0.0,201,0.0,0.01,0.01,0.89,55,2,0,0.8,4.0,2024-09-28,90,0,0,0,0,0,0,0,False,8,0,0,0,0,6,0,1235016,1,1,2,4.0,1,-149681,82006,231687,45,False,0,201,0,1,0.0109276687726378,90,GK,Everton,Crystal Palace,2,1,26654,2024,677819,0.0,0,0,0,0.0109276687726378,0.0129672121256589,0.0129672121256589,7702,Crystal Palace,3,3,6
0,0,12,0,0.0,201,0.0,0.0,0.0,1.4,66,1,0,1.9,19.4,2024-10-05,90,0,0,0,0,0,0,0,False,12,0,0,0,0,7,3,1146512,1,1,0,0.0,3,-88540,26865,115405,45,True,0,201,0,0,0.0,90,GK,Crystal Palace,Liverpool,0,1,26662,2024,679171,0.0,0,0,0,0.0,0.0,0.0,7702,Crystal Palace,5,3,7
0,0,10,0,0.0,201,0.0,0.0,0.0,1.62,77,1,0,3.0,29.8,2024-10-21,90,0,0,0,0,0,0,0,False,16,0,0,0,0,8,5,1140329,1,0,1,0.0,3,-14258,39256,53514,45,False,0,201,0,0,0.0,90,GK,Nottingham Forest,Crystal Palace,1,0,26677,2024,682450,0.0,0,0,0,0.0,0.1090067923069,0.1090067923069,7702,Crystal Palace,3,4,8
0,1,29,1,0.0,201,0.0,0.0,0.0,0.72,86,0,0,2.2,21.8,2024-10-27,90,0,0,0,0,0,0,0,False,18,0,0,0,0,9,3,1088973,1,0,1,0.0,8,-49752,6199,55951,45,True,0,201,0,0,0.0,90,GK,Crystal Palace,Tottenham,1,0,26689,2024,683478,0.0,0,0,0,0.0,0.0,0.0,7702,Crystal Palace,3,3,9
0,0,9,0,0.0,201,0.0,0.0,0.0,1.53,100,2,0,2.7,26.8,2024-11-02,90,0,0,0,0,0,0,0,False,20,0,0,0,0,10,4,1132023,1,2,2,0.0,2,34292,59704,25412,44,False,0,201,0,0,0.0,90,GK,Wolverhampton Wanderers,Crystal Palace,2,2,26701,2024,685248,0.0,0,0,0,0.0,0.0,0.0,7702,Crystal Palace,3,2,10
0,0,9,0,0.0,201,0.0,0.0,0.0,1.83,104,2,0,4.1,40.6,2024-11-09,90,0,0,0,0,0,0,0,False,9,0,0,0,0,11,5,1141893,1,2,0,0.0,2,9423,36860,27437,44,True,0,201,0,0,0.0,90,GK,Crystal Palace,Fulham,0,2,26706,2024,686602,0.0,0,0,0,0.0,0.0,0.0,7702,Crystal Palace,3,3,11
0,0,15,0,0.0,201,0.0,0.0,0.0,3.11,112,2,0,4.6,46.4,2024-11-23,90,0,0,0,0,0,0,0,False,2,0,0,1,0,12,3,1090819,1,2,2,0.0,7,-51321,26143,77464,44,False,0,201,0,0,0.0,90,GK,Aston Villa,Crystal Palace,2,2,26716,2024,688438,0.0,0,0,0,0.0,0.0,0.0,7702,Crystal Palace,3,3,12
0,0,5,0,0.0,201,0.0,0.0,0.0,0.04,124,1,0,0.4,4.4,2024-11-30,90,0,0,0,0,0,0,0,False,15,0,0,0,0,13,0,1101900,1,1,1,0.0,2,6506,30323,23817,44,True,0,201,0,0,0.0,90,GK,Crystal Palace,Newcastle United,1,1,26725,2024,690082,0.0,0,0,0,0.0,0.0,0.0,7702,Crystal Palace,3,3,13
