assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,pts_bps
0,0,2,0,0.0,578,0.0,0.0,0.0,0.16,11,0,0,0.0,0.4,2024-08-24,11,0,0,0,0,0,0,0,False,2,0,0,0,0,2,0,206409,0,2,0,0.0,1,-46797,4067,50864,59,False,0,578,,,0,0,0.0,4,Sub,Aston Villa,Arsenal,0,2,26618,2024,668287,0.0,0,0,0,0.0,0.0709731876850128,0.0709731876850128,26618,Arsenal,Riccardo Calafiori,Riccardo Calafiori,5,4,2,1.5,DEF,1
0,0,3,0,0.1,578,0.0,0.0,0.0,0.89,21,0,0,0.2,2.0,2024-08-31,31,0,0,0,0,0,0,0,False,5,0,0,0,0,3,0,180050,0,1,1,0.0,1,-34921,4776,39697,59,True,0,578,,,0,0,0.0,27,Sub,Arsenal,Brighton,1,1,26622,2024,671520,0.0,0,0,0,0.0,0.0,0.0,26622,Arsenal,Riccardo Calafiori,Riccardo Calafiori,3,5,3,1.7,DEF,1
0,1,24,0,0.3,578,0.0,0.02,0.02,1.17,47,1,1,5.4,45.0,2024-09-22,73,0,0,0,0,0,0,0,False,13,0,0,0,0,5,0,134546,1,2,2,9.0,9,-17275,649,17924,58,False,0,578,,,1,1,0.0183956138789653,83,DL,Manchester City,Arsenal,2,2,26651,2024,676603,0.0,0,0,1,0.0183956138789653,0.114006869494915,0.0956112593412399,26651,Arsenal,Riccardo Calafiori,Riccardo Calafiori,5,4,5,2.8,DEF,8
0,0,4,0,30.3,578,0.28,0.76,0.48,0.32,51,2,0,13.9,27.4,2024-09-28,90,0,0,0,0,0,0,0,False,11,0,0,0,0,6,0,186225,1,2,4,81.0,0,41623,53572,11949,58,True,1,578,,,0,3,0.5304425358772278,90,DL,Arsenal,Leicester,4,2,26655,2024,677837,0.0809167623519897,0,2,0,0.5304425358772278,0.544313907623291,0.523189902305603,26655,Arsenal,Riccardo Calafiori,Riccardo Calafiori,1,5,6,4.5,DEF,0
0,0,15,0,4.9,578,0.12,0.12,0.0,0.61,61,1,0,3.3,17.8,2024-10-05,89,0,0,0,0,0,0,0,False,17,0,0,0,0,7,0,233214,1,1,3,10.0,2,38290,55043,16753,58,True,0,578,,,0,0,0.0,90,DL,Arsenal,Southampton,3,1,26666,2024,679518,0.0,0,0,0,0.0,1.0487864017486572,1.0487864017486572,26666,Arsenal,Riccardo Calafiori,Riccardo Calafiori,1,5,7,4.3,DEF,2
0,0,12,0,7.2,578,0.01,0.01,0.0,1.82,71,2,0,3.4,27.2,2024-10-19,90,0,0,0,0,0,0,0,False,3,0,0,0,0,8,0,254877,1,0,2,0.0,1,15615,31475,15860,58,False,0,578,,,0,0,0.0,90,DL,Bournemouth,Arsenal,2,0,26680,2024,681583,0.0,0,0,0,0.0,0.0,0.0,26680,Arsenal,Riccardo Calafiori,Riccardo Calafiori,5,3,8,2.0,DEF,1
0,0,23,1,1.7,578,0.01,0.01,0.0,0.16,111,0,0,1.3,9.6,2024-11-23,66,0,0,0,0,0,0,0,False,16,0,0,0,0,12,0,148168,1,0,3,2.0,6,-4097,4969,9066,58,True,0,578,,,0,0,0.0,72,DL,Arsenal,Nottingham Forest,3,0,26714,2024,688484,0.0,0,0,0,0.0,0.2331074178218841,0.2331074178218841,26714,Arsenal,Riccardo Calafiori,Riccardo Calafiori,4,5,12,3.0,DEF,6
0,0,-6,0,1.8,578,0.01,0.06,0.05,0.8,129,2,0,1.9,8.4,2024-11-30,55,0,0,0,0,0,0,0,False,19,0,0,0,0,13,0,164666,1,5,2,9.0,0,13456,16093,2637,58,False,0,578,,,0,1,0.0130003960803151,63,DL,West Ham,Arsenal,2,5,26730,2024,690378,0.0,0,0,0,0.0130003960803151,0.1068160012364387,0.1068160012364387,26730,Arsenal,Riccardo Calafiori,Riccardo Calafiori,5,2,13,2.5,DEF,0
1,0,20,0,12.3,578,0.01,0.01,0.0,0.06,163,0,0,4.5,32.2,2024-12-21,32,0,0,0,0,0,0,0,False,7,0,0,0,0,17,0,134942,0,5,1,0.0,4,-5928,794,6722,58,False,0,578,,,0,0,0.0,27,Sub,Crystal Palace,Arsenal,1,5,26765,2024,695507,0.0486598648130893,1,1,0,0.0,0.4846595525741577,0.4359996914863586,26765,Arsenal,Riccardo Calafiori,Riccardo Calafiori,5,3,17,2.2,DEF,4
0,0,1,0,18.8,578,0.1,0.12,0.02,0.29,182,1,0,4.6,17.0,2025-01-01,77,0,0,0,0,0,0,0,False,4,0,0,0,0,19,0,139171,1,3,1,10.0,1,-1935,1984,3919,58,False,1,578,,,0,1,0.0153830982744693,82,DL,Brentford,Arsenal,1,3,26783,2024,697030,0.1222421005368232,0,1,0,0.0153830982744693,0.2488904446363449,0.2335073500871658,26783,Arsenal,Riccardo Calafiori,Riccardo Calafiori,5,3,19,1.3,DEF,1
