assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,team_h_difficulty,team_a_difficulty,event,xP,position
0.0,0.0,10.0,1.0,8.3,366.0,0.03,1.22,1.19,0.44,1.0,0.0,0.0,7.2,15.0,2024-08-16,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1728175.0,1.0,0.0,1.0,49.0,3.0,0.0,0.0,0.0,85.0,True,0.0,366.0,0.0,6.0,0.9378859996795654,90.0,Manchester United,Fulham,1.0,0.0,26602.0,2024.0,666179.0,0.0,0.0,0.0,0.0,0.9378859996795654,1.0838500261306765,0.1459640264511108,1228.0,Manchester United,3.0,3.0,1.0,2.9,MID
0.0,0.0,15.0,0.0,37.7,366.0,0.73,0.8,0.07,1.5,13.0,1.0,0.0,5.9,10.4,2024-08-24,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,5.0,0.0,0.0,0.0,0.0,2.0,0.0,1776620.0,1.0,1.0,2.0,11.0,2.0,-86150.0,57914.0,144064.0,85.0,False,0.0,366.0,0.0,1.0,0.0861924812197685,80.0,Brighton,Manchester United,2.0,1.0,26612.0,2024.0,667718.0,0.6183691620826721,0.0,3.0,0.0,0.0861924812197685,0.6507794857025146,0.5201026797294617,1228.0,Manchester United,3.0,3.0,2.0,2.5,MID
0.0,0.0,16.0,0.0,9.6,366.0,0.07,0.09,0.02,1.73,27.0,3.0,0.0,2.4,11.6,2024-09-01,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,12.0,0.0,0.0,0.0,0.0,3.0,0.0,1345830.0,1.0,3.0,0.0,3.0,2.0,-450722.0,27002.0,477724.0,84.0,True,0.0,366.0,0.0,1.0,0.0113342460244894,90.0,Manchester United,Liverpool,0.0,3.0,26631.0,2024.0,672620.0,0.0,0.0,0.0,0.0,0.0113342460244894,0.4980916678905487,0.4867574274539947,1228.0,Manchester United,5.0,3.0,3.0,1.8,MID
1.0,0.0,20.0,1.0,18.2,366.0,0.35,0.57,0.22,1.12,38.0,0.0,0.0,6.6,28.0,2024-09-14,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,17.0,0.0,0.0,0.0,0.0,4.0,0.0,1178862.0,1.0,3.0,0.0,20.0,5.0,-209335.0,76129.0,285464.0,84.0,False,1.0,366.0,0.0,5.0,0.2688170373439789,90.0,Southampton,Manchester United,0.0,3.0,26632.0,2024.0,673380.0,0.3662848174571991,1.0,1.0,0.0,0.2688170373439789,1.1467424631118774,0.8978122472763062,1228.0,Manchester United,3.0,2.0,4.0,3.5,MID
0.0,0.0,12.0,1.0,40.0,366.0,0.14,0.5,0.36,1.01,43.0,0.0,0.0,6.9,13.8,2024-09-21,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,7.0,0.0,0.0,0.0,0.0,5.0,0.0,1139395.0,1.0,0.0,0.0,15.0,3.0,-54870.0,38752.0,93622.0,83.0,False,0.0,366.0,0.0,4.0,0.4589789509773254,90.0,Crystal Palace,Manchester United,0.0,0.0,26649.0,2024.0,675950.0,0.0554806590080261,0.0,2.0,0.0,0.4589789509773254,0.8155205249786377,0.4011614918708801,1228.0,Manchester United,3.0,3.0,5.0,3.3,MID
0.0,0.0,-7.0,0.0,1.2,366.0,0.02,0.02,0.0,1.99,57.0,3.0,0.0,0.0,0.0,2024-09-29,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,18.0,0.0,0.0,0.0,1.0,6.0,0.0,964418.0,1.0,3.0,0.0,0.0,-2.0,-179006.0,22637.0,201643.0,83.0,True,0.0,366.0,0.0,0.0,0.0,41.0,Manchester United,Tottenham,0.0,3.0,26660.0,2024.0,678650.0,0.0,0.0,0.0,0.0,0.0,0.1734298467636108,0.1734298467636108,1228.0,Manchester United,3.0,3.0,6.0,2.0,MID
0.0,0.0,14.0,1.0,5.3,366.0,0.02,0.06,0.04,0.42,62.0,0.0,0.0,2.3,16.2,2024-10-06,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.0,0.0,0.0,0.0,0.0,7.0,0.0,722682.0,1.0,0.0,0.0,1.0,3.0,-245530.0,7122.0,252652.0,82.0,False,0.0,366.0,0.0,1.0,0.0440154671669006,90.0,Aston Villa,Manchester United,0.0,0.0,26670.0,2024.0,680095.0,0.0,0.0,0.0,0.0,0.0440154671669006,0.0,0.0,1228.0,Manchester United,3.0,3.0,7.0,2.2,MID
1.0,0.0,26.0,0.0,26.2,366.0,0.05,0.17,0.12,0.86,75.0,1.0,0.0,9.4,35.0,2024-10-19,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,4.0,0.0,0.0,0.0,0.0,8.0,0.0,715232.0,1.0,1.0,2.0,33.0,5.0,-21301.0,29192.0,50493.0,82.0,True,0.0,366.0,0.0,5.0,0.2392701953649521,90.0,Manchester United,Brentford,2.0,1.0,26675.0,2024.0,681296.0,0.3462730646133423,1.0,2.0,0.0,0.2392701953649521,0.8848850727081299,0.3168418705463409,1228.0,Manchester United,2.0,3.0,8.0,2.0,MID
0.0,0.0,17.0,0.0,50.8,366.0,0.28,0.74,0.46,2.98,90.0,2.0,0.0,8.1,13.4,2024-10-27,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,19.0,0.0,0.0,0.0,0.0,9.0,0.0,716014.0,1.0,1.0,2.0,17.0,2.0,-2697.0,22035.0,24732.0,82.0,False,0.0,366.0,0.0,5.0,0.4785239994525909,90.0,West Ham,Manchester United,2.0,1.0,26690.0,2024.0,683472.0,0.8018140196800232,0.0,3.0,0.0,0.4785239994525909,1.7865159511566162,0.5887731313705444,1228.0,Manchester United,3.0,2.0,9.0,2.0,MID
0.0,3.0,41.0,0.0,50.6,366.0,0.1,1.37,1.27,1.11,95.0,1.0,1.0,13.6,53.8,2024-11-03,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,6.0,0.0,0.0,0.0,0.0,10.0,0.0,736038.0,1.0,1.0,1.0,32.0,10.0,14554.0,47851.0,33297.0,82.0,True,0.0,366.0,1.0,4.0,1.3608217239379885,90.0,Manchester United,Chelsea,1.0,1.0,26697.0,2024.0,685863.0,0.6444122791290283,0.0,4.0,0.0,0.5996529459953308,1.1815789937973022,0.3072306215763092,1228.0,Manchester United,4.0,3.0,10.0,5.2,MID
