assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,pts_bps
0,0,12,1,12.8,398,0.02,0.02,0.0,1.33,5,0,0,1.7,2.4,2024-08-17,69,0,0,0,0,0,0,0,False,17,0,0,0,0,1,0,2328887,1,0,1,2.0,3,0,0,0,75,True,0,398,,,Anthony Gordon,0,0,0.0,74,FWL,Newcastle United,Southampton,1,0,26606,2024,666365,0.0368984937667846,0,1,0,0.0,0.0,0.0,26606,Newcastle United,Anthony Gordon,Anthony Gordon,1,4,1,3.6,MID,3
0,3,38,0,59.8,398,0.38,1.03,0.65,2.15,12,1,1,14.6,45.8,2024-08-25,88,0,0,0,0,0,0,0,False,3,0,0,0,0,2,0,2231462,1,1,1,40.0,10,-179422,40305,219727,75,False,0,398,,,Anthony Gordon,1,2,0.5343578457832336,90,FWL,Bournemouth,Newcastle United,1,1,26620,2024,668726,0.5637447834014893,0,4,1,0.5343578457832336,0.5099177360534668,0.0,26620,Newcastle United,Anthony Gordon,Anthony Gordon,4,3,2,7.0,MID,7
0,0,5,0,43.3,398,0.31,0.31,0.0,1.26,28,1,0,5.8,12.2,2024-09-01,90,0,0,0,0,0,0,0,False,18,0,0,0,0,3,0,2046235,1,1,2,2.0,2,-219993,89287,309280,75,True,0,398,,,Anthony Gordon,0,0,0.0,90,FWR,Newcastle United,Tottenham,2,1,26629,2024,672463,0.312771201133728,0,3,0,0.0,0.1820862740278244,0.0,26629,Newcastle United,Anthony Gordon,Anthony Gordon,2,4,3,5.5,MID,2
0,0,17,0,28.9,398,0.18,0.36,0.18,0.99,40,1,0,5.5,11.8,2024-09-15,90,0,0,0,0,0,0,0,False,20,0,0,0,0,4,0,1699237,1,2,1,14.0,2,-370776,76891,447667,74,False,0,398,,,Anthony Gordon,0,2,0.3750071823596954,90,FWL,Wolverhampton Wanderers,Newcastle United,1,2,26641,2024,674636,0.1644518226385116,0,2,0,0.3750071823596954,0.54770427942276,0.1726970672607422,26641,Newcastle United,Anthony Gordon,Anthony Gordon,4,3,4,4.7,MID,2
0,0,11,0,33.8,398,0.08,0.47,0.39,1.83,44,2,0,6.7,8.6,2024-09-21,82,0,0,0,0,0,0,0,False,9,0,0,0,0,5,0,1583890,1,1,3,25.0,2,-129739,48135,177874,74,False,0,398,,,Anthony Gordon,0,2,0.2457617372274398,84,FWR,Fulham,Newcastle United,3,1,26646,2024,675737,0.0435962788760662,0,2,0,0.2457617372274398,0.3754583597183227,0.0969265028834343,26646,Newcastle United,Anthony Gordon,Anthony Gordon,4,3,5,4.5,MID,2
0,2,29,0,32.3,398,0.1,0.89,0.79,0.91,58,1,1,9.8,42.6,2024-09-28,90,0,0,0,0,0,0,0,False,13,0,0,0,0,6,0,1120695,1,1,1,23.0,9,-463262,12631,475893,73,True,0,398,,,Anthony Gordon,1,1,0.7611688375473022,90,FW,Newcastle United,Manchester City,1,1,26652,2024,677441,0.0928262025117874,0,2,0,0.0,0.1998106241226196,0.1069844216108322,26652,Newcastle United,Anthony Gordon,Anthony Gordon,4,4,6,3.3,MID,7
0,0,5,1,21.1,398,0.14,1.11,0.97,0.67,67,0,0,6.5,9.0,2024-10-05,90,0,0,0,0,0,0,0,False,8,0,1,0,0,7,0,1146142,1,0,0,35.0,1,6383,82358,75975,73,False,0,398,,,Anthony Gordon,0,2,0.8804041147232056,90,FW,Everton,Newcastle United,0,0,26669,2024,679750,0.1188708394765853,0,1,0,0.1192352399230003,0.4452575147151947,0.3260222673416137,26669,Newcastle United,Anthony Gordon,Anthony Gordon,4,3,7,4.0,MID,1
0,0,11,0,39.7,398,0.17,0.66,0.49,0.9,76,1,0,11.6,13.6,2024-10-19,84,0,0,0,0,0,0,0,False,5,0,0,0,0,8,0,1110085,1,1,0,63.0,2,-43319,45681,89000,73,True,0,398,,,Anthony Gordon,0,4,0.5518963932991028,86,FWL,Newcastle United,Brighton,0,1,26676,2024,681359,0.2945105731487274,0,3,0,0.5518963932991028,1.0544238090515137,0.4922047555446625,26676,Newcastle United,Anthony Gordon,Anthony Gordon,3,4,8,4.0,MID,2
1,0,24,1,27.6,398,0.16,0.16,0.0,0.72,96,0,0,6.0,28.0,2024-11-02,84,0,0,0,0,0,0,0,False,1,0,0,0,0,10,0,892404,1,0,1,4.0,6,-135108,17578,152686,72,True,0,398,,,Anthony Gordon,0,0,0.0,88,FWR,Newcastle United,Arsenal,1,0,26694,2024,684660,0.4606033563613891,1,2,0,0.0,0.6323693990707397,0.1717660427093505,26694,Newcastle United,Anthony Gordon,Anthony Gordon,5,4,10,1.7,MID,6
0,0,14,0,44.7,398,0.39,0.62,0.23,0.6,107,1,0,9.4,11.8,2024-11-10,79,0,0,0,0,0,0,0,False,16,0,0,0,0,11,0,953853,1,3,1,37.0,2,51570,85648,34078,72,False,0,398,,,Anthony Gordon,0,2,0.1129785776138305,83,FWR,Nottingham Forest,Newcastle United,1,3,26704,2024,687334,0.2223497182130813,0,3,0,0.1129785776138305,0.6192214488983154,0.4863510131835937,26704,Newcastle United,Anthony Gordon,Anthony Gordon,4,4,11,2.7,MID,2
