assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,pts_bps
0,0,18,0,13.5,174,0.18,0.18,0.0,0.66,9,1,0,2.9,15.2,2024-08-18,65,0,0,0,0,0,0,0,False,13,0,0,0,0,1,0,77766,1,2,0,0.0,2,0,0,0,45,True,0,174,,,Roméo Lavia,0,0,0.0,73,DMC,Chelsea,Manchester City,0,2,26610,2024,667015,0.5455207824707031,0,1,0,0.0,0.6766745448112488,0.1311538070440292,26610,Chelsea,Roméo Lavia,Romeo Lavia,4,4,1,0.0,MID,2
0,0,2,0,3.3,174,0.0,0.0,0.0,0.14,54,0,0,0.4,0.4,2024-09-28,11,0,0,0,0,0,0,0,False,5,0,0,0,0,6,0,83029,0,2,4,0.0,1,-11771,1884,13655,45,True,0,174,,,Roméo Lavia,0,0,0.0,3,Sub,Chelsea,Brighton,4,2,26657,2024,677903,0.0,0,0,0,0.0,0.0,0.0,26657,Chelsea,Roméo Lavia,Romeo Lavia,3,4,6,0.2,MID,1
0,0,6,0,2.8,174,0.01,0.01,0.0,1.84,74,2,0,1.2,9.4,2024-10-20,52,0,0,0,0,0,0,0,False,12,0,0,0,0,8,0,78142,1,1,2,0.0,1,-3387,2463,5850,45,False,0,174,,,Roméo Lavia,0,0,0.0,61,DMC,Liverpool,Chelsea,2,1,26679,2024,682203,0.0,0,0,0,0.0,0.0528028234839439,0.0528028234839439,26679,Chelsea,Roméo Lavia,Romeo Lavia,3,5,8,0.2,MID,1
1,0,25,0,15.8,174,0.02,0.02,0.0,1.73,85,1,0,4.3,27.0,2024-10-27,71,0,0,0,0,0,0,0,False,15,0,0,0,0,9,0,80272,1,1,2,0.0,4,1506,5110,3604,45,True,1,174,,,Roméo Lavia,0,0,0.0,79,DMC,Chelsea,Newcastle United,2,1,26688,2024,683512,0.049186959862709,1,1,0,0.0,0.3333947956562042,0.284207820892334,26688,Chelsea,Roméo Lavia,Romeo Lavia,4,4,9,2.2,MID,4
0,0,10,0,13.2,174,0.02,0.02,0.0,1.76,95,1,0,2.7,13.4,2024-11-03,70,0,0,0,0,0,0,0,False,14,0,0,0,0,10,0,93187,1,1,1,0.0,2,11659,16325,4666,45,False,0,174,,,Roméo Lavia,0,0,0.0,72,DMC,Manchester United,Chelsea,1,1,26697,2024,685874,0.0160942263901233,0,1,0,0.0,0.1065343469381332,0.0904401168227195,26697,Chelsea,Roméo Lavia,Romeo Lavia,3,3,10,2.8,MID,2
0,0,8,0,22.6,174,0.03,0.03,0.0,0.82,103,1,0,3.1,8.2,2024-11-10,67,0,0,0,0,0,0,0,False,1,0,0,0,0,11,0,100662,1,1,1,0.0,2,7162,13491,6329,45,True,0,174,,,Roméo Lavia,0,0,0.0,71,DMC,Chelsea,Arsenal,1,1,26705,2024,687559,0.0440587848424911,0,2,0,0.0,0.099403940141201,0.0827236622571945,26705,Chelsea,Roméo Lavia,Romeo Lavia,5,4,11,2.2,MID,2
0,0,-5,0,0.0,174,0.0,0.0,0.0,0.84,117,1,0,0.0,0.0,2024-11-23,9,0,0,0,0,0,0,0,False,11,0,0,0,0,12,0,98153,0,2,1,0.0,0,-2149,8545,10694,45,False,1,174,,,Roméo Lavia,0,0,0.0,5,Sub,Leicester,Chelsea,1,2,26719,2024,688101,0.0,0,0,0,0.0,0.0,0.0,26719,Chelsea,Roméo Lavia,Romeo Lavia,3,1,12,1.4,MID,0
0,0,8,1,9.6,174,0.02,0.2,0.18,0.73,123,0,0,1.7,2.8,2024-12-01,85,0,0,0,0,0,0,0,False,2,0,0,0,0,13,0,95279,1,0,3,5.0,3,-3165,5072,8237,45,True,0,174,,,Roméo Lavia,0,1,0.081313781440258,90,DMC,Chelsea,Aston Villa,3,0,26724,2024,690680,0.0,0,0,0,0.081313781440258,0.3116364777088165,0.3116364777088165,26724,Chelsea,Roméo Lavia,Romeo Lavia,3,4,13,2.3,MID,3
0,0,9,0,13.5,174,0.01,0.01,0.0,1.47,149,2,0,2.5,11.8,2024-12-08,45,0,0,0,0,0,0,0,False,18,0,0,0,0,15,0,100610,1,4,3,0.0,0,-1112,7046,8158,45,False,1,174,,,Roméo Lavia,0,0,0.0,48,DMC,Tottenham,Chelsea,3,4,26745,2024,693036,0.0312140751630067,0,1,0,0.0,0.1941205859184265,0.1629065126180648,26745,Chelsea,Roméo Lavia,Romeo Lavia,3,3,15,0.8,MID,0
0,0,0,0,5.5,174,0.01,0.01,0.0,0.97,208,1,0,0.8,2.2,2025-01-14,55,0,0,0,0,0,0,0,False,3,0,0,0,0,21,0,60454,1,2,2,0.0,0,-3274,740,4014,45,True,1,174,,,Roméo Lavia,0,0,0.0,61,DMC,Chelsea,Bournemouth,2,2,26809,2024,699116,0.0,0,0,0,0.0,0.1645522266626358,0.1645522266626358,26809,Chelsea,Roméo Lavia,Romeo Lavia,3,4,21,0.5,MID,0
