goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0.0,11,Sub,Brentford,Newcastle United,2,4,2024-05-19,22266,2023,663218,0.0,0,0,0,0.0,0.0,0.0
1,0,2,0.0286834724247455,4,Sub,Luton,Brentford,1,5,2024-04-20,22230,2023,654828,0.0,0,0,0,0.0286834724247455,0.0328738056123256,0.0236632544547319
2,0,1,0.3377544283866882,80,FW,Brentford,Sheffield United,2,0,2024-04-13,22217,2023,653208,0.0257123224437236,0,1,0,0.3377544283866882,0.4783870875835418,0.1149203330278396
3,0,0,0.0,2,Sub,Aston Villa,Brentford,3,3,2024-04-06,22205,2023,651705,0.0,0,0,0,0.0,0.0,0.0
4,0,0,0.0,2,Sub,Brentford,Manchester United,1,1,2024-03-30,22187,2023,650215,0.0,0,0,0,0.0,0.0,0.0
5,0,0,0.0,4,Sub,Burnley,Brentford,2,1,2024-03-16,22177,2023,648358,0.0175468660891056,0,1,0,0.0,0.0,0.0
6,0,0,0.0,7,Sub,Arsenal,Brentford,2,1,2024-03-09,22166,2023,646898,0.0,0,0,0,0.0,0.0,0.0
7,0,0,0.0,1,Sub,Brentford,Chelsea,2,2,2024-03-02,22155,2023,644821,0.0,0,0,0,0.0,0.0,0.0
8,1,1,0.3063198328018188,76,FW,West Ham,Brentford,4,2,2024-02-26,22153,2023,644253,0.0,0,0,1,0.3063198328018188,0.3839267790317535,0.0776069164276123
9,0,0,0.0,20,Sub,Manchester City,Brentford,1,0,2024-02-20,22074,2023,642831,0.0,0,0,0,0.0,0.0,0.0
10,0,1,0.0155418347567319,71,FW,Brentford,Liverpool,1,4,2024-02-17,22135,2023,641490,0.1995780169963836,0,2,0,0.0155418347567319,0.314542293548584,0.0994224399328231
11,0,3,0.7069626450538635,79,FW,Wolverhampton Wanderers,Brentford,0,2,2024-02-10,22134,2023,640266,0.0,0,0,0,0.7069626450538635,0.6173438429832458,0.0
12,1,2,0.2613802254199981,90,FW,Brentford,Manchester City,1,3,2024-02-05,22117,2023,639632,0.2839012742042541,0,1,1,0.2613802254199981,0.4725494384765625,0.2839012742042541
13,1,1,0.160621702671051,90,FW,Tottenham,Brentford,3,2,2024-01-31,22109,2023,637980,0.4242051243782043,0,1,1,0.160621702671051,0.975283682346344,0.390456885099411
14,1,2,0.2477857321500778,79,FW,Brentford,Nottingham Forest,3,2,2024-01-20,22104,2023,635948,0.0,0,0,1,0.2477857321500778,0.2477857321500778,0.0
15,0,2,0.0833161696791648,21,Sub,Crystal Palace,Brentford,3,1,2023-12-30,22086,2023,633572,0.0,0,0,0,0.0833161696791648,0.0833161696791648,0.0
