assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5,ownership_change,percenatge_net_transfers
0.0,1.0,28.0,1.0,0.0,15.0,0.0,0.0,0.0,0.47,2.0,0.0,0.0,2.8,28.0,2024-08-17,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,20.0,0.0,0.0,0.0,0.0,1.0,3.0,2143198.0,1.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,5.5,True,0.0,15.0,0.0,0.0,0.0,90.0,Arsenal,Wolverhampton Wanderers,2.0,0.0,26604.0,2024.0,666295.0,0.0,0.0,0.0,0.0,0.0,0.4988786280155182,0.4988786280155182,9676.0,Arsenal,2.0,4.0,1.0,5.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,27.0,1.0,0.0,15.0,0.0,0.0,0.0,1.28,11.0,0.0,0.0,2.8,28.2,2024-08-24,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.0,0.0,0.0,0.0,0.0,2.0,3.0,2377063.0,1.0,2.0,0.0,0.0,10.0,-16603.0,71675.0,88278.0,5.5,False,0.0,15.0,0.0,0.0,0.0,90.0,Aston Villa,Arsenal,0.0,2.0,26618.0,2024.0,668275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9676.0,Arsenal,4.0,3.0,2.0,10.0,GK,1.0,0.0,0.0,0.0,0.47,0.0,0.0,2.8,28.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,5.0,2143198.0,1.0,0.0,0.0,0.0,0.47,0.0,0.0,2.8,28.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,5.0,2143198.0,233865.0,-0.1037992410270517
0.0,0.0,8.0,0.0,0.0,15.0,0.01,0.01,0.0,1.83,21.0,1.0,0.0,3.4,33.6,2024-08-31,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,5.0,0.0,0.0,0.0,0.0,3.0,3.0,2865351.0,1.0,1.0,1.0,0.0,2.0,288962.0,394083.0,105121.0,5.5,True,1.0,15.0,0.0,0.0,0.0,90.0,Arsenal,Brighton,1.0,1.0,26622.0,2024.0,671508.0,0.0,0.0,0.0,0.0,0.0,0.047767162322998,0.047767162322998,9676.0,Arsenal,3.0,4.0,3.0,7.7,GK,2.0,0.0,0.0,0.0,1.75,0.0,0.0,5.6,56.2,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,15.0,4520261.0,2.0,0.0,0.0,0.0,1.75,0.0,0.0,5.6,56.2,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,15.0,4520261.0,488288.0,0.5788455220711373
0.0,2.0,33.0,1.0,0.0,15.0,0.0,0.0,0.0,0.74,39.0,0.0,0.0,4.1,41.0,2024-09-15,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,18.0,0.0,0.0,0.0,0.0,4.0,5.0,2823889.0,1.0,1.0,0.0,0.0,9.0,-96805.0,175717.0,272522.0,5.5,False,0.0,15.0,0.0,0.0,0.0,90.0,Tottenham,Arsenal,0.0,1.0,26640.0,2024.0,674318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9676.0,Arsenal,4.0,3.0,4.0,8.2,GK,2.0,0.01,0.01,0.0,3.58,1.0,0.0,9.0,89.8,0.0,0.0,270.0,0.0,0.0,0.0,0.0,1.0,9.0,3.0,3.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,22.7,7385612.0,2.0,0.01,0.01,0.0,3.58,1.0,0.0,9.0,89.8,0.0,0.0,270.0,0.0,0.0,0.0,0.0,1.0,9.0,3.0,3.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,22.7,7385612.0,-41462.0,-0.2159673745479532
0.0,0.0,21.0,0.0,0.0,15.0,0.0,0.0,0.0,2.16,47.0,2.0,0.0,6.3,63.0,2024-09-22,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,13.0,0.0,0.0,0.0,0.0,5.0,9.0,2945014.0,1.0,2.0,2.0,0.0,4.0,76246.0,157350.0,81104.0,5.5,False,0.0,15.0,0.0,0.0,0.0,90.0,Manchester City,Arsenal,2.0,2.0,26651.0,2024.0,676599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9676.0,Arsenal,4.0,4.0,5.0,6.2,GK,2.0,0.01,0.01,0.0,3.85,1.0,0.0,10.3,102.8,0.0,0.0,270.0,0.0,0.0,0.0,0.0,1.0,11.0,3.0,4.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,25.9,8066303.0,3.0,0.01,0.01,0.0,4.32,1.0,0.0,13.1,130.8,0.0,0.0,360.0,0.0,0.0,0.0,0.0,1.0,14.0,4.0,4.0,3.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,30.9,10209501.0,121125.0,0.31975139859260066
0.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.32,51.0,2.0,0.0,1.1,10.8,2024-09-28,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,11.0,0.0,0.0,0.0,0.0,6.0,1.0,3172537.0,1.0,2.0,4.0,0.0,1.0,187739.0,492448.0,304709.0,5.6,True,0.0,15.0,0.0,0.0,0.0,90.0,Arsenal,Leicester,4.0,2.0,26655.0,2024.0,677833.0,0.0,0.0,0.0,0.0,0.0,0.077316515147686,0.077316515147686,9676.0,Arsenal,2.0,4.0,6.0,4.7,GK,1.0,0.01,0.01,0.0,4.73,3.0,0.0,13.8,137.6,0.0,0.0,270.0,0.0,0.0,0.0,0.0,1.0,17.0,3.0,4.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,22.1,8634254.0,3.0,0.01,0.01,0.0,6.48,3.0,0.0,19.4,193.8,0.0,0.0,450.0,0.0,0.0,0.0,0.0,1.0,23.0,5.0,6.0,5.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,37.1,13154515.0,227523.0,0.23551069613639472
0.0,0.0,6.0,0.0,0.0,15.0,0.0,0.0,0.0,0.65,61.0,1.0,0.0,0.8,8.0,2024-10-05,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,17.0,0.0,0.0,0.0,0.0,7.0,1.0,3344605.0,1.0,1.0,3.0,0.0,2.0,123059.0,192663.0,69604.0,5.6,True,0.0,15.0,0.0,0.0,0.0,90.0,Arsenal,Southampton,3.0,1.0,26666.0,2024.0,679514.0,0.0,0.0,0.0,0.0,0.0,0.2101712971925735,0.2101712971925735,9676.0,Arsenal,2.0,4.0,7.0,5.5,GK,1.0,0.0,0.0,0.0,3.22,4.0,0.0,11.5,114.8,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,5.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,19.1,8941440.0,2.0,0.01,0.01,0.0,6.33,5.0,0.0,17.7,176.6,0.0,0.0,450.0,0.0,0.0,0.0,0.0,1.0,21.0,5.0,8.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,36.8,14183854.0,172068.0,0.4692126725817583
0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.82,71.0,2.0,0.0,1.2,11.8,2024-10-19,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,3.0,0.0,0.0,0.0,0.0,8.0,2.0,3429779.0,1.0,0.0,2.0,0.0,1.0,54012.0,128397.0,74385.0,5.7,False,0.0,15.0,0.0,0.0,0.0,90.0,Bournemouth,Arsenal,2.0,0.0,26680.0,2024.0,681579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9676.0,Arsenal,4.0,3.0,8.0,2.3,GK,0.0,0.0,0.0,0.0,3.13,5.0,0.0,8.2,81.8,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,5.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,16.4,9462156.0,1.0,0.01,0.01,0.0,5.7,6.0,0.0,15.7,156.4,0.0,0.0,450.0,0.0,0.0,0.0,0.0,1.0,19.0,5.0,7.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.34,32.3,15151396.0,85174.0,0.2663550019232476
0.0,0.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,0.85,81.0,2.0,0.0,2.0,19.6,2024-10-27,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,12.0,0.0,0.0,0.0,0.0,9.0,2.0,3259267.0,1.0,2.0,2.0,0.0,0.0,-161805.0,18442.0,180247.0,5.7,True,1.0,15.0,0.0,0.0,0.0,90.0,Arsenal,Liverpool,2.0,2.0,26691.0,2024.0,683695.0,0.0,0.0,0.0,0.0,0.0,0.2436051219701767,0.2436051219701767,9676.0,Arsenal,5.0,4.0,9.0,1.0,GK,0.0,0.0,0.0,0.0,2.79,5.0,0.0,3.1,30.6,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,12.5,9946921.0,1.0,0.0,0.0,0.0,5.69,7.0,0.0,13.5,134.6,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,18.0,5.0,6.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,26.9,15715824.0,-170512.0,-0.8143631504512077
0.0,0.0,11.0,0.0,0.0,15.0,0.0,0.0,0.0,0.53,96.0,1.0,0.0,2.3,22.8,2024-11-02,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,15.0,0.0,0.0,0.0,0.0,10.0,3.0,3200996.0,1.0,0.0,1.0,0.0,3.0,-82991.0,36349.0,119340.0,5.6,False,0.0,15.0,0.0,0.0,0.0,90.0,Newcastle United,Arsenal,1.0,0.0,26694.0,2024.0,684666.0,0.0,0.0,0.0,0.0,0.0,0.0504103824496269,0.0504103824496269,9676.0,Arsenal,4.0,4.0,10.0,2.3,GK,0.0,0.0,0.0,0.0,3.32,5.0,0.0,4.0,39.4,0.0,0.0,270.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45,8.8,10033651.0,0.0,0.0,0.0,0.0,5.8,9.0,0.0,11.4,113.2,0.0,0.0,450.0,0.0,0.0,0.0,0.0,1.0,15.0,5.0,7.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.53,19.7,16151202.0,-58271.0,-0.5330562852866934
