assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5,ownership_change,percenatge_net_transfers
0.0,1.0,30.0,0.0,2.1,38.0,0.0,0.38,0.38,1.17,7.0,0.0,1.0,6.0,34.4,2024-08-17,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,19.0,0.0,0.0,0.0,0.0,1.0,0.0,23567.0,0.0,2.0,1.0,23.0,6.0,0.0,0.0,0.0,6.0,False,0.0,38.0,1.0,2.0,0.7002958059310913,25.0,West Ham,Aston Villa,1.0,2.0,26608.0,2024.0,666475.0,0.0,0.0,0.0,1.0,0.7002958059310913,0.7002958059310913,0.3958303928375244,11366.0,Aston Villa,3.0,2.0,1.0,2.0,FWD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,3.4,38.0,0.14,0.24,0.1,0.51,11.0,2.0,0.0,1.3,2.6,2024-08-24,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,0.0,2.0,0.0,61234.0,0.0,2.0,0.0,7.0,1.0,17409.0,23795.0,6386.0,6.0,True,0.0,38.0,0.0,1.0,0.0651178881525993,19.0,Aston Villa,Arsenal,0.0,2.0,26618.0,2024.0,668270.0,0.0,0.0,0.0,0.0,0.0651178881525993,0.1071303114295005,0.0420124232769012,11366.0,Aston Villa,4.0,3.0,2.0,2.5,FWD,0.0,0.0,0.38,0.38,1.17,0.0,1.0,6.0,34.4,2.1,23.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,1.0,2.0,0.7,0.0,0.0,0.0,1.0,0.7,0.7,0.4,2.0,23567.0,0.0,0.0,0.38,0.38,1.17,0.0,1.0,6.0,34.4,2.1,23.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,1.0,2.0,0.7,0.0,0.0,0.0,1.0,0.7,0.7,0.4,2.0,23567.0,37667.0,0.5768198535502469
0.0,3.0,27.0,0.0,3.2,38.0,0.0,0.23,0.23,0.28,26.0,1.0,1.0,7.6,33.2,2024-08-31,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,11.0,0.0,0.0,0.0,0.0,3.0,0.0,77745.0,0.0,2.0,1.0,40.0,7.0,10134.0,28151.0,18017.0,6.0,False,1.0,38.0,1.0,2.0,0.4976961612701416,27.0,Leicester,Aston Villa,1.0,2.0,26626.0,2024.0,671838.0,0.0,0.0,0.0,1.0,0.4976961612701416,0.4976961612701416,0.0,11366.0,Aston Villa,3.0,2.0,3.0,5.2,FWD,0.0,0.14,0.62,0.48,1.68,2.0,1.0,7.3,37.0,5.5,30.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,7.0,1.0,3.0,0.77,0.0,0.0,0.0,1.0,0.77,0.81,0.44,4.5,84801.0,0.0,0.14,0.62,0.48,1.68,2.0,1.0,7.3,37.0,5.5,30.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,7.0,1.0,3.0,0.77,0.0,0.0,0.0,1.0,0.77,0.81,0.44,4.5,84801.0,16511.0,0.21950268584300814
0.0,1.0,27.0,0.0,0.5,38.0,0.0,0.33,0.33,0.23,31.0,0.0,1.0,4.5,29.2,2024-09-14,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,8.0,0.0,0.0,0.0,0.0,4.0,0.0,168399.0,0.0,2.0,3.0,15.0,6.0,76537.0,109125.0,32588.0,6.0,True,0.0,38.0,1.0,3.0,0.2622961699962616,14.0,Aston Villa,Everton,3.0,2.0,26638.0,2024.0,673933.0,0.0,0.0,0.0,1.0,0.2622961699962616,0.1310801655054092,0.0,11366.0,Aston Villa,2.0,3.0,4.0,5.0,FWD,0.0,0.14,0.85,0.71,1.96,3.0,2.0,14.9,70.2,8.7,70.0,82.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,14.0,2.0,5.0,1.26,0.0,0.0,0.0,2.0,1.26,1.31,0.44,9.7,162546.0,0.0,0.14,0.85,0.71,1.96,3.0,2.0,14.9,70.2,8.7,70.0,82.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,14.0,2.0,5.0,1.26,0.0,0.0,0.0,2.0,1.26,1.31,0.44,9.7,162546.0,90654.0,0.5400845370572919
0.0,0.0,26.0,0.0,0.8,38.0,0.0,1.03,1.03,0.0,41.0,0.0,1.0,5.4,32.0,2024-09-21,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,20.0,0.0,0.0,0.0,0.0,5.0,0.0,414473.0,0.0,1.0,3.0,21.0,5.0,233114.0,257452.0,24338.0,6.1,True,0.0,38.0,1.0,2.0,0.9910634160041808,22.0,Aston Villa,Wolverhampton Wanderers,3.0,1.0,26647.0,2024.0,675757.0,0.0,0.0,0.0,1.0,0.9910634160041808,1.399954915046692,0.8097723126411438,11366.0,Aston Villa,2.0,3.0,5.0,4.8,FWD,0.0,0.14,0.8,0.66,1.02,3.0,2.0,13.4,65.0,7.1,62.0,75.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,14.0,2.0,6.0,0.83,0.0,0.0,0.0,2.0,0.83,0.74,0.04,12.7,307378.0,0.0,0.14,1.18,1.04,2.19,3.0,3.0,19.4,99.4,9.2,85.0,103.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,5.0,20.0,3.0,8.0,1.53,0.0,0.0,0.0,3.0,1.53,1.44,0.44,14.7,330945.0,246074.0,0.8272614358210014
0.0,0.0,7.0,0.0,10.3,38.0,0.0,0.0,0.0,0.63,56.0,1.0,0.0,1.9,8.4,2024-09-29,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,10.0,0.0,0.0,0.0,0.0,6.0,0.0,641783.0,0.0,2.0,2.0,0.0,1.0,218045.0,272218.0,54173.0,6.2,False,0.0,38.0,0.0,0.0,0.0,23.0,Ipswich,Aston Villa,2.0,2.0,26659.0,2024.0,678387.0,0.0569250509142875,0.0,1.0,0.0,0.0,0.0569250509142875,0.0,11366.0,Aston Villa,3.0,2.0,6.0,4.5,FWD,0.0,0.0,1.59,1.59,0.51,1.0,3.0,17.5,94.4,4.5,76.0,78.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,7.0,18.0,3.0,7.0,1.75,0.0,0.0,0.0,3.0,1.75,2.03,0.81,15.0,660617.0,0.0,0.14,2.21,2.07,2.19,3.0,4.0,24.8,131.4,10.0,106.0,131.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,8.0,25.0,4.0,10.0,2.52,0.0,0.0,0.0,4.0,2.52,2.84,1.25,19.5,745418.0,227310.0,0.6680484449632496
0.0,0.0,2.0,0.0,1.2,38.0,0.03,0.03,0.0,0.27,62.0,0.0,0.0,1.2,2.6,2024-10-06,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,14.0,0.0,0.0,0.0,0.0,7.0,0.0,693422.0,0.0,0.0,0.0,8.0,1.0,47344.0,141559.0,94215.0,6.2,True,0.0,38.0,0.0,0.0,0.0,24.0,Aston Villa,Manchester United,0.0,0.0,26670.0,2024.0,680085.0,0.0,0.0,0.0,0.0,0.0,0.0853862762451171,0.0853862762451171,11366.0,Aston Villa,3.0,3.0,7.0,3.2,FWD,0.0,0.0,1.36,1.36,0.86,1.0,2.0,11.8,69.6,11.6,36.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,12.0,2.0,5.0,1.25,0.06,0.0,1.0,2.0,1.25,1.59,0.81,14.3,1224655.0,0.0,0.14,1.83,1.69,1.65,4.0,3.0,20.7,105.4,18.2,83.0,129.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,9.0,20.0,3.0,8.0,1.82,0.06,0.0,1.0,3.0,1.82,2.19,0.85,22.0,1363634.0,51639.0,0.20080246337594476
0.0,0.0,2.0,0.0,0.5,38.0,0.01,0.03,0.02,0.24,72.0,0.0,0.0,0.5,0.2,2024-10-19,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,9.0,0.0,0.0,0.0,0.0,8.0,0.0,669387.0,0.0,3.0,1.0,4.0,1.0,-34106.0,64785.0,98891.0,6.2,False,0.0,38.0,0.0,1.0,0.0680003762245178,11.0,Fulham,Aston Villa,1.0,3.0,26673.0,2024.0,681345.0,0.0,0.0,0.0,0.0,0.0680003762245178,0.0680003762245178,0.0,11366.0,Aston Villa,3.0,3.0,8.0,1.0,FWD,0.0,0.03,1.06,1.03,0.9,1.0,1.0,8.5,43.0,12.3,29.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,7.0,1.0,2.0,0.99,0.06,0.0,1.0,1.0,0.99,1.54,0.9,12.5,1749678.0,0.0,0.03,1.62,1.59,1.41,2.0,3.0,20.6,105.4,16.0,84.0,131.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,9.0,20.0,3.0,7.0,1.75,0.06,0.0,1.0,3.0,1.75,2.17,0.9,22.7,1995822.0,-24035.0,-0.2083750824800215
0.0,0.0,0.0,0.0,1.8,38.0,0.0,0.29,0.29,0.12,82.0,1.0,0.0,2.9,5.6,2024-10-26,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,3.0,0.0,0.0,0.0,0.0,9.0,0.0,598546.0,0.0,1.0,1.0,22.0,1.0,-73790.0,25067.0,98857.0,6.2,True,0.0,38.0,0.0,3.0,0.1532004475593567,28.0,Aston Villa,Bournemouth,1.0,1.0,26684.0,2024.0,682970.0,0.0,0.0,0.0,0.0,0.1532004475593567,0.1532004475593567,0.0,11366.0,Aston Villa,3.0,3.0,9.0,1.0,FWD,0.0,0.04,0.06,0.02,1.14,1.0,0.0,3.6,11.2,12.0,12.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,0.0,1.0,0.07,0.06,0.0,1.0,0.0,0.07,0.21,0.09,8.7,2004592.0,0.0,0.04,1.42,1.38,1.37,1.0,2.0,13.5,72.4,13.3,48.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,14.0,2.0,6.0,1.32,0.06,0.0,1.0,2.0,1.32,1.74,0.9,18.5,2587464.0,-70841.0,-0.5954455956876795
0.0,0.0,2.0,0.0,0.2,38.0,0.0,0.0,0.0,1.48,99.0,3.0,0.0,0.0,0.0,2024-11-03,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,18.0,0.0,0.0,0.0,0.0,10.0,0.0,481125.0,0.0,1.0,4.0,0.0,1.0,-122254.0,17390.0,139644.0,6.1,False,0.0,38.0,0.0,0.0,0.0,20.0,Tottenham,Aston Villa,4.0,1.0,26700.0,2024.0,685542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11366.0,Aston Villa,3.0,3.0,10.0,0.5,FWD,0.0,0.04,0.35,0.31,0.63,1.0,0.0,4.6,8.4,3.5,34.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,4.0,0.22,0.0,0.0,0.0,0.0,0.22,0.31,0.09,5.2,1961355.0,0.0,0.04,1.38,1.34,1.26,2.0,1.0,11.9,48.8,14.6,55.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,9.0,1.0,6.0,1.21,0.06,0.0,1.0,1.0,1.21,1.76,0.9,14.5,3017611.0,-117421.0,-0.77851930155253
