assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,pts_bps,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,pts_bps_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,pts_bps_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,pts_bps_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers
0,0,11,0,12.8,77,0.01,0.01,0.0,1.02,6,1,0,3.6,22.8,2024-08-17,62,0,0,0,0,0,0,0,False,16,0,0,0,0,1,0,4339,1,1,1,0.0,2,0,0,0,5.0,False,0,77,,,Alex Scott,0,0,0.0,74,DMC,Nottingham Forest,Bournemouth,1,1,26607,2024,666406,0.056976992636919,0,1,0,0.0,0.1144729331135749,0.0574959442019462,26607,Bournemouth,Alex Scott,Alex Scott,3,4,1,1.6,MID,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
0,0,3,0,0.3,77,0.01,0.03,0.02,1.36,12,1,0,0.5,3.4,2024-08-25,26,0,0,0,0,0,0,0,False,15,0,0,0,0,2,0,5356,0,1,1,1.0,1,-166,382,548,5.0,True,0,77,,,Alex Scott,0,1,0.0125407958403229,23,Sub,Bournemouth,Newcastle United,1,1,26620,2024,668713,0.0,0,0,0,0.0125407958403229,0.0125407958403229,0.0,26620,Bournemouth,Alex Scott,Alex Scott,4,3,2,1.0,MID,1,0.0,0.01,0.01,0.0,1.02,1.0,0.0,3.6,22.8,12.8,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.06,0.0,0.0,1.0,0.0,0.0,0.11,0.06,1.6,0.0,0.0,0.0,0.0,0.34,0.33,0.0,1.2,7.6,4.27,0.0,20.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,0.67,0.0,0.0,0.0,0.02,0.0,0.0,0.33,0.0,0.0,0.04,0.02,0.53,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.72,4.56,2.56,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.0,0.0,0.0,0.01,0.0,0.0,0.2,0.0,0.0,0.02,0.01,0.32,1017.0,-0.17849462365591398
0,0,4,0,2.4,77,0.01,0.01,0.0,0.26,24,0,0,1.5,12.6,2024-08-31,24,0,0,0,0,0,0,0,False,8,0,0,0,0,3,0,5140,0,3,2,0.0,1,-574,349,923,5.0,False,0,77,,,Alex Scott,0,0,0.0,23,Sub,Everton,Bournemouth,2,3,26624,2024,671778,0.0,0,0,0,0.0,0.4834787547588348,0.4834787547588348,26624,Bournemouth,Alex Scott,Alex Scott,3,3,3,1.3,MID,1,0.0,0.01,0.03,0.02,1.36,1.0,0.0,0.5,3.4,0.3,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,1.0,0.0,0.01,0.01,0.01,0.79,0.67,0.0,1.37,8.73,4.37,0.33,29.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,0.67,1.0,0.0,0.33,0.0,0.02,0.0,0.0,0.33,0.0,0.0,0.04,0.02,0.87,0.0,0.0,0.01,0.0,0.48,0.4,0.0,0.82,5.24,2.62,0.2,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.4,0.6,0.0,0.2,0.0,0.01,0.0,0.0,0.2,0.0,0.0,0.03,0.01,0.52,-216.0,-0.45125786163522014
0,0,5,0,0.3,77,0.0,0.0,0.0,0.32,32,1,0,0.3,2.8,2024-09-14,22,0,0,0,0,0,0,0,False,6,0,0,0,0,4,0,5049,0,1,0,0.0,1,-414,336,750,4.9,True,0,77,,,Alex Scott,0,0,0.0,21,Sub,Bournemouth,Chelsea,0,1,26639,2024,674161,0.0,0,0,0,0.0,0.0,0.0,26639,Bournemouth,Alex Scott,Alex Scott,3,3,4,1.2,MID,1,0.0,0.01,0.01,0.0,0.26,0.0,0.0,1.5,12.6,2.4,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.48,1.3,0.0,0.01,0.02,0.01,0.88,0.67,0.0,1.87,12.93,5.17,0.33,37.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.67,1.33,1.33,0.0,0.33,0.0,0.02,0.0,0.0,0.33,0.0,0.0,0.2,0.18,1.3,0.0,0.01,0.01,0.0,0.53,0.4,0.0,1.12,7.76,3.1,0.2,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.8,0.8,0.0,0.2,0.0,0.01,0.0,0.0,0.2,0.0,0.0,0.12,0.11,0.78,-91.0,-0.3812154696132597
0,0,4,0,2.0,77,0.02,0.12,0.1,0.4,46,0,0,2.0,5.6,2024-09-21,21,0,0,0,0,0,0,0,False,12,0,0,0,0,5,0,4959,0,0,3,12.0,1,-197,172,369,4.9,False,0,77,,,Alex Scott,0,2,0.0673204958438873,18,Sub,Liverpool,Bournemouth,3,0,26645,2024,675711,0.0,0,0,0,0.0673204958438873,0.0673204958438873,0.0,26645,Bournemouth,Alex Scott,Alex Scott,3,5,5,0.5,MID,1,0.0,0.0,0.0,0.0,0.32,1.0,0.0,0.3,2.8,0.3,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.01,0.01,0.01,0.65,0.67,0.0,0.77,6.27,1.0,0.33,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,1.0,1.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.16,1.17,0.0,0.01,0.01,0.0,0.59,0.6,0.0,1.18,8.32,3.16,0.2,26.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.2,0.8,1.0,0.0,0.2,0.0,0.01,0.0,0.0,0.2,0.0,0.0,0.12,0.11,1.02,-90.0,-0.36414048059149723
0,0,3,0,1.0,77,0.0,0.0,0.0,0.02,52,0,0,0.4,1.2,2024-09-30,14,0,0,0,0,0,0,0,False,17,0,0,0,0,6,0,4831,0,1,3,2.0,1,-223,184,407,4.9,True,0,77,,,Alex Scott,0,0,0.0,11,Sub,Bournemouth,Southampton,3,1,26661,2024,678936,0.0,0,0,0,0.0,0.076769895851612,0.076769895851612,26661,Bournemouth,Alex Scott,Alex Scott,1,3,6,1.5,MID,1,0.0,0.02,0.12,0.1,0.4,0.0,0.0,2.0,5.6,2.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.07,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.5,0.0,0.01,0.04,0.03,0.33,0.33,0.0,1.27,7.0,1.57,4.0,22.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,1.67,1.0,0.0,0.67,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.18,0.16,1.0,0.0,0.01,0.03,0.02,0.67,0.6,0.0,1.58,9.44,3.56,2.6,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.2,1.4,1.2,0.0,0.6,0.02,0.01,0.0,0.0,0.2,0.0,0.02,0.14,0.11,1.12,-128.0,-0.377326565143824
0,0,7,0,21.9,77,0.04,0.04,0.0,0.03,68,0,0,3.5,11.2,2024-10-05,27,0,0,0,0,0,0,0,False,11,0,0,0,0,7,0,4695,0,0,1,2.0,1,-217,176,393,4.9,False,0,77,,,Alex Scott,0,0,0.0,24,Sub,Leicester,Bournemouth,1,0,26663,2024,679449,0.0684932246804237,0,2,0,0.0,0.7303575873374939,0.6618643999099731,26663,Bournemouth,Alex Scott,Alex Scott,3,1,7,1.5,MID,1,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.4,1.2,1.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,1.5,0.0,0.01,0.04,0.03,0.25,0.33,0.0,0.9,3.2,1.1,4.67,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,2.0,1.0,0.0,0.67,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.03,1.07,0.0,0.01,0.03,0.02,0.47,0.4,0.0,0.94,5.12,1.2,3.0,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.8,1.0,0.0,0.6,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.13,0.11,1.1,-136.0,-0.38137082601054484
0,0,17,1,24.8,77,0.08,0.08,0.0,0.26,71,0,0,4.0,11.4,2024-10-19,62,0,0,0,0,0,0,0,False,1,0,0,0,0,8,0,4572,1,0,2,4.0,3,-187,103,290,4.8,True,0,77,,,Alex Scott,0,0,0.0,67,DMC,Bournemouth,Arsenal,2,0,26680,2024,681569,0.1140506193041801,0,2,0,0.0,0.2100458741188049,0.0959952622652053,26680,Bournemouth,Alex Scott,Alex Scott,5,3,8,0.7,MID,3,0.0,0.04,0.04,0.0,0.03,0.0,0.0,3.5,11.2,21.9,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.07,0.0,0.0,2.0,0.0,0.0,0.73,0.66,1.5,0.0,0.02,0.05,0.03,0.15,0.0,0.0,1.97,6.0,8.3,5.33,20.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,2.33,1.0,0.0,0.67,0.02,0.02,0.0,0.0,0.67,0.0,0.02,0.29,0.25,1.17,0.0,0.01,0.03,0.02,0.21,0.2,0.0,1.54,6.68,5.52,3.2,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8,1.0,0.0,0.4,0.01,0.01,0.0,0.0,0.4,0.0,0.01,0.27,0.24,1.2,-123.0,-0.4758269720101781
0,0,2,0,4.3,77,0.1,0.15,0.05,0.33,248,0,0,1.1,1.2,2025-02-15,13,0,0,0,0,0,0,0,False,17,0,0,0,0,25,0,2937,0,3,1,5.0,1,-34,11,45,4.7,False,0,77,,,Alex Scott,0,1,0.0643862411379814,12,Sub,Southampton,Bournemouth,1,3,26849,2024,706273,0.0,0,0,0,0.0643862411379814,0.1644449532032013,0.1000587195158004,26849,Bournemouth,Alex Scott,Alex Scott,3,1,25,1.0,MID,1,1.0,0.08,0.08,0.0,0.26,0.0,0.0,4.0,11.4,24.8,4.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.11,0.0,0.0,2.0,0.0,0.0,0.21,0.1,0.7,0.33,0.04,0.04,0.0,0.1,0.0,0.0,2.63,7.93,15.9,2.67,34.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,2.0,1.67,0.0,0.0,0.0,0.06,0.0,0.0,1.33,0.0,0.0,0.34,0.28,1.23,0.2,0.03,0.05,0.02,0.21,0.2,0.0,2.04,6.44,10.0,4.0,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,1.8,1.4,0.0,0.4,0.01,0.04,0.0,0.0,0.8,0.0,0.01,0.22,0.17,1.08,-1635.0,-0.6071428571428571
0,0,0,0,1.1,77,0.0,0.0,0.0,0.08,253,0,0,0.1,0.2,2025-02-22,17,0,0,0,0,0,0,0,False,20,0,0,0,0,26,0,3033,0,1,0,0.0,0,72,107,35,4.7,True,1,77,,,Alex Scott,0,0,0.0,13,Sub,Bournemouth,Wolverhampton Wanderers,0,1,26852,2024,707896,0.0,0,0,0,0.0,0.0,0.0,26852,Bournemouth,Alex Scott,Alex Scott,3,3,26,0.7,MID,0,0.0,0.1,0.15,0.05,0.33,0.0,0.0,1.1,1.2,4.3,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.16,0.1,1.0,0.33,0.07,0.09,0.02,0.21,0.0,0.0,2.87,7.93,17.0,3.67,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,1.33,1.67,0.0,0.33,0.02,0.06,0.0,0.0,1.33,0.0,0.02,0.37,0.29,1.07,0.2,0.05,0.08,0.03,0.21,0.0,0.0,2.2,6.12,10.8,5.0,27.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,2.0,1.4,0.0,0.6,0.03,0.04,0.0,0.0,0.8,0.0,0.03,0.25,0.19,1.04,96.0,0.5070422535211268
