assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers
0.0,0.0,-1.0,0.0,6.1,267.0,0.02,0.02,0.0,2.65,4.0,2.0,0.0,2.1,14.8,2024-08-17,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,12.0,0.0,0.0,0.0,0.0,1.0,0.0,155392.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.5,True,0.0,267.0,0.0,0.0,0.0,90.0,Ipswich,Liverpool,0.0,2.0,26603.0,2024.0,666236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8919.0,Ipswich,5.0,2.0,1.0,0.9,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
0.0,0.0,-9.0,0.0,0.4,267.0,0.1,0.1,0.0,3.34,17.0,4.0,0.0,1.0,5.4,2024-08-24,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,13.0,0.0,0.0,0.0,0.0,2.0,0.0,157771.0,1.0,1.0,4.0,4.0,0.0,-5466.0,6110.0,11576.0,4.5,False,0.0,267.0,0.0,0.0,0.0,90.0,Manchester City,Ipswich,4.0,1.0,26615.0,2024.0,668091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8919.0,Ipswich,2.0,4.0,2.0,-1.0,DEF,0.0,0.02,0.02,0.0,2.65,2.0,0.0,2.1,14.8,6.1,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2379.0,-0.30905801198688226
1.0,2.0,31.0,0.0,44.6,267.0,0.21,0.26,0.05,0.95,25.0,1.0,0.0,7.9,30.6,2024-08-31,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,9.0,0.0,0.0,0.0,0.0,3.0,0.0,152917.0,1.0,1.0,1.0,4.0,7.0,-7185.0,10245.0,17430.0,4.5,True,0.0,267.0,0.0,1.0,0.0632911771535873,90.0,Ipswich,Fulham,1.0,1.0,26625.0,2024.0,671784.0,0.3391848802566528,1.0,3.0,0.0,0.0632911771535873,0.1278997659683227,0.085615798830986,8919.0,Ipswich,3.0,2.0,3.0,2.2,DEF,0.0,0.1,0.1,0.0,3.34,4.0,0.0,1.0,5.4,0.4,4.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.06,0.06,0.0,3.0,3.0,0.0,1.55,10.1,3.25,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4854.0,-0.25962059620596206
0.0,0.0,23.0,1.0,13.8,267.0,0.15,0.17,0.02,1.66,33.0,0.0,0.0,4.0,21.0,2024-09-14,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,5.0,0.0,0.0,0.0,0.0,4.0,0.0,176521.0,1.0,0.0,0.0,5.0,6.0,17615.0,40326.0,22711.0,4.5,False,0.0,267.0,0.0,1.0,0.0420031063258647,90.0,Brighton,Ipswich,0.0,0.0,26633.0,2024.0,673660.0,0.031203418970108,0.0,1.0,0.0,0.0420031063258647,0.0,0.0,8919.0,Ipswich,2.0,3.0,4.0,3.0,DEF,0.0,0.21,0.26,0.05,0.95,1.0,0.0,7.9,30.6,44.6,4.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,0.0,1.0,0.06,0.34,1.0,1.0,3.0,0.0,0.06,0.13,0.09,2.2,0.0,0.16,0.18,0.02,2.14,2.5,0.0,4.45,18.0,22.5,4.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5,3.5,0.0,0.5,0.03,0.17,0.5,0.5,1.5,0.0,0.03,0.06,0.04,0.6,0.0,0.11,0.13,0.02,2.31,2.33,0.0,3.67,16.93,17.03,2.67,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,1.67,2.67,0.0,0.33,0.02,0.11,0.33,0.33,1.0,0.0,0.02,0.04,0.03,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23604.0,0.2794390595999175
0.0,0.0,11.0,0.0,36.9,267.0,0.06,0.25,0.19,2.49,48.0,1.0,0.0,7.1,14.6,2024-09-21,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,17.0,0.0,0.0,0.0,0.0,5.0,0.0,206391.0,1.0,1.0,1.0,19.0,2.0,26129.0,34960.0,8831.0,4.5,False,0.0,267.0,0.0,1.0,0.0614283345639705,90.0,Southampton,Ipswich,1.0,1.0,26643.0,2024.0,675644.0,0.124955914914608,0.0,3.0,0.0,0.0614283345639705,0.0614283345639705,0.0,8919.0,Ipswich,2.0,2.0,5.0,3.8,DEF,1.0,0.15,0.17,0.02,1.66,0.0,0.0,4.0,21.0,13.8,5.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,0.04,0.03,0.0,0.0,1.0,0.0,0.04,0.0,0.0,3.0,0.5,0.18,0.22,0.04,1.3,0.5,0.0,5.95,25.8,29.2,4.5,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,6.5,0.0,1.0,0.05,0.19,0.5,0.5,2.0,0.0,0.05,0.06,0.04,2.6,0.33,0.15,0.18,0.02,1.98,1.67,0.0,4.3,19.0,19.6,4.33,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,1.67,4.33,0.0,0.67,0.04,0.12,0.33,0.33,1.33,0.0,0.04,0.04,0.03,1.4,0.25,0.12,0.14,0.02,2.15,1.75,0.0,3.75,17.95,16.23,3.25,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.25,3.5,0.0,0.5,0.03,0.09,0.25,0.25,1.0,0.0,0.03,0.03,0.02,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29870.0,0.5966751158913932
0.0,1.0,22.0,0.0,88.1,267.0,0.48,0.52,0.04,0.82,56.0,2.0,0.0,11.4,22.0,2024-09-29,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.0,0.0,0.0,0.0,0.0,6.0,0.0,213675.0,1.0,2.0,2.0,4.0,2.0,6145.0,34985.0,28840.0,4.5,True,0.0,267.0,0.0,1.0,0.0421013236045837,90.0,Ipswich,Aston Villa,2.0,2.0,26659.0,2024.0,678363.0,0.9696796536445618,0.0,7.0,0.0,0.0421013236045837,0.7136860489845276,0.1066927835345268,8919.0,Ipswich,3.0,2.0,6.0,2.8,DEF,0.0,0.06,0.25,0.19,2.49,1.0,0.0,7.1,14.6,36.9,19.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.06,0.12,0.0,0.0,3.0,0.0,0.06,0.06,0.0,3.8,0.5,0.1,0.21,0.11,2.08,0.5,0.0,5.55,17.8,25.35,12.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,4.0,0.0,1.0,0.05,0.08,0.0,0.0,2.0,0.0,0.05,0.03,0.0,3.4,0.33,0.14,0.23,0.09,1.7,0.67,0.0,6.33,22.07,31.77,9.33,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,0.67,5.0,0.0,1.0,0.06,0.17,0.33,0.33,2.33,0.0,0.06,0.06,0.03,3.0,0.25,0.13,0.2,0.06,2.11,1.5,0.0,5.0,17.9,23.92,8.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,1.5,3.75,0.0,0.75,0.04,0.12,0.25,0.25,1.75,0.0,0.04,0.05,0.02,2.0,0.2,0.11,0.16,0.05,2.22,1.6,0.0,4.42,17.28,20.36,6.4,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.2,3.2,0.0,0.6,0.03,0.1,0.2,0.2,1.4,0.0,0.03,0.04,0.02,1.78,7284.0,0.09627888758323541
0.0,0.0,6.0,0.0,42.2,267.0,0.34,0.34,0.0,3.79,70.0,4.0,0.0,5.7,14.6,2024-10-05,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,19.0,0.0,0.0,0.0,0.0,7.0,0.0,243083.0,1.0,1.0,4.0,0.0,0.0,26098.0,39765.0,13667.0,4.5,False,0.0,267.0,0.0,0.0,0.0,90.0,West Ham,Ipswich,4.0,1.0,26665.0,2024.0,679502.0,0.669628381729126,0.0,3.0,0.0,0.0,0.141984686255455,0.1289764642715454,8919.0,Ipswich,2.0,2.0,7.0,2.0,DEF,0.0,0.48,0.52,0.04,0.82,2.0,0.0,11.4,22.0,88.1,4.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.04,0.97,0.0,0.0,7.0,0.0,0.04,0.71,0.11,2.8,0.0,0.27,0.38,0.12,1.66,1.5,0.0,9.25,18.3,62.5,11.5,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,2.0,0.0,1.0,0.05,0.55,0.0,0.0,5.0,0.0,0.05,0.39,0.05,3.3,0.33,0.23,0.31,0.08,1.66,1.0,0.0,7.5,19.2,46.27,9.33,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.33,0.0,1.0,0.05,0.38,0.0,0.0,3.67,0.0,0.05,0.26,0.04,3.2,0.25,0.22,0.3,0.08,1.48,1.0,0.0,7.6,22.05,45.85,8.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.25,0.0,1.0,0.05,0.37,0.25,0.25,3.5,0.0,0.05,0.23,0.05,2.95,0.2,0.2,0.26,0.06,1.85,1.6,0.0,6.28,18.72,36.76,7.2,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.6,3.4,0.0,0.8,0.04,0.29,0.2,0.2,2.8,0.0,0.04,0.18,0.04,2.16,29408.0,0.48843389729001346
0.0,0.0,9.0,0.0,41.0,267.0,0.23,0.23,0.0,1.74,73.0,2.0,0.0,5.4,12.8,2024-10-19,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,8.0,0.0,0.0,0.0,0.0,8.0,0.0,253980.0,1.0,2.0,0.0,0.0,1.0,9655.0,25392.0,15737.0,4.5,True,0.0,267.0,0.0,0.0,0.0,90.0,Ipswich,Everton,0.0,2.0,26674.0,2024.0,681416.0,0.2247985005378723,0.0,3.0,0.0,0.0,0.5103933811187744,0.500211238861084,8919.0,Ipswich,2.0,2.0,8.0,1.0,DEF,0.0,0.34,0.34,0.0,3.79,4.0,0.0,5.7,14.6,42.2,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,3.0,0.0,0.0,0.14,0.13,2.0,0.0,0.41,0.43,0.02,2.3,3.0,0.0,8.55,18.3,65.15,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,3.0,1.0,0.0,0.5,0.02,0.82,0.0,0.0,5.0,0.0,0.02,0.43,0.12,2.4,0.0,0.29,0.37,0.08,2.37,2.33,0.0,8.07,17.07,55.73,7.67,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,2.33,1.33,0.0,0.67,0.03,0.59,0.0,0.0,4.33,0.0,0.03,0.31,0.08,2.87,0.25,0.26,0.32,0.06,2.19,1.75,0.0,7.05,18.05,45.25,7.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.75,2.5,0.0,0.75,0.04,0.45,0.0,0.0,3.5,0.0,0.04,0.23,0.06,2.9,0.2,0.25,0.31,0.06,1.94,1.6,0.0,7.22,20.56,45.12,6.4,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.6,3.4,0.0,0.8,0.04,0.43,0.2,0.2,3.4,0.0,0.04,0.21,0.06,2.76,10897.0,0.23474920372486566
1.0,0.0,5.0,0.0,32.8,267.0,0.16,0.32,0.16,4.11,83.0,4.0,0.0,6.1,23.4,2024-10-26,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,4.0,0.0,0.0,0.0,0.0,9.0,0.0,239212.0,1.0,3.0,4.0,5.0,2.0,-14073.0,4481.0,18554.0,4.5,False,1.0,267.0,0.0,3.0,0.0885870456695556,90.0,Brentford,Ipswich,4.0,3.0,26685.0,2024.0,683009.0,0.4651331305503845,1.0,2.0,0.0,0.0885870456695556,0.5395716428756714,0.0,8919.0,Ipswich,2.0,3.0,9.0,1.2,DEF,0.0,0.23,0.23,0.0,1.74,2.0,0.0,5.4,12.8,41.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.22,0.0,0.0,3.0,0.0,0.0,0.51,0.5,1.0,0.0,0.29,0.29,0.0,2.76,3.0,0.0,5.55,13.7,41.6,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,2.0,0.5,0.0,0.0,0.0,0.45,0.0,0.0,3.0,0.0,0.0,0.33,0.31,1.5,0.0,0.35,0.36,0.01,2.12,2.67,0.0,7.5,16.47,57.1,1.33,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.67,2.0,1.0,0.0,0.33,0.01,0.62,0.0,0.0,4.33,0.0,0.01,0.46,0.25,1.93,0.0,0.28,0.34,0.06,2.21,2.25,0.0,7.4,16.0,52.05,5.75,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.75,1.25,0.0,0.5,0.03,0.5,0.0,0.0,4.0,0.0,0.03,0.36,0.18,2.4,0.2,0.25,0.3,0.05,2.1,1.8,0.0,6.72,17.0,44.4,5.6,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,1.4,2.2,0.0,0.6,0.03,0.4,0.0,0.0,3.4,0.0,0.03,0.29,0.15,2.52,-14768.0,-0.6109398741046234
0.0,2.0,24.0,0.0,40.6,267.0,0.22,0.31,0.09,1.55,93.0,1.0,1.0,11.6,56.0,2024-11-02,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,11.0,0.0,0.0,0.0,0.0,10.0,0.0,243713.0,1.0,1.0,1.0,19.0,10.0,942.0,16479.0,15537.0,4.5,True,0.0,267.0,1.0,1.0,0.064480148255825,90.0,Ipswich,Leicester,1.0,1.0,26695.0,2024.0,684995.0,0.2763595581054687,0.0,3.0,1.0,0.064480148255825,0.2019380778074264,0.1053311750292778,8919.0,Ipswich,2.0,2.0,10.0,4.3,DEF,0.0,0.16,0.32,0.16,4.11,4.0,0.0,6.1,23.4,32.8,5.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,2.0,0.0,3.0,0.09,0.47,1.0,1.0,2.0,0.0,0.09,0.54,0.0,1.2,0.0,0.2,0.28,0.08,2.92,3.0,0.0,5.75,18.1,36.9,2.5,90.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,2.5,2.0,1.5,0.0,1.5,0.04,0.34,0.5,0.5,2.5,0.0,0.04,0.52,0.25,1.1,0.0,0.24,0.3,0.05,3.21,3.33,0.0,5.73,16.93,38.67,1.67,90.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,2.0,2.67,1.0,0.0,1.0,0.03,0.45,0.33,0.33,2.67,0.0,0.03,0.4,0.21,1.4,0.0,0.3,0.35,0.05,2.62,3.0,0.0,7.15,18.2,51.02,2.25,90.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,2.0,2.5,1.25,0.0,1.0,0.03,0.58,0.25,0.25,3.75,0.0,0.03,0.48,0.18,1.75,0.0,0.25,0.33,0.08,2.59,2.6,0.0,7.14,17.48,48.2,5.6,90.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.8,2.2,1.4,0.0,1.0,0.04,0.49,0.2,0.2,3.6,0.0,0.04,0.39,0.15,2.16,4501.0,0.02942278860569715
