assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5
1,0,27,1,4.7,139,0.01,0.01,0.0,0.67,3,0,0,1.0,3.2,2022-08-06,64,8,0,0,0,0,1,0,280300,1,1,0,2.0,9,0,0,0,6.0,False,0,0,0,0.0,74,Everton,Chelsea,0,1,18208,2022,539626,0.0,0,0,0,0.0,0.142316997051239,0.142316997051239,Chelsea,3,2,1,3.5,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,3,0,1.0,139,0.0,0.0,0.0,0.0,25,0,0,0.5,1.6,2022-08-21,13,11,0,0,0,0,3,0,336139,0,0,3,2.0,1,-89693,21054,110747,6.0,False,0,0,0,0.0,11,Leeds,Chelsea,3,0,18228,2022,543100,0.0,0,0,0,0.0,0.0,0.0,Chelsea,3,2,3,4.3,DEF,1.0,0.01,0.01,0.0,0.67,0.0,0.0,1.0,3.2,4.7,2.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,3.5,280300.0,1.0,0.01,0.01,0.0,0.67,0.0,0.0,1.0,3.2,4.7,2.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,3.5,280300.0
0,0,4,0,0.0,139,0.0,0.0,0.0,0.0,35,0,0,0.3,3.0,2022-08-27,1,10,0,0,0,0,4,0,286632,0,1,2,0.0,1,-60477,10397,70874,5.9,True,0,0,0,0.0,1,Chelsea,Leicester,2,1,18235,2022,544504,0.0,0,0,0,0.0,0.0,0.0,Chelsea,3,4,4,3.3,DEF,1.0,0.01,0.01,0.0,0.67,0.0,0.0,1.5,4.8,5.7,4.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,7.8,616439.0,1.0,0.01,0.01,0.0,0.67,0.0,0.0,1.5,4.8,5.7,4.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,7.8,616439.0
0,0,9,0,2.1,139,0.01,0.01,0.0,0.1,50,0,0,1.4,10.2,2022-08-30,23,17,0,0,0,0,5,0,249846,0,1,2,2.0,1,-42117,6839,48956,5.8,False,0,0,0,0.0,21,Southampton,Chelsea,2,1,18244,2022,545975,0.0,0,0,0,0.0,0.0,0.0,Chelsea,3,2,5,2.9,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,4.6,1.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,622771.0,1.0,0.01,0.01,0.0,0.67,0.0,0.0,1.8,7.8,5.7,4.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,11.1,903071.0
1,0,25,0,11.0,139,0.0,0.23,0.23,0.17,54,0,1,9.4,50.4,2022-09-03,18,19,0,0,0,0,6,0,229828,0,1,2,33.0,10,-24875,8197,33072,5.8,True,0,1,1,0.3437249958515167,16,Chelsea,West Ham,2,1,18260,2022,547260,0.1191760003566742,1,1,1,0.3437249958515167,0.3437249958515167,0.3437249958515167,Chelsea,2,4,6,3.1,DEF,0.0,0.01,0.01,0.0,0.1,0.0,0.0,2.2,14.8,3.1,4.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,872617.0,1.0,0.02,0.02,0.0,0.77,0.0,0.0,3.2,18.0,7.8,6.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,14.0,1152917.0
0,0,8,0,9.9,139,0.04,0.08,0.04,0.44,83,1,0,2.6,10.8,2022-10-01,90,7,0,0,0,0,9,0,330093,1,2,1,5.0,2,39545,56669,17124,5.8,False,0,0,1,0.0340034998953342,90,Crystal Palace,Chelsea,1,2,18284,2022,552289,0.0,0,0,0,0.0340034998953342,0.3109869956970215,0.2769829928874969,Chelsea,3,2,9,2.5,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.24,0.23,0.27,0.0,1.0,11.1,63.6,13.1,35.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,12.0,1.0,1.0,0.34,0.12,1.0,1.0,1.0,0.34,0.34,0.34,9.3,766306.0
0,0,18,1,3.8,139,0.03,0.03,0.0,1.79,101,0,0,0.6,2.2,2022-10-16,90,2,0,0,0,0,11,0,392437,1,2,0,0.0,5,20350,58785,38435,5.8,False,1,0,0,0.0,90,Aston Villa,Chelsea,0,2,18302,2022,556566,0.0,0,0,0,0.0,0.2159679979085922,0.2159679979085922,Chelsea,3,2,11,2.8,DEF,0.0,0.04,0.08,0.04,0.44,1.0,0.0,2.6,10.8,9.9,5.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.03,0.0,0.0,0.0,0.0,0.03,0.31,0.28,2.5,330093.0,0.0,0.04,0.31,0.27,0.61,1.0,1.0,12.0,61.2,20.9,38.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,12.0,1.0,2.0,0.38,0.12,1.0,1.0,1.0,0.38,0.65,0.62,5.6,559921.0
0,0,11,0,9.1,139,0.1,0.1,0.0,0.84,122,1,0,1.9,7.4,2022-10-22,90,14,0,0,0,0,13,0,457361,1,1,1,2.0,2,-51205,18088,69293,5.9,True,0,0,0,0.0,90,Chelsea,Manchester United,1,1,18323,2022,558420,0.0,0,0,0,0.0,0.0,0.0,Chelsea,3,4,13,2.3,DEF,1.0,0.03,0.03,0.0,1.79,0.0,0.0,0.6,2.2,3.8,0.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,2.8,392437.0,1.0,0.07,0.11,0.04,2.23,1.0,0.0,3.2,13.0,13.7,5.0,180.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,7.0,0.0,1.0,0.03,0.0,0.0,0.0,0.0,0.03,0.53,0.49,5.3,722530.0
0,0,2,0,2.3,139,0.01,0.05,0.04,0.62,134,1,0,0.6,0.0,2022-10-29,26,5,0,0,0,0,14,0,467367,0,1,4,4.0,1,5275,32792,27517,5.9,False,0,0,1,0.0212853997945785,25,Brighton,Chelsea,4,1,18335,2022,560069,0.0,0,0,0,0.0212853997945785,0.1066519990563392,0.1066519990563392,Chelsea,3,3,14,2.2,DEF,1.0,0.13,0.13,0.0,2.63,1.0,0.0,2.5,9.6,12.9,2.0,180.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,5.1,849798.0,1.0,0.17,0.21,0.04,3.07,2.0,0.0,5.1,20.4,22.8,7.0,270.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,2.0,9.0,0.0,1.0,0.03,0.0,0.0,0.0,0.0,0.03,0.53,0.49,7.6,1179891.0
0,0,2,0,14.8,139,0.07,0.07,0.0,0.09,214,0,0,1.6,1.4,2023-02-03,6,9,0,0,0,0,22,0,201384,0,0,0,0.0,1,-2897,1890,4787,5.8,True,0,0,0,0.0,5,Chelsea,Fulham,0,0,18415,2022,572945,0.1055219992995262,0,1,0,0.0,0.0,0.0,Chelsea,2,4,22,0.7,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
