goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0.0,69,MC,Newcastle United,Liverpool,0,1,2022-04-30,16721,2021,530114,0.0,0,0,0,0.0,0.0,0.0
1,0,3,0.1772388964891433,90,MC,Norwich,Newcastle United,0,3,2022-04-23,16706,2021,528716,0.0844463929533958,0,1,0,0.1772388964891433,0.4566120207309723,0.3011916875839233
2,0,0,0.0,11,Sub,Newcastle United,Crystal Palace,1,0,2022-04-20,16671,2021,527897,0.0,0,0,0,0.0,0.0,0.0
3,0,0,0.0,16,Sub,Newcastle United,Leicester,2,1,2022-04-17,16701,2021,527012,0.0,0,0,0,0.0,0.0,0.0
4,0,2,0.2500424087047577,90,MC,Tottenham,Newcastle United,5,1,2022-04-03,16678,2021,523660,0.0,0,0,0,0.2500424087047577,0.2500424087047577,0.0694939941167831
5,0,2,0.1308326870203018,90,MC,Everton,Newcastle United,1,0,2022-03-17,16571,2021,520800,0.0723940655589103,0,1,0,0.1308326870203018,0.2032267451286316,0.0723940655589103
6,0,1,0.2061438113451004,90,MC,Southampton,Newcastle United,1,2,2022-03-10,16584,2021,518932,0.0,0,0,0,0.2061438113451004,0.2562079131603241,0.0500641204416751
7,0,1,0.0719712004065513,90,MC,Newcastle United,Brighton,2,1,2022-03-05,16651,2021,517555,0.0777126252651214,0,1,0,0.0719712004065513,0.7891418933868408,0.6394580602645874
8,1,3,0.5481814742088318,86,MC,Brentford,Newcastle United,0,2,2022-02-26,16637,2021,516013,0.1699729561805725,0,2,1,0.5481814742088318,0.6778319478034973,0.1527009308338165
9,1,5,0.2311175316572189,90,MC,West Ham,Newcastle United,1,1,2022-02-19,16634,2021,513956,0.0,0,0,1,0.2311175316572189,0.1344764679670334,0.0293517094105482
10,0,3,0.1878511309623718,90,MC,Newcastle United,Aston Villa,1,0,2022-02-13,16622,2021,513336,0.0332885682582855,0,1,0,0.1878511309623718,0.2757745087146759,0.0546348057687282
11,0,2,0.1857409328222274,90,MC,Newcastle United,Everton,3,1,2022-02-08,16612,2021,512068,0.0,0,0,0,0.1857409328222274,0.2990127503871918,0.2260956168174743
12,0,2,0.4083743989467621,90,MC,Leeds,Newcastle United,0,1,2022-01-22,16601,2021,509720,0.1249309629201889,0,2,0,0.4083743989467621,0.6806105971336365,0.1473052203655243
13,0,0,0.0,47,MC,Newcastle United,Manchester City,0,4,2021-12-19,16550,2021,504057,0.0,0,0,0,0.0,0.0,0.0
14,0,0,0.0,1,Sub,Liverpool,Newcastle United,3,1,2021-12-16,16544,2021,503382,0.0,0,0,0,0.0,0.0,0.0
15,0,2,0.0701546370983123,90,MC,Leicester,Newcastle United,4,0,2021-12-12,16532,2021,502266,0.0362237952649593,0,1,0,0.0701546370983123,0.1503941863775253,0.0440157614648342
16,0,1,0.5831185579299927,90,MC,Newcastle United,Burnley,1,0,2021-12-04,16520,2021,499949,0.1609673947095871,0,3,0,0.5831185579299927,0.8724596500396729,0.1283736824989318
17,0,0,0.0,75,MC,Newcastle United,Norwich,1,1,2021-11-30,16513,2021,498647,0.1082895174622535,0,1,0,0.0,0.2051976323127746,0.096908114850521
18,0,1,0.0246059335768222,90,MC,Arsenal,Newcastle United,2,0,2021-11-27,16496,2021,497091,0.0,0,0,0,0.0246059335768222,0.0246059335768222,0.0246059335768222
19,0,0,0.0,74,MC,Newcastle United,Brentford,3,3,2021-11-20,16491,2021,495736,0.097211830317974,0,2,0,0.0,0.2210134118795395,0.123801589012146
20,0,0,0.0,21,Sub,Newcastle United,Chelsea,0,3,2021-10-30,16471,2021,492222,0.0,0,0,0,0.0,0.0,0.0
21,0,0,0.0,22,Sub,Crystal Palace,Newcastle United,1,1,2021-10-23,16460,2021,489964,0.0,0,0,0,0.0,0.0,0.0
22,0,0,0.0,85,MC,Newcastle United,Tottenham,2,3,2021-10-17,16452,2021,489070,0.0,0,0,0,0.0,0.4824942946434021,0.4824942946434021
23,0,0,0.0,35,MC,Wolverhampton Wanderers,Newcastle United,2,1,2021-10-02,16445,2021,486538,0.0,0,0,0,0.0,0.0,0.0
24,0,4,0.4961428344249725,87,MC,Watford,Newcastle United,1,1,2021-09-25,16427,2021,484777,0.111705794930458,0,1,0,0.4961428344249725,0.8103588819503784,0.3142160475254059
25,0,1,0.0246872659772634,90,MC,Newcastle United,Leeds,1,1,2021-09-17,16416,2021,481702,0.0375666432082653,0,1,0,0.0246872659772634,0.1856261193752288,0.1609388589859008
26,0,2,0.0812262743711471,89,MC,Manchester United,Newcastle United,4,1,2021-09-11,16410,2021,480366,0.0,0,0,0,0.0812262743711471,0.4642055034637451,0.3961450159549713
27,0,0,0.0,85,MC,Newcastle United,Southampton,2,2,2021-08-28,16397,2021,478973,0.0,0,0,0,0.0,0.0435128547251224,0.0435128547251224
28,0,0,0.0,90,MC,Aston Villa,Newcastle United,2,0,2021-08-21,16388,2021,476951,0.0136938337236642,0,1,0,0.0,0.0136938337236642,0.0
29,1,3,0.2676095068454742,90,MC,Fulham,Newcastle United,0,2,2021-05-23,14807,2020,473301,0.0,0,0,1,0.2676095068454742,0.2676095068454742,0.1210886761546135
30,1,2,0.530470073223114,90,MC,Newcastle United,Sheffield United,1,0,2021-05-19,14801,2020,472440,0.0479969754815101,0,2,1,0.530470073223114,0.5784670114517212,0.0322865322232246
31,1,4,1.588733792304993,90,MC,Newcastle United,Manchester City,3,4,2021-05-14,14791,2020,470649,0.0,0,0,1,0.8275650143623352,0.1468125730752945,0.0369735211133956
32,1,1,0.3564255833625793,78,MC,Leicester,Newcastle United,2,4,2021-05-07,14779,2020,468287,0.0,0,0,1,0.3564255833625793,1.4577393531799316,1.1013137102127075
33,1,2,0.1015097722411155,24,Sub,Liverpool,Newcastle United,1,1,2021-04-24,14760,2020,465145,0.0,0,0,1,0.1015097722411155,0.4981586635112762,0.3966488838195801
34,1,1,0.0566486977040767,6,Sub,Newcastle United,West Ham,3,2,2021-04-17,14752,2020,462660,0.0,0,0,1,0.0566486977040767,0.0566486977040767,0.0
35,1,1,0.8492646217346191,9,Sub,Newcastle United,Tottenham,2,2,2021-04-04,14732,2020,460247,0.0,0,0,1,0.8492646217346191,0.8640435338020325,0.0147788757458329
36,0,0,0.0,67,MC,Brighton,Newcastle United,3,0,2021-03-20,14715,2020,458340,0.0,0,0,0,0.0,0.0,0.0
37,0,0,0.0,90,MC,Newcastle United,Aston Villa,1,1,2021-03-12,14712,2020,455941,0.066654048860073,0,1,0,0.0,0.2711061537265777,0.204452097415924
38,0,1,0.061019767075777,90,AMC,West Bromwich Albion,Newcastle United,0,0,2021-03-07,14703,2020,455008,0.1089998111128807,0,1,0,0.061019767075777,0.170019581913948,0.0
39,0,1,0.4622671604156494,90,MC,Newcastle United,Wolverhampton Wanderers,1,1,2021-02-27,14688,2020,452591,0.1701788753271103,0,2,0,0.4622671604156494,1.2255327701568604,0.7632655501365662
40,0,0,0.0,90,MC,Manchester United,Newcastle United,3,1,2021-02-21,14681,2020,451558,0.0,0,0,0,0.0,0.1019882783293724,0.1019882783293724
41,0,2,0.1409174501895904,82,MC,Chelsea,Newcastle United,2,0,2021-02-15,14667,2020,450124,0.0,0,0,0,0.1409174501895904,0.1409174501895904,0.0
42,1,1,0.4303113520145416,90,AMR,Newcastle United,Southampton,3,2,2021-02-06,14661,2020,447669,0.2783724367618561,0,2,1,0.4303113520145416,0.7086837887763977,0.0
43,0,0,0.0,1,Sub,Southampton,Arsenal,1,3,2021-01-26,14632,2020,445033,0.0,0,0,0,0.0,0.0,0.0
44,0,1,0.097945436835289,11,Sub,West Bromwich Albion,Arsenal,0,4,2021-01-02,14600,2020,439306,0.0,0,0,0,0.097945436835289,0.097945436835289,0.0
45,0,1,0.0542917773127555,24,Sub,Arsenal,Chelsea,3,1,2020-12-26,14575,2020,438140,0.0421310700476169,0,1,0,0.0542917773127555,0.0964228510856628,0.0
46,0,1,0.0543962903320789,25,Sub,Everton,Arsenal,2,1,2020-12-19,14569,2020,436207,0.0193679425865411,0,1,0,0.0543962903320789,0.1575110256671905,0.0837467983365058
