assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,position
0,0,0,5,1,14.8,385,0.11,0.11,0.0,0.44,1,0,0,2.7,4.6,2024-08-16,90,0,0,0,0,0,0,0,False,9,0,0,0,0,1,0,410469,1,0,1,8.0,3,0,0,0,70,True,0,385,,,Marcus Rashford,0,0,0.0,90,AML,Manchester United,Fulham,1,0,26602,2024,666178,0.3805783987045288,0,1,0,0.0,0.505109965801239,0.1245315670967102,26602,Manchester United,Marcus Rashford,Marcus Rashford,MID
1,0,0,4,0,7.3,385,0.01,0.01,0.0,1.33,13,1,0,1.1,0.0,2024-08-24,64,0,0,0,0,0,0,0,False,5,0,0,0,0,2,0,412866,1,1,2,4.0,2,-33984,21693,55677,70,False,0,385,,,Marcus Rashford,0,0,0.0,66,AML,Brighton,Manchester United,2,1,26612,2024,667717,0.0,0,0,0,0.0,0.0,0.0,26612,Manchester United,Marcus Rashford,Marcus Rashford,MID
2,0,0,18,0,33.0,385,0.59,0.59,0.0,1.73,27,3,0,5.4,12.8,2024-09-01,90,0,0,0,0,0,0,0,False,12,0,0,0,0,3,0,313798,1,3,0,8.0,2,-106841,10846,117687,69,True,0,385,,,Marcus Rashford,0,0,0.0,90,AML,Manchester United,Liverpool,0,3,26631,2024,672621,0.9978411197662354,0,2,0,0.0,1.0152345895767212,0.5418434739112854,26631,Manchester United,Marcus Rashford,Marcus Rashford,MID
3,0,0,28,1,14.1,385,0.01,0.41,0.4,1.12,38,0,1,9.5,42.8,2024-09-14,72,0,0,0,0,0,0,0,False,17,0,0,0,0,4,0,289386,1,3,0,38.0,8,-36179,23824,60003,69,False,0,385,,,Marcus Rashford,1,4,0.2599236965179443,77,AML,Southampton,Manchester United,0,3,26632,2024,673381,0.0183580685406923,0,1,1,0.2599236965179443,0.9512239098548888,0.7125238180160522,26632,Manchester United,Marcus Rashford,Marcus Rashford,MID
4,0,0,4,0,1.7,385,0.05,0.05,0.0,0.84,43,0,0,0.4,2.2,2024-09-21,29,0,0,0,0,0,0,0,False,7,0,0,0,0,5,0,405441,0,0,0,0.0,1,101097,118652,17555,69,False,0,385,,,Marcus Rashford,0,0,0.0,29,Sub,Crystal Palace,Manchester United,0,0,26649,2024,675955,0.0,0,0,0,0.0,0.0,0.0,26649,Manchester United,Marcus Rashford,Marcus Rashford,MID
5,0,0,12,0,23.5,385,0.05,0.05,0.0,2.86,57,2,0,4.2,14.0,2024-09-29,72,0,0,0,0,0,0,0,False,18,0,0,0,0,6,0,360701,1,3,0,4.0,2,-42506,24148,66654,69,True,0,385,,,Marcus Rashford,0,0,0.0,78,AML,Manchester United,Tottenham,0,3,26660,2024,678651,0.0529291778802871,0,1,0,0.0,0.1507856994867324,0.1507856994867324,26660,Manchester United,Marcus Rashford,Marcus Rashford,MID
6,0,0,7,1,11.5,385,0.01,0.19,0.18,0.28,62,0,0,4.6,6.8,2024-10-06,63,0,0,0,0,0,0,0,False,2,0,0,0,0,7,0,319756,1,0,0,28.0,2,-45739,13357,59096,69,False,1,385,,,Marcus Rashford,0,2,0.2084538638591766,67,AML,Aston Villa,Manchester United,0,0,26670,2024,680096,0.0228858683258295,0,1,0,0.2084538638591766,0.2455622851848602,0.0142225567251443,26670,Manchester United,Marcus Rashford,Marcus Rashford,MID
7,1,1,27,0,56.5,385,0.35,0.42,0.07,0.86,75,1,0,11.0,33.4,2024-10-19,90,0,0,0,0,0,0,0,False,4,0,0,0,0,8,0,335811,1,1,2,20.0,6,7733,34049,26316,69,True,0,385,,,Marcus Rashford,0,2,0.1345402002334594,90,AMR,Manchester United,Brentford,2,1,26675,2024,681295,0.387787401676178,1,3,0,0.1345402002334594,0.923031747341156,0.4007041156291961,26675,Manchester United,Marcus Rashford,Marcus Rashford,MID
8,0,0,4,0,21.8,385,0.02,0.02,0.0,0.13,90,0,0,2.9,4.8,2024-10-27,58,0,0,0,0,0,0,0,False,19,0,0,0,0,9,0,346907,1,1,2,2.0,1,8950,25367,16417,69,False,0,385,,,Marcus Rashford,0,0,0.0,62,AMR,West Ham,Manchester United,2,1,26690,2024,683471,0.0363263711333274,0,1,0,0.0,0.364836573600769,0.364836573600769,26690,Manchester United,Marcus Rashford,Marcus Rashford,MID
9,0,0,-5,1,3.8,385,0.01,0.24,0.23,0.92,95,0,0,1.9,0.0,2024-11-03,72,0,0,0,0,0,0,0,False,6,0,0,0,0,10,0,341175,1,1,1,15.0,2,-7454,24832,32286,69,True,1,385,,,Marcus Rashford,0,2,0.2727145254611969,75,AML,Manchester United,Chelsea,1,1,26697,2024,685864,0.0,0,0,0,0.2727145254611969,0.2995056211948395,0.0480085611343383,26697,Manchester United,Marcus Rashford,Marcus Rashford,MID
10,0,0,3,0,4.5,385,0.02,0.02,0.0,0.73,106,0,0,1.2,3.0,2024-11-10,56,0,0,0,0,0,0,0,False,11,0,0,0,0,11,0,361446,1,0,3,4.0,1,16043,37559,21516,69,True,0,385,,,Marcus Rashford,0,0,0.0,59,AML,Manchester United,Leicester,3,0,26708,2024,687349,0.0,0,0,0,0.0,0.6091387271881104,0.6091387271881104,26708,Manchester United,Marcus Rashford,Marcus Rashford,MID
11,0,1,25,0,12.8,385,0.04,0.29,0.25,1.36,116,1,1,6.4,34.4,2024-11-24,67,0,0,0,0,0,0,0,False,10,0,0,0,0,12,0,365451,1,1,1,17.0,8,1402,35576,34174,69,False,0,385,,,Marcus Rashford,1,1,0.4450210332870483,71,FW,Ipswich,Manchester United,1,1,26718,2024,689268,0.0933732315897941,0,1,1,0.4450210332870483,0.5383942723274231,0.0,26718,Manchester United,Marcus Rashford,Marcus Rashford,MID
