assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5
0.0,0.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,0.02,11.0,0.0,0.0,0.2,2.0,2024-08-24,2.0,False,2.0,0.0,0.0,0.0,0.0,2.0,0.0,4193.0,0.0,2.0,0.0,0.0,1.0,-549.0,252.0,801.0,50.0,False,0.0,0.0,0.0,0.0,1.0,Aston Villa,Arsenal,0.0,2.0,26618.0,2024.0,668288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,4.0,4.0,2.0,1.5,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,1.7,10.0,0.01,0.09,0.08,0.33,35.0,1.0,0.0,3.7,7.6,2024-09-14,24.0,False,19.0,0.0,0.0,0.0,0.0,4.0,0.0,6761.0,0.0,1.0,1.0,28.0,0.0,1116.0,2483.0,1367.0,50.0,True,1.0,0.0,2.0,0.1506137549877166,23.0,Fulham,West Ham,1.0,1.0,26634.0,2024.0,673745.0,0.0,0.0,0.0,0.0,0.1506137549877166,0.7209787368774414,0.5703650116920471,Fulham,2.0,3.0,4.0,0.2,MID,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.2,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,4193.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.2,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,4193.0
0.0,1.0,27.0,0.0,12.0,10.0,0.05,0.36,0.31,0.3,44.0,0.0,1.0,7.1,38.0,2024-09-21,16.0,False,15.0,0.0,0.0,0.0,0.0,5.0,0.0,6967.0,0.0,1.0,3.0,21.0,7.0,66.0,738.0,672.0,50.0,True,0.0,1.0,1.0,0.399906188249588,15.0,Fulham,Newcastle United,3.0,1.0,26646.0,2024.0,675727.0,0.0751271471381187,0.0,1.0,1.0,0.399906188249588,0.4750333428382873,0.0,Fulham,3.0,3.0,5.0,1.5,MID,0.0,0.01,0.09,0.08,0.35,1.0,0.0,3.9,9.6,1.7,28.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,0.15,0.0,0.0,0.0,0.0,0.15,0.72,0.57,1.7,10954.0,0.0,0.01,0.09,0.08,0.35,1.0,0.0,3.9,9.6,1.7,28.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,0.15,0.0,0.0,0.0,0.0,0.15,0.72,0.57,1.7,10954.0
0.0,0.0,3.0,0.0,1.1,10.0,0.01,0.03,0.02,0.16,59.0,0.0,0.0,0.8,0.2,2024-09-28,21.0,False,16.0,0.0,0.0,0.0,0.0,6.0,0.0,10606.0,0.0,1.0,0.0,7.0,1.0,3092.0,3952.0,860.0,50.0,False,0.0,0.0,0.0,0.0,19.0,Nottingham Forest,Fulham,0.0,1.0,26653.0,2024.0,677804.0,0.0,0.0,0.0,0.0,0.0,0.0493445470929145,0.0493445470929145,Fulham,3.0,3.0,6.0,2.7,MID,0.0,0.06,0.45,0.39,0.63,1.0,1.0,10.8,45.6,13.7,49.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,7.0,1.0,3.0,0.55,0.08,0.0,1.0,1.0,0.55,1.2,0.57,1.7,13728.0,0.0,0.06,0.45,0.39,0.65,1.0,1.0,11.0,47.6,13.7,49.0,42.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,8.0,1.0,3.0,0.55,0.08,0.0,1.0,1.0,0.55,1.2,0.57,3.2,17921.0
1.0,0.0,15.0,0.0,11.5,10.0,0.17,0.17,0.0,0.23,69.0,1.0,0.0,3.0,16.2,2024-10-05,13.0,False,13.0,0.0,0.0,0.0,0.0,7.0,0.0,9947.0,0.0,2.0,3.0,2.0,4.0,-718.0,923.0,1641.0,50.0,False,0.0,0.0,0.0,0.0,12.0,Manchester City,Fulham,3.0,2.0,26664.0,2024.0,679479.0,0.3371158540248871,1.0,1.0,0.0,0.0,0.3371158540248871,0.3371158540248871,Fulham,3.0,4.0,7.0,2.0,MID,0.0,0.07,0.48,0.41,0.79,1.0,1.0,11.6,45.8,14.8,56.0,61.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,8.0,1.0,3.0,0.55,0.08,0.0,1.0,1.0,0.55,1.25,0.62,4.4,24334.0,0.0,0.07,0.48,0.41,0.81,1.0,1.0,11.8,47.8,14.8,56.0,63.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,9.0,1.0,3.0,0.55,0.08,0.0,1.0,1.0,0.55,1.25,0.62,5.9,28527.0
0.0,0.0,6.0,0.0,30.5,10.0,0.11,0.11,0.0,0.17,72.0,1.0,0.0,3.9,6.8,2024-10-19,22.0,False,2.0,0.0,0.0,0.0,0.0,8.0,0.0,11147.0,0.0,3.0,1.0,2.0,1.0,816.0,1670.0,854.0,50.0,True,0.0,0.0,0.0,0.0,18.0,Fulham,Aston Villa,1.0,3.0,26673.0,2024.0,681330.0,0.0367688871920108,0.0,2.0,0.0,0.0,0.5963118076324463,0.5963118076324463,Fulham,3.0,3.0,8.0,2.0,MID,0.0,0.23,0.56,0.33,0.69,1.0,1.0,10.9,54.4,24.6,30.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,12.0,1.0,1.0,0.4,0.41,1.0,2.0,1.0,0.4,0.86,0.39,6.2,27520.0,0.0,0.24,0.65,0.41,1.02,2.0,1.0,14.6,62.0,26.3,58.0,74.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,7.0,12.0,1.0,3.0,0.55,0.41,1.0,2.0,1.0,0.55,1.58,0.96,6.4,34281.0
0.0,0.0,6.0,0.0,16.3,10.0,0.04,0.04,0.0,0.45,87.0,1.0,0.0,2.6,5.4,2024-10-26,22.0,False,8.0,0.0,0.0,0.0,0.0,9.0,0.0,10876.0,0.0,1.0,1.0,4.0,1.0,-364.0,466.0,830.0,50.0,False,0.0,0.0,0.0,0.0,21.0,Everton,Fulham,1.0,1.0,26687.0,2024.0,683172.0,0.0791540443897247,0.0,1.0,0.0,0.0,0.0791540443897247,0.0,Fulham,3.0,3.0,9.0,2.0,MID,0.0,0.29,0.31,0.02,0.56,2.0,0.0,7.7,23.2,43.1,11.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,6.0,0.0,0.0,0.0,0.37,1.0,3.0,0.0,0.0,0.98,0.98,6.7,31700.0,0.0,0.35,0.76,0.41,1.19,3.0,1.0,18.5,68.8,56.8,60.0,96.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,8.0,13.0,1.0,3.0,0.55,0.45,1.0,4.0,1.0,0.55,2.18,1.55,8.4,45428.0
0.0,0.0,16.0,0.0,45.5,10.0,0.11,0.37,0.26,0.18,92.0,1.0,0.0,12.3,13.8,2024-11-04,81.0,False,4.0,0.0,0.0,0.0,0.0,10.0,0.0,10499.0,1.0,1.0,2.0,64.0,2.0,-546.0,549.0,1095.0,50.0,True,0.0,0.0,3.0,0.4515097141265869,84.0,Fulham,Brentford,2.0,1.0,26693.0,2024.0,686114.0,0.076109766960144,0.0,2.0,0.0,0.4515097141265869,0.5322964191436768,0.054206509143114,Fulham,2.0,3.0,10.0,1.3,MID,0.0,0.32,0.32,0.0,0.85,3.0,0.0,9.5,28.4,58.3,8.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,6.0,0.0,0.0,0.0,0.45,1.0,4.0,0.0,0.0,1.01,0.93,6.0,31970.0,0.0,0.38,0.71,0.33,1.31,3.0,1.0,17.4,66.6,71.4,36.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,14.0,1.0,1.0,0.4,0.53,1.0,5.0,1.0,0.4,1.54,0.98,10.2,49543.0
0.0,0.0,17.0,1.0,40.0,10.0,0.09,0.35,0.26,1.48,104.0,0.0,0.0,9.7,10.8,2024-11-09,81.0,False,7.0,0.0,0.0,0.0,0.0,11.0,0.0,10985.0,1.0,2.0,0.0,46.0,3.0,347.0,1250.0,903.0,50.0,False,0.0,0.0,4.0,0.3287477493286133,85.0,Crystal Palace,Fulham,0.0,2.0,26706.0,2024.0,686626.0,0.1252781152725219,0.0,3.0,0.0,0.3287477493286133,0.8745248317718506,0.4874163568019867,Fulham,3.0,3.0,11.0,2.0,MID,0.0,0.26,0.52,0.26,0.8,3.0,0.0,18.8,26.0,92.3,70.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,4.0,0.0,3.0,0.45,0.19,0.0,5.0,0.0,0.45,1.21,0.65,5.3,32522.0,0.0,0.44,0.72,0.28,1.19,4.0,0.0,22.6,42.4,104.9,79.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,9.0,0.0,3.0,0.45,0.53,1.0,6.0,0.0,0.45,1.59,1.04,10.0,53075.0
0.0,0.0,17.0,0.0,14.8,10.0,0.12,0.12,0.0,0.91,115.0,2.0,0.0,3.2,8.8,2024-11-23,70.0,False,20.0,0.0,0.0,0.0,0.0,12.0,0.0,11435.0,1.0,4.0,1.0,8.0,2.0,270.0,1322.0,1052.0,50.0,True,0.0,0.0,0.0,0.0,75.0,Fulham,Wolverhampton Wanderers,1.0,4.0,26717.0,2024.0,688399.0,0.0,0.0,0.0,0.0,0.0,0.4829918146133423,0.4829918146133423,Fulham,2.0,3.0,12.0,2.3,MID,1.0,0.24,0.76,0.52,2.11,2.0,0.0,24.6,30.0,101.8,114.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,6.0,0.0,7.0,0.78,0.28,0.0,6.0,0.0,0.78,1.49,0.54,5.3,32360.0,1.0,0.52,1.04,0.52,2.51,4.0,0.0,31.5,53.0,143.8,118.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,11.0,0.0,7.0,0.78,0.65,1.0,9.0,0.0,0.78,2.42,1.48,9.3,53454.0
