assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,team_h_difficulty,team_a_difficulty,event,xP,position
0,0,2,0,11.7,243,0.05,0.05,0.0,0.94,1,1,0,2.0,3.8,2024-08-16,26,0,0,0,0,0,0,0,False,14,0,0,0,0,1,0,3772,0,0,1,4.0,0,0,0,0,50,False,1,243,0,0,0.0,25,Manchester United,Fulham,1,0,26602,2024,666199,0.0,0,0,0,0.0,0.0,0.0,6835,Fulham,3,3,1,1.6,MID
0,0,0,0,0.7,243,0.0,0.0,0.0,0.27,15,0,0,0.4,2.8,2024-08-24,21,0,0,0,0,0,0,0,False,11,0,0,0,0,2,0,4007,0,1,2,0.0,0,-473,198,671,50,True,1,243,0,0,0.0,17,Fulham,Leicester,2,1,26614,2024,667958,0.0,0,0,0,0.0,0.2948282957077026,0.2948282957077026,6835,Fulham,1,3,2,0.5,MID
0,0,3,0,0.3,243,0.0,0.0,0.0,0.09,25,0,0,0.1,0.2,2024-08-31,3,0,0,0,0,0,0,0,False,10,0,0,0,0,3,0,3928,0,1,1,0.0,1,-350,462,812,49,False,0,243,0,0,0.0,1,Ipswich,Fulham,1,1,26625,2024,671809,0.0,0,0,0,0.0,0.0,0.0,6835,Fulham,3,2,3,0.8,MID
0,0,10,0,15.3,243,0.13,0.13,0.0,0.33,35,1,0,2.1,5.2,2024-09-14,17,0,0,0,0,0,0,0,False,19,0,0,0,0,4,0,3995,0,1,1,0.0,1,-131,552,683,49,True,0,243,0,0,0.0,16,Fulham,West Ham,1,1,26634,2024,673747,0.3561949729919433,0,1,0,0.0,0.3561949729919433,0.3561949729919433,6835,Fulham,2,3,4,0.7,MID
0,0,10,0,5.8,243,0.02,0.02,0.0,0.23,69,1,0,1.3,7.2,2024-10-05,25,0,0,0,0,0,0,0,False,13,0,0,0,0,7,0,3542,0,2,3,0.0,1,-208,80,288,49,False,0,243,0,0,0.0,24,Manchester City,Fulham,3,2,26664,2024,679481,0.0,0,0,0,0.0,0.4507481157779693,0.4507481157779693,6835,Fulham,3,4,7,-0.5,MID
0,0,9,0,15.8,243,0.31,0.31,0.0,0.06,72,0,0,2.2,6.4,2024-10-19,10,0,0,0,0,0,0,0,False,2,0,0,0,0,8,0,3563,0,3,1,0.0,1,-62,142,204,48,True,0,243,0,0,0.0,6,Fulham,Aston Villa,1,3,26673,2024,681331,0.5963118076324463,0,1,0,0.0,0.5963118076324463,0.5963118076324463,6835,Fulham,3,3,8,0.7,MID
0,0,4,0,16.3,243,0.03,0.03,0.0,0.41,92,0,0,1.9,3.0,2024-11-04,8,0,0,0,0,0,0,0,False,4,0,0,0,0,10,0,3609,0,1,2,0.0,1,-41,157,198,48,True,0,243,0,0,0.0,6,Fulham,Brentford,2,1,26693,2024,686119,0.0289849881082773,0,1,0,0.0,0.2440167069435119,0.2440167069435119,6835,Fulham,3,3,10,0.7,MID
0,0,3,0,4.0,243,0.01,0.01,0.0,0.04,104,0,0,0.7,3.0,2024-11-09,7,0,0,0,0,0,0,0,False,7,0,0,0,0,11,0,3572,0,2,0,0.0,1,-80,104,184,48,False,0,243,0,0,0.0,4,Crystal Palace,Fulham,0,2,26706,2024,686631,0.0,0,0,0,0.0,0.5460522770881653,0.5460522770881653,6835,Fulham,3,3,11,0.7,MID
0,0,7,0,15.1,243,0.08,0.08,0.0,0.56,115,2,0,2.6,7.0,2024-11-23,31,0,0,0,0,0,0,0,False,20,0,0,0,0,12,0,3541,0,4,1,4.0,1,-65,139,204,48,True,0,243,0,0,0.0,27,Fulham,Wolverhampton Wanderers,1,4,26717,2024,688404,0.0373185575008392,0,1,0,0.0,0.0790644139051437,0.0790644139051437,6835,Fulham,3,3,12,1.0,MID
0,0,13,0,4.9,243,0.02,0.05,0.03,0.11,128,0,1,5.5,32.8,2024-12-01,21,0,0,0,0,0,0,0,False,18,0,0,0,1,13,0,3460,0,1,1,17.0,3,-95,51,146,48,False,0,243,1,1,0.032559584826231,21,Tottenham,Fulham,1,1,26729,2024,690640,0.0,0,0,1,0.032559584826231,0.0532244183123111,0.0206648353487253,6835,Fulham,3,3,13,1.0,MID
