AM_names,AM_odds,contest
Mike Tresor AM,7 - 10,Burnley v Fulham
Jaidon Anthony AM,5 - 8,Burnley v Fulham
Marcus Edwards AM,5 - 8,Burnley v Fulham
Oliver Sonne AM,5 - 8,Burnley v Fulham
Jacob Bruun Larsen AM,4 - 7,Burnley v Fulham
Quilindschy Hartman AM,4 - 7,Burnley v Fulham
Lyle Foster AM,4 - 7,Burnley v Fulham
Zian Flemming AM,2.5 - 5,Burnley v Fulham
Armando Broja AM,1 - 3,Burnley v Fulham
Lesley Ugochukwu AM,1 - 3,Burnley v Fulham
Kevin AM,9 - 12,Burnley v Fulham
Samuel Chukwueze AM,9 - 12,Burnley v Fulham
Alex Iwobi AM,8 - 11,Burnley v Fulham
Harry Wilson AM,5 - 8,Burnley v Fulham
Emile Smith Rowe AM,4 - 7,Burnley v Fulham
Timothy Castagne AM,4 - 7,Burnley v Fulham
Raul Jimenez AM,3 - 6,Burnley v Fulham
Joshua King AM,3 - 6,Burnley v Fulham
Kenny Tete AM,2 - 4,Burnley v Fulham
Bukayo Saka AM,24 - 27,Arsenal v Wolves
Martin Odegaard AM,19 - 22,Arsenal v Wolves
Eberechi Eze AM,18 - 21,Arsenal v Wolves
Declan Rice AM,17 - 20,Arsenal v Wolves
Gabriel Martinelli AM,13 - 16,Arsenal v Wolves
Noni Madueke AM,13 - 16,Arsenal v Wolves
Leandro Trossard AM,11 - 14,Arsenal v Wolves
Mikel Merino AM,10 - 13,Arsenal v Wolves
Ethan Nwaneri AM,9 - 12,Arsenal v Wolves
Viktor Gyokeres AM,8 - 11,Arsenal v Wolves
Martin Zubimendi AM,6 - 9,Arsenal v Wolves
Ben White AM,6 - 9,Arsenal v Wolves
Piero Hincapie AM,3 - 6,Arsenal v Wolves
Myles Lewis-Skelly AM,3 - 6,Arsenal v Wolves
Jurrien Timber AM,3 - 6,Arsenal v Wolves
Christian Norgaard AM,2.5 - 5,Arsenal v Wolves
Jhon Arias AM,2.5 - 5,Arsenal v Wolves
Jackson Tchatchoua AM,2 - 4,Arsenal v Wolves
Ki-Jana Hoever AM,2 - 4,Arsenal v Wolves
Hugo Bueno AM,2 - 4,Arsenal v Wolves
David Moller Wolfe AM,1 - 3,Arsenal v Wolves
Jean-Ricner Bellegarde AM,1 - 3,Arsenal v Wolves
Jorgen Strand Larsen AM,1 - 3,Arsenal v Wolves
Joao Gomes AM,0.5 - 2,Arsenal v Wolves
