AM_names,AM_odds,contest
Boubacar Kamara AM,2.5 - 5,Aston Villa v Arsenal
Morgan Rogers AM,4 - 7,Aston Villa v Arsenal
Emiliano Buendia AM,4 - 7,Aston Villa v Arsenal
Evann Guessand AM,3 - 6,Aston Villa v Arsenal
Matty Cash AM,2.5 - 5,Aston Villa v Arsenal
Lucas Digne AM,3 - 6,Aston Villa v Arsenal
Ian Maatsen AM,2.5 - 5,Aston Villa v Arsenal
Youri Tielemans AM,3 - 6,Aston Villa v Arsenal
Ollie Watkins AM,2.5 - 5,Aston Villa v Arsenal
John McGinn AM,3 - 6,Aston Villa v Arsenal
Amadou Onana AM,1 - 3,Aston Villa v Arsenal
Ezri Konsa AM,0.1 - 1,Aston Villa v Arsenal
Bukayo Saka AM,11 - 14,Aston Villa v Arsenal
Declan Rice AM,10 - 13,Aston Villa v Arsenal
Martin Odegaard AM,8 - 11,Aston Villa v Arsenal
Eberechi Eze AM,7 - 10,Aston Villa v Arsenal
Gabriel Martinelli AM,6 - 9,Aston Villa v Arsenal
Mikel Merino AM,4 - 7,Aston Villa v Arsenal
Noni Madueke AM,6 - 9,Aston Villa v Arsenal
Riccardo Calafiori AM,1 - 3,Aston Villa v Arsenal
Viktor Gyokeres AM,5 - 8,Aston Villa v Arsenal
Martin Zubimendi AM,2.5 - 5,Aston Villa v Arsenal
Ben White AM,2.5 - 5,Aston Villa v Arsenal
Jurrien Timber AM,2 - 4,Aston Villa v Arsenal
Piero Hincapie AM,2.5 - 5,Aston Villa v Arsenal
Rayan Cherki AM,28 - 31,Man City v Sunderland
Jeremy Doku AM,20 - 23,Man City v Sunderland
Savinho AM,18 - 21,Man City v Sunderland
Phil Foden AM,17 - 20,Man City v Sunderland
Omar Marmoush AM,16 - 19,Man City v Sunderland
Bernardo Silva AM,11 - 14,Man City v Sunderland
Rayan Ait-Nouri AM,10 - 13,Man City v Sunderland
Rico Lewis AM,7 - 10,Man City v Sunderland
Tijjani Reijnders AM,7 - 10,Man City v Sunderland
Matheus Nunes AM,7 - 10,Man City v Sunderland
Nico O'Reilly AM,6 - 9,Man City v Sunderland
Erling Haaland AM,5 - 8,Man City v Sunderland
Josko Gvardiol AM,2.5 - 5,Man City v Sunderland
Nico Gonzalez AM,2 - 4,Man City v Sunderland
Nathan Ake AM,1 - 3,Man City v Sunderland
Abdukodir Khusanov AM,1 - 3,Man City v Sunderland
Ruben Dias AM,1 - 3,Man City v Sunderland
John Stones AM,0.5 - 2,Man City v Sunderland
Trai Hume AM,4 - 7,Man City v Sunderland
Enzo Le Fee AM,3 - 6,Man City v Sunderland
Bertrand Traore AM,2.5 - 5,Man City v Sunderland
Nordi Mukiele AM,2.5 - 5,Man City v Sunderland
Brian Brobbey AM,2 - 4,Man City v Sunderland
Chemsdine Talbi AM,2 - 4,Man City v Sunderland
Granit Xhaka AM,2 - 4,Man City v Sunderland
Noah Sadiki AM,1 - 3,Man City v Sunderland
Wilson Isidor AM,1 - 3,Man City v Sunderland
Lutsharel Geertruida AM,0.5 - 2,Man City v Sunderland
Omar Alderete AM,0.25 - 1.5,Man City v Sunderland
Daniel Ballard AM,0.25 - 1.5,Man City v Sunderland
Reinildo Mandava AM,0.25 - 1.5,Man City v Sunderland
