assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,position,team_h_difficulty,team_a_difficulty,event
0,0,2,0,0.0,709,0.0,0.0,0.0,0.01,54,0,0,0.0,0.0,2023-09-23,1,6,0,0,0,0,6,0,3299,0,1,0,0.0,1,97,745,648,50,False,0,709,,,Sofyan Amrabat,0,0,0.0,1,Sub,Burnley,Manchester United,0,1,21950,2023,612542,0.0,0,0,0,0.0,0.0,0.0,21950,Manchester United,Sofyan Amrabat,Sofyan Amrabat,MID,3,2,6
0,0,5,0,6.2,709,0.04,0.04,0.0,0.81,65,1,0,3.0,23.6,2023-09-30,90,8,0,0,0,0,7,0,14517,1,1,0,0.0,1,9371,10373,1002,50,True,1,709,,,Sofyan Amrabat,0,0,0.0,90,DL,Manchester United,Crystal Palace,0,1,21957,2023,614632,0.0,0,0,0,0.0,0.2513479590415954,0.2513479590415954,21957,Manchester United,Sofyan Amrabat,Sofyan Amrabat,MID,2,4,7
0,0,14,0,39.6,709,0.12,0.12,0.0,0.95,78,1,0,5.4,12.4,2023-10-07,86,4,0,0,0,0,8,0,17275,1,1,2,2.0,2,2196,5479,3283,50,True,0,709,,,Sofyan Amrabat,0,0,0.0,89,DMC,Manchester United,Brentford,2,1,21972,2023,616467,0.0888795778155326,0,3,0,0.0,0.3811895251274109,0.3729386925697326,21972,Manchester United,Sofyan Amrabat,Sofyan Amrabat,MID,2,4,8
0,0,13,0,2.4,709,0.02,0.04,0.02,1.38,89,1,0,2.0,16.2,2023-10-21,90,17,0,0,0,0,9,0,18516,1,2,1,1.0,2,597,3930,3333,50,False,0,709,,,Sofyan Amrabat,0,1,0.0215761195868253,90,DMC,Sheffield United,Manchester United,1,2,21983,2023,618481,0.0,0,0,0,0.0215761195868253,0.0191173274070024,0.0191173274070024,21983,Manchester United,Sofyan Amrabat,Sofyan Amrabat,MID,3,2,9
0,0,-1,0,0.3,709,0.0,0.0,0.0,1.54,98,1,0,0.8,7.6,2023-10-29,45,13,0,0,0,0,10,0,17883,1,3,0,0.0,0,-965,2290,3255,50,True,1,709,,,Sofyan Amrabat,0,0,0.0,50,DMC,Manchester United,Manchester City,0,3,21992,2023,620725,0.0,0,0,0,0.0,0.0,0.0,21992,Manchester United,Sofyan Amrabat,Sofyan Amrabat,MID,5,4,10
0,0,4,0,0.0,709,0.0,0.0,0.0,1.14,123,0,0,0.3,3.0,2023-11-26,18,9,0,0,0,0,13,0,14466,0,3,0,0.0,1,-1457,746,2203,50,False,0,709,,,Sofyan Amrabat,0,0,0.0,16,Sub,Everton,Manchester United,0,3,22017,2023,625817,0.0,0,0,0,0.0,0.0,0.0,22017,Manchester United,Sofyan Amrabat,Sofyan Amrabat,MID,3,2,13
0,0,0,0,0.5,709,0.0,0.03,0.03,0.0,138,0,0,0.3,1.6,2023-12-02,10,15,0,0,0,0,14,0,13715,0,0,1,1.0,1,-964,542,1506,50,False,0,709,,,Sofyan Amrabat,0,1,0.0360558964312076,9,Sub,Newcastle United,Manchester United,1,0,22032,2023,626957,0.0,0,0,0,0.0360558964312076,0.0360558964312076,0.0,22032,Manchester United,Sofyan Amrabat,Sofyan Amrabat,MID,3,4,14
0,0,21,0,12.5,709,0.02,0.02,0.0,1.4,150,1,0,2.2,9.6,2023-12-06,90,7,0,0,0,0,15,0,13198,1,1,2,0.0,2,-633,316,949,50,True,0,709,,,Sofyan Amrabat,0,0,0.0,90,DMC,Manchester United,Chelsea,2,1,22044,2023,628087,0.0639756619930267,0,1,0,0.0,0.6585694551467896,0.5945937633514404,22044,Manchester United,Sofyan Amrabat,Sofyan Amrabat,MID,3,4,15
0,0,16,0,3.7,709,0.03,0.03,0.0,1.48,157,3,0,1.9,14.8,2023-12-09,90,3,0,0,0,0,16,0,13513,1,3,0,0.0,2,58,868,810,50,True,0,709,,,Sofyan Amrabat,0,0,0.0,90,DMC,Manchester United,Bournemouth,0,3,22051,2023,628727,0.0,0,0,0,0.0,0.1348874419927597,0.1348874419927597,22051,Manchester United,Sofyan Amrabat,Sofyan Amrabat,MID,2,4,16
0,0,2,1,0.6,709,0.0,0.0,0.0,2.35,166,0,0,1.2,11.2,2023-12-17,90,11,0,0,0,0,17,0,13271,1,0,0,0.0,2,-487,563,1050,50,False,1,709,,,Sofyan Amrabat,0,0,0.0,90,DMC,Liverpool,Manchester United,0,0,22060,2023,631119,0.0,0,0,0,0.0,0.0412033125758171,0.0412033125758171,22060,Manchester United,Sofyan Amrabat,Sofyan Amrabat,MID,3,5,17
