assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team
0,0,0,8,0,4.8,359,0.01,0.01,0.0,0.87,25,1,0,0.9,4.6,2024-08-31,69,False,9,0,0,0,0,3,0,8123,1,1,1,0.0,2,-715,490,1205,50,True,0,0,0,0.0,72,DMC,Ipswich,Fulham,1,1,26625,2024,671786,0.0,0,0,0,0.0,0.0,0.0,Ipswich
1,0,0,8,1,14.8,359,0.03,0.03,0.0,1.66,33,0,0,3.1,15.8,2024-09-14,90,False,5,0,0,0,0,4,0,8378,1,0,0,0.0,2,-296,753,1049,50,False,1,0,0,0.0,90,DMC,Brighton,Ipswich,0,0,26633,2024,673662,0.0180300530046224,0,1,0,0.0,0.0231480505317449,0.0231480505317449,Ipswich
2,0,0,18,0,2.8,359,0.02,0.04,0.02,0.67,56,2,0,2.3,13.6,2024-09-29,68,False,2,0,0,0,0,6,0,7253,1,2,2,7.0,2,-1390,74,1464,50,True,0,0,1,0.0185753908008337,72,DMC,Ipswich,Aston Villa,2,2,26659,2024,678365,0.0,0,0,0,0.0185753908008337,0.1763113290071487,0.1763113290071487,Ipswich
3,0,0,10,0,1.7,359,0.02,0.05,0.03,3.62,70,4,0,1.0,6.8,2024-10-05,73,False,19,0,0,0,0,7,0,7458,1,1,4,1.0,2,8,624,616,49,False,0,0,1,0.0218622460961341,77,DMC,West Ham,Ipswich,4,1,26665,2024,679504,0.0,0,0,0,0.0218622460961341,0.3929031789302826,0.3710409104824066,Ipswich
4,0,0,12,0,18.5,359,0.12,0.26,0.14,1.17,73,2,0,2.5,3.6,2024-10-19,70,False,8,0,0,0,0,8,0,7651,1,2,0,3.0,2,37,451,414,49,True,0,0,1,0.0840629637241363,77,DMC,Ipswich,Everton,0,2,26674,2024,681418,0.0767478197813034,0,1,0,0.0840629637241363,0.3734568059444427,0.3734568059444427,Ipswich
5,0,0,13,0,6.6,359,0.01,0.01,0.0,4.11,83,4,0,3.1,24.0,2024-10-26,90,False,4,0,0,0,0,9,0,7593,1,3,4,0.0,2,-140,262,402,49,False,0,0,0,0.0,90,DMC,Brentford,Ipswich,4,3,26685,2024,683010,0.0,0,0,0,0.0,0.4651331305503845,0.4651331305503845,Ipswich
6,0,0,0,0,6.5,359,0.01,0.13,0.12,0.39,93,1,0,1.8,0.0,2024-11-02,76,False,11,0,0,0,1,10,0,7982,1,1,1,14.0,-1,251,755,504,49,True,0,0,3,0.1913090646266937,79,DMC,Ipswich,Leicester,1,1,26695,2024,684997,0.0,0,0,0,0.1913090646266937,0.137457937002182,0.0653064548969268,Ipswich
7,0,0,5,0,1.3,359,0.01,0.01,0.0,0.09,166,0,0,0.6,4.2,2024-12-21,28,False,15,0,0,0,0,17,0,6001,0,4,0,0.0,1,-89,96,185,48,True,0,0,0,0.0,23,Sub,Ipswich,Newcastle United,0,4,26771,2024,695334,0.0,0,0,0,0.0,0.0,0.0,Ipswich
8,0,0,17,0,6.4,359,0.02,0.04,0.02,1.94,171,1,0,2.5,16.6,2024-12-27,90,False,1,0,0,0,0,18,0,5934,1,0,1,2.0,2,-92,91,183,48,False,0,0,1,0.0155161684378981,90,MC,Arsenal,Ipswich,1,0,26773,2024,696416,0.0,0,0,0,0.0155161684378981,0.078332744538784,0.0628165751695633,Ipswich
9,0,0,3,0,0.2,359,0.0,0.0,0.0,0.15,186,0,0,0.1,0.4,2024-12-30,13,False,6,0,0,0,0,19,0,5958,0,0,2,0.0,1,-15,153,168,48,True,0,0,0,0.0,8,Sub,Ipswich,Chelsea,2,0,26787,2024,696901,0.0,0,0,0,0.0,0.0,0.0,Ipswich
10,0,0,2,0,0.2,359,0.0,0.0,0.0,0.86,195,1,0,0.0,0.0,2025-01-05,17,False,9,0,0,0,0,20,0,6073,0,2,2,0.0,1,59,240,181,48,False,0,0,0,0.0,17,Sub,Fulham,Ipswich,2,2,26796,2024,697549,0.0,0,0,0,0.0,0.0,0.0,Ipswich
