assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team
0,0,0,11,1,1.3,410,0.01,0.01,0.0,1.77,5,0,0,1.5,9.4,2024-08-17,90,False,17,0,0,0,0,1,0,103817,1,0,1,4.0,3,0,0,0,50,True,0,0,0,0.0,90,MC,Newcastle United,Southampton,1,0,26606,2024,666362,0.0,0,0,0,0.0,0.0,0.0,Newcastle United
1,0,0,17,0,12.7,410,0.01,0.01,0.0,1.81,12,1,0,1.9,3.8,2024-08-25,69,False,3,0,0,0,0,2,0,105177,1,1,1,2.0,2,-3389,5548,8937,50,False,0,0,0,0.0,73,MC,Bournemouth,Newcastle United,1,1,26620,2024,668723,0.0244401078671216,0,1,0,0.0,0.0,0.0,Newcastle United
2,0,0,6,0,0.9,410,0.0,0.0,0.0,0.99,28,1,0,1.7,16.2,2024-09-01,67,False,18,0,0,0,0,3,0,90362,1,1,2,0.0,1,-15506,2839,18345,50,True,1,0,0,0.0,73,MC,Newcastle United,Tottenham,2,1,26629,2024,672462,0.0,0,0,0,0.0,0.1008209735155105,0.1008209735155105,Newcastle United
3,0,0,2,0,3.3,410,0.01,0.01,0.0,0.63,40,1,0,0.3,0.0,2024-09-15,45,False,20,0,0,0,0,4,0,86708,1,2,1,0.0,1,-5917,12296,18213,49,False,0,0,0,0.0,48,MC,Wolverhampton Wanderers,Newcastle United,1,2,26641,2024,674633,0.0,0,0,0,0.0,0.0,0.0,Newcastle United
4,0,0,4,0,0.0,410,0.0,0.21,0.21,0.24,58,0,0,0.5,1.2,2024-09-28,12,False,13,0,0,0,0,6,0,67368,0,1,1,4.0,1,-13122,2019,15141,48,True,0,0,1,0.0970475748181343,12,Sub,Newcastle United,Manchester City,1,1,26652,2024,677444,0.0,0,0,0,0.0970475748181343,0.0970475748181343,0.0,Newcastle United
5,0,0,3,0,1.6,410,0.01,0.01,0.0,0.04,67,0,0,0.7,3.2,2024-10-05,19,False,8,0,0,0,0,7,0,62274,0,0,0,2.0,1,-5641,2683,8324,48,False,0,0,0,0.0,13,Sub,Everton,Newcastle United,0,0,26669,2024,679754,0.0,0,0,0,0.0,0.2560266852378845,0.2560266852378845,Newcastle United
6,0,0,3,0,0.5,410,0.0,0.0,0.0,0.22,76,0,0,0.1,0.8,2024-10-19,5,False,5,0,0,0,0,8,0,57856,0,1,0,0.0,1,-4668,1374,6042,47,True,0,0,0,0.0,4,Sub,Newcastle United,Brighton,0,1,26676,2024,681364,0.0,0,0,0,0.0,0.0,0.0,Newcastle United
7,0,0,1,0,0.6,410,0.0,0.0,0.0,0.41,85,0,0,0.9,6.0,2024-10-27,22,False,6,0,0,0,0,9,0,56702,0,1,2,2.0,0,-1543,2765,4308,47,False,1,0,0,0.0,15,Sub,Chelsea,Newcastle United,2,1,26688,2024,683537,0.0,0,0,0,0.0,0.3166383802890777,0.3166383802890777,Newcastle United
8,0,0,6,1,1.8,410,0.01,0.03,0.02,1.05,96,0,0,2.5,12.4,2024-11-02,90,False,1,0,0,0,0,10,0,54397,1,0,1,11.0,3,-2519,2924,5443,47,True,0,0,1,0.0643293783068656,90,MC,Newcastle United,Arsenal,1,0,26694,2024,684659,0.0,0,0,0,0.0643293783068656,0.5802618861198425,0.5159325003623962,Newcastle United
9,1,0,20,0,20.8,410,0.13,0.35,0.22,0.63,107,1,0,4.5,14.2,2024-11-10,90,False,16,0,0,0,0,11,0,56267,1,3,1,10.0,5,1430,5233,3803,47,False,0,0,1,0.0862769559025764,90,MC,Nottingham Forest,Newcastle United,1,3,26704,2024,687333,0.0681161284446716,0,1,0,0.0862769559025764,0.0827258005738258,0.0827258005738258,Newcastle United
10,0,0,4,0,2.8,410,0.01,0.09,0.08,0.33,119,2,0,3.6,14.0,2024-11-25,56,False,19,0,0,0,0,12,0,62979,1,2,0,19.0,1,5929,9773,3844,47,True,0,0,1,0.042582381516695,60,MC,Newcastle United,West Ham,0,2,26713,2024,689557,0.0,0,0,0,0.042582381516695,0.1516808569431305,0.1090984791517257,Newcastle United
11,0,0,3,0,0.7,410,0.0,0.0,0.0,0.15,124,1,0,0.1,0.6,2024-11-30,15,False,7,0,0,0,0,13,0,62616,0,1,1,0.0,1,-55,4371,4426,47,False,0,0,0,0.0,10,Sub,Crystal Palace,Newcastle United,1,1,26725,2024,690109,0.0,0,0,0,0.0,0.0,0.0,Newcastle United
12,0,0,3,0,0.0,410,0.0,0.0,0.0,0.08,139,0,0,0.2,2.0,2024-12-04,3,False,12,0,0,0,0,14,0,62532,0,3,3,0.0,1,-338,5663,6001,47,True,0,0,0,0.0,1,Sub,Newcastle United,Liverpool,3,3,26740,2024,691431,0.0,0,0,0,0.0,0.0,0.0,Newcastle United
13,0,0,10,0,13.3,410,0.02,0.09,0.07,0.57,142,3,0,2.1,2.0,2024-12-07,72,False,4,0,0,0,0,15,0,61415,1,2,4,6.0,2,-1198,3866,5064,47,False,0,0,2,0.1163094639778137,76,MC,Brentford,Newcastle United,4,2,26743,2024,692239,0.0524246133863925,0,1,0,0.1163094639778137,0.5793262720108032,0.4105921983718872,Newcastle United
14,0,0,4,0,11.6,410,0.01,0.01,0.0,0.0,157,0,0,3.0,4.6,2024-12-14,26,False,11,0,0,0,0,16,0,61777,0,0,4,14.0,1,-37,4642,4679,47,True,0,0,0,0.0,23,Sub,Newcastle United,Leicester,4,0,26760,2024,693644,0.0636876672506332,0,1,0,0.0,0.0,0.0,Newcastle United
15,0,0,4,0,3.3,410,0.0,0.0,0.0,0.17,166,0,0,0.7,1.4,2024-12-21,26,False,10,0,0,0,0,17,0,58528,0,4,0,2.0,1,-3192,1831,5023,47,False,0,0,0,0.0,21,Sub,Ipswich,Newcastle United,0,4,26771,2024,695352,0.0,0,0,0,0.0,0.0,0.0,Newcastle United
16,0,0,3,0,0.3,410,0.0,0.0,0.0,0.17,199,0,0,0.1,0.2,2025-01-04,4,False,18,0,0,0,0,20,0,49722,0,2,1,0.0,1,-1853,2168,4021,46,False,0,0,0,0.0,1,Sub,Tottenham,Newcastle United,1,2,26800,2024,697130,0.0,0,0,0,0.0,0.0,0.0,Newcastle United
