assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team
0,0,0,3,0,0.5,375,0.01,0.01,0.0,0.14,43,0,0,0.5,0.0,2024-09-21,14,False,7,0,0,0,0,5,0,35760,0,0,0,4.0,1,-554,2004,2558,69,False,0,0,0,0.0,14,Sub,Crystal Palace,Manchester United,0,0,26649,2024,675953,0.0,0,0,0,0.0,0.0,0.0,Manchester United
1,0,0,2,0,0.3,375,0.01,0.01,0.0,1.73,57,1,0,0.0,0.0,2024-09-29,17,False,18,0,0,0,0,6,0,45291,0,3,0,0.0,1,6808,9198,2390,69,True,0,0,0,0.0,12,Sub,Manchester United,Tottenham,0,3,26660,2024,678655,0.0,0,0,0,0.0,0.0,0.0,Manchester United
2,0,0,4,1,2.5,375,0.0,0.0,0.0,0.28,62,0,0,0.1,0.0,2024-10-06,63,False,2,0,0,0,0,7,0,59357,1,0,0,0.0,2,10549,14654,4105,69,False,0,0,0,0.0,67,FW,Aston Villa,Manchester United,0,0,26670,2024,680097,0.0,0,0,0,0.0,0.0,0.0,Manchester United
3,0,2,35,0,14.3,375,0.01,0.43,0.42,0.7,75,1,1,7.7,35.0,2024-10-19,73,False,4,0,0,0,0,8,0,79484,1,1,2,28.0,8,15363,20439,5076,69,True,0,1,2,0.3540440201759338,81,FW,Manchester United,Brentford,2,1,26675,2024,681298,0.0339670218527317,0,1,1,0.3540440201759338,0.7608604431152344,0.3728494048118591,Manchester United
4,0,0,7,0,15.2,375,0.02,0.46,0.44,2.98,90,2,0,5.5,11.6,2024-10-27,90,False,19,0,0,0,0,9,0,120217,1,1,2,28.0,2,36395,42087,5692,69,False,0,0,2,0.5521127581596375,90,FW,West Ham,Manchester United,2,1,26690,2024,683474,0.0194434914737939,0,1,0,0.5521127581596375,0.7175254821777344,0.1459692120552063,Manchester United
5,1,0,17,0,27.5,375,0.02,0.02,0.0,1.08,95,1,0,3.7,5.4,2024-11-03,83,False,6,0,0,0,0,10,0,125418,1,1,1,4.0,5,3876,18995,15119,69,True,0,0,0,0.0,86,FW,Manchester United,Chelsea,1,1,26697,2024,685865,0.1037421077489852,0,2,0,0.0,0.1037421077489852,0.0,Manchester United
6,0,0,2,1,2.4,375,0.02,0.09,0.07,0.77,106,0,0,0.5,0.0,2024-11-10,74,False,11,0,0,0,0,11,0,186289,1,0,3,4.0,2,54561,65069,10508,69,True,0,0,1,0.1018477380275726,77,FW,Manchester United,Leicester,3,0,26708,2024,687350,0.0,0,0,0,0.1018477380275726,0.1555991470813751,0.0537514090538024,Manchester United
7,0,0,4,0,11.5,375,0.08,0.08,0.0,0.23,116,0,0,1.8,2.0,2024-11-24,22,False,10,0,0,0,0,12,0,195914,0,1,1,4.0,1,8708,33234,24526,69,False,0,0,0,0.0,19,Sub,Ipswich,Manchester United,1,1,26718,2024,689269,0.0325719565153121,0,1,0,0.0,0.0325719565153121,0.0,Manchester United
8,0,0,5,0,1.5,375,0.0,0.0,0.0,1.65,131,2,0,0.1,0.0,2024-12-04,78,False,1,0,0,0,0,14,0,161615,1,0,2,0.0,2,-29305,14583,43888,69,False,0,0,0,0.0,80,FW,Arsenal,Manchester United,2,0,26733,2024,691532,0.0,0,0,0,0.0,0.0,0.0,Manchester United
9,0,2,32,0,3.5,375,0.02,0.73,0.71,0.83,148,3,1,6.5,35.4,2024-12-07,90,False,16,0,0,0,0,15,0,156196,1,3,2,26.0,8,-8225,12510,20735,69,True,0,1,2,0.5554801225662231,90,FW,Manchester United,Nottingham Forest,2,3,26744,2024,692384,0.0,0,0,1,0.5554801225662231,0.6298927068710327,0.0744125992059707,Manchester United
