assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team
0,1,0,11,0,13.4,211,0.02,0.02,0.0,1.59,8,2,0,3.2,12.2,2024-08-18,90,False,4,0,0,0,0,1,0,387466,1,1,2,6.0,4,0,0,0,50,False,0,0,0,0.0,90,DMR,Brentford,Crystal Palace,2,1,26609,2024,666813,0.0322997756302356,0,1,0,0.0,0.1558635681867599,0.1235637962818145,Crystal Palace
1,0,0,9,0,4.2,211,0.02,0.02,0.0,1.39,14,2,0,2.0,11.8,2024-08-24,90,False,19,0,0,0,0,2,0,434799,1,2,0,4.0,1,14558,36687,22129,50,True,0,0,0,0.0,90,DMR,Crystal Palace,West Ham,0,2,26613,2024,667919,0.0,0,0,0,0.0,0.4664818048477173,0.4664818048477173,Crystal Palace
2,0,0,2,0,16.3,211,0.26,0.26,0.0,2.27,23,1,0,3.8,15.8,2024-09-01,90,False,6,0,0,0,0,3,0,373102,1,1,1,6.0,1,-63191,10030,73221,50,False,1,0,0,0.0,90,DMR,Chelsea,Crystal Palace,1,1,26630,2024,672445,0.0603619180619716,0,1,0,0.0,0.1550492942333221,0.0946873724460601,Crystal Palace
3,0,0,4,0,25.2,211,0.02,0.17,0.15,1.22,34,2,0,5.9,19.6,2024-09-14,80,False,11,0,0,0,0,4,0,351199,1,2,2,14.0,1,-31170,31164,62334,50,True,0,0,2,0.345882385969162,84,DMR,Crystal Palace,Leicester,2,2,26636,2024,673707,0.0884019061923027,0,2,0,0.345882385969162,1.1698249578475952,0.7593806982040405,Crystal Palace
4,0,0,23,1,15.3,211,0.01,0.01,0.0,1.7,43,0,0,3.3,18.0,2024-09-21,90,False,14,0,0,0,0,5,0,308579,1,0,0,0.0,6,-42732,3003,45735,49,True,0,0,0,0.0,90,DMR,Crystal Palace,Manchester United,0,0,26649,2024,675931,0.0204666219651699,0,1,0,0.0,0.4755572080612182,0.4755572080612182,Crystal Palace
5,0,0,12,0,14.2,211,0.07,0.25,0.18,0.89,55,2,0,6.8,15.2,2024-09-28,90,False,8,0,0,0,0,6,0,267332,1,1,2,39.0,1,-44475,7075,51550,49,False,0,0,2,0.151110291481018,90,DMR,Everton,Crystal Palace,2,1,26654,2024,677823,0.0268411040306091,0,1,0,0.151110291481018,0.0386179462075233,0.0386179462075233,Crystal Palace
6,0,0,2,0,0.0,211,0.0,0.0,0.0,0.25,66,1,0,0.8,4.0,2024-10-05,16,False,12,0,0,0,0,7,0,231881,1,1,0,4.0,1,-36099,2856,38955,49,True,0,0,0,0.0,16,DMR,Crystal Palace,Liverpool,0,1,26662,2024,679175,0.0,0,0,0,0.0,0.0,0.0,Crystal Palace
7,0,0,12,0,31.2,211,0.08,0.08,0.0,1.62,77,1,0,5.5,23.4,2024-10-21,90,False,16,0,0,0,0,8,0,193955,1,0,1,0.0,1,-38547,569,39116,48,False,1,0,0,0.0,90,DMR,Nottingham Forest,Crystal Palace,1,0,26677,2024,682454,0.1163275986909866,0,2,0,0.0,0.4464900493621826,0.3301624357700348,Crystal Palace
8,0,0,15,1,15.9,211,0.11,0.17,0.06,0.72,86,0,0,5.2,22.0,2024-10-27,90,False,18,0,0,0,0,9,0,179547,1,0,1,14.0,5,-15073,648,15721,48,True,1,0,2,0.0730407163500785,90,DMR,Crystal Palace,Tottenham,1,0,26689,2024,683482,0.0559440180659294,0,1,0,0.0730407163500785,0.525019645690918,0.5052253007888794,Crystal Palace
9,1,0,4,0,12.7,211,0.01,0.39,0.38,1.53,100,2,0,4.6,20.4,2024-11-02,90,False,20,0,0,0,0,10,0,182647,1,2,2,13.0,3,875,8610,7735,48,False,1,0,2,0.4597976505756378,90,DMR,Wolverhampton Wanderers,Crystal Palace,2,2,26701,2024,685252,0.8746023774147034,1,1,0,0.4597976505756378,0.465119332075119,0.0672827512025833,Crystal Palace
10,0,0,7,0,11.4,211,0.0,0.52,0.52,1.83,104,2,0,7.2,22.2,2024-11-09,88,False,9,0,0,0,0,11,0,184697,1,2,0,38.0,1,1159,8695,7536,48,True,0,0,2,0.4559941291809082,90,DMR,Crystal Palace,Fulham,0,2,26706,2024,686606,0.044168435037136,0,1,0,0.4559941291809082,0.5001625418663025,0.0,Crystal Palace
