assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team
0,0,0,14,0,19.2,36,0.13,0.13,0.0,1.39,7,1,0,3.4,14.4,2024-08-17,73,False,19,0,0,0,0,1,0,196248,1,2,1,0.0,2,0,0,0,45,False,0,0,0,0.0,77,DL,West Ham,Aston Villa,1,2,26608,2024,666468,0.3044654428958893,0,1,0,0.0,0.7407854795455933,0.436320036649704,Aston Villa
1,0,0,8,0,1.8,36,0.03,0.03,0.0,0.49,11,1,0,2.0,18.6,2024-08-24,75,False,1,0,0,0,0,2,0,214862,1,2,0,0.0,2,-3133,11294,14427,45,True,0,0,0,0.0,82,DL,Aston Villa,Arsenal,0,2,26618,2024,668263,0.0,0,0,0,0.0,0.0289393812417984,0.0289393812417984,Aston Villa
2,1,2,23,0,19.9,36,0.1,0.1,0.0,0.45,26,1,0,5.6,36.4,2024-08-31,90,False,11,0,0,0,0,3,0,290051,1,2,1,0.0,7,57893,89835,31942,45,False,0,0,0,0.0,90,DL,Leicester,Aston Villa,1,2,26626,2024,671831,0.3750728666782379,1,1,0,0.0,0.5447307229042053,0.5447307229042053,Aston Villa
3,1,0,26,0,54.0,36,0.68,0.68,0.0,0.67,31,2,0,8.7,30.8,2024-09-14,68,False,8,0,0,0,0,4,0,660174,1,2,3,2.0,4,331785,404275,72490,46,True,0,0,0,0.0,76,DL,Aston Villa,Everton,3,2,26638,2024,673925,1.4512954950332642,1,3,0,0.0,1.284121036529541,1.284121036529541,Aston Villa
4,0,0,0,0,2.5,36,0.01,0.01,0.0,0.51,41,1,0,0.5,2.2,2024-09-21,45,False,20,0,0,0,0,5,0,830162,1,1,3,0.0,1,163695,187411,23716,46,True,0,0,0,0.0,52,DL,Aston Villa,Wolverhampton Wanderers,3,1,26647,2024,675749,0.0,0,0,0,0.0,0.0,0.0,Aston Villa
5,0,0,4,0,4.8,36,0.02,0.02,0.0,1.12,56,2,0,2.3,17.8,2024-09-29,83,False,10,0,0,0,0,6,0,839769,1,2,2,0.0,0,12028,92568,80540,46,False,1,0,0,0.0,87,DL,Ipswich,Aston Villa,2,2,26659,2024,678379,0.0,0,0,0,0.0,0.3133985698223114,0.3133985698223114,Aston Villa
6,0,2,30,1,16.9,36,0.08,0.13,0.05,0.42,62,0,0,2.9,11.2,2024-10-06,84,False,14,0,0,0,0,7,0,780008,1,0,0,1.0,8,-57794,26706,84500,46,True,0,0,1,0.0524974018335342,88,DL,Aston Villa,Manchester United,0,0,26670,2024,680077,0.0151210352778434,0,1,0,0.0524974018335342,0.0377389341592788,0.0377389341592788,Aston Villa
7,1,0,13,0,3.8,36,0.04,0.26,0.22,1.78,72,1,0,4.3,12.6,2024-10-19,90,False,9,0,0,0,0,8,0,820415,1,3,1,27.0,4,30332,60515,30183,46,False,1,0,3,0.1866065710783004,90,DL,Fulham,Aston Villa,1,3,26673,2024,681337,0.0,0,0,0,0.1866065710783004,0.5205506682395935,0.4676862061023712,Aston Villa
8,0,2,22,1,27.5,36,0.41,0.41,0.0,0.18,82,0,0,4.1,11.2,2024-10-26,70,False,3,0,0,0,0,9,0,886984,1,1,1,2.0,7,57334,75571,18237,46,True,1,0,0,0.0,75,DL,Aston Villa,Bournemouth,1,1,26684,2024,682963,0.450753390789032,0,2,0,0.0,0.182194247841835,0.1068822219967842,Aston Villa
9,0,0,5,0,53.8,36,0.15,0.17,0.02,2.44,99,4,0,8.5,27.8,2024-11-03,90,False,18,0,0,0,0,10,0,1017963,1,1,4,3.0,0,125708,173299,47591,47,False,0,0,1,0.0610746294260025,90,DL,Tottenham,Aston Villa,4,1,26700,2024,685534,1.0330933332443235,0,4,0,0.0610746294260025,0.506203293800354,0.0480826273560524,Aston Villa
