assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team
0,0,0,4,0,20.7,622,0.0,0.0,0.0,0.09,25,0,0,2.8,7.6,2024-08-31,18,False,10,0,0,0,0,3,0,1415,0,1,1,0.0,1,377,619,242,50,False,0,0,0,0.0,16,Sub,Ipswich,Fulham,1,1,26625,2024,671807,0.1029619947075843,0,2,0,0.0,0.1029619947075843,0.0,Fulham
1,0,0,6,0,11.3,622,0.01,0.01,0.0,0.33,35,1,0,1.6,5.0,2024-09-14,24,False,19,0,0,0,0,4,0,1695,0,1,1,0.0,1,8,301,293,50,True,0,0,0,0.0,23,Sub,Fulham,West Ham,1,1,26634,2024,673744,0.0646585822105407,0,1,0,0.0,0.1554512828588485,0.0907927080988884,Fulham
2,0,0,6,0,11.5,622,0.01,0.01,0.0,1.43,44,1,0,2.4,8.6,2024-09-21,45,False,15,0,0,0,0,5,0,1759,0,1,3,4.0,1,-36,124,160,50,True,0,0,0,0.0,43,Sub,Fulham,Newcastle United,3,1,26646,2024,675726,0.0203898176550865,0,1,0,0.0,0.0203898176550865,0.0,Fulham
3,0,0,3,0,0.4,622,0.0,0.0,0.0,0.16,59,0,0,0.8,8.0,2024-09-28,21,False,16,0,0,0,0,6,0,1819,0,1,0,0.0,1,-51,132,183,50,False,0,0,0,0.0,19,Sub,Nottingham Forest,Fulham,0,1,26653,2024,677802,0.0,0,0,0,0.0,0.1087806224822998,0.1087806224822998,Fulham
4,0,0,6,0,2.7,622,0.01,0.01,0.0,1.34,69,2,0,1.0,7.4,2024-10-05,64,False,13,0,0,0,0,7,0,1813,1,2,3,0.0,2,-90,94,184,50,False,0,0,0,0.0,66,MC,Manchester City,Fulham,3,2,26664,2024,679473,0.0,0,0,0,0.0,0.7586155533790588,0.7586155533790588,Fulham
5,0,0,12,0,1.9,622,0.01,0.01,0.0,1.62,72,3,0,1.4,12.0,2024-10-19,79,False,2,0,0,0,0,8,0,1994,1,3,1,0.0,2,60,186,126,50,True,0,0,0,0.0,84,DMC,Fulham,Aston Villa,1,3,26673,2024,681324,0.0,0,0,0,0.0,0.0683858543634414,0.0683858543634414,Fulham
6,0,0,15,0,12.5,622,0.02,0.02,0.0,0.79,87,1,0,3.0,17.4,2024-10-26,90,False,8,0,0,0,0,9,0,2070,1,1,1,0.0,2,5,127,122,50,False,0,0,0,0.0,90,DMC,Everton,Fulham,1,1,26687,2024,683164,0.0173305962234735,0,1,0,0.0,0.1805118918418884,0.1805118918418884,Fulham
7,0,0,22,0,39.8,622,0.04,0.04,0.0,0.59,92,1,0,6.7,27.0,2024-11-04,90,False,4,0,0,0,0,10,0,2192,1,1,2,0.0,2,41,174,133,50,True,0,0,0,0.0,90,DMC,Fulham,Brentford,2,1,26693,2024,686111,0.0956017449498176,0,3,0,0.0,0.2940544784069061,0.2184443175792694,Fulham
8,0,0,13,1,18.0,622,0.15,0.15,0.0,1.52,104,0,0,2.8,10.0,2024-11-09,90,False,7,0,0,0,0,11,0,2322,1,2,0,0.0,3,67,206,139,50,False,0,0,0,0.0,90,DMC,Crystal Palace,Fulham,0,2,26706,2024,686623,0.0278827399015426,0,1,0,0.0,0.1225964203476905,0.0947136804461479,Fulham
9,0,0,13,0,4.6,622,0.01,0.09,0.08,0.65,128,1,0,2.6,12.6,2024-12-01,90,False,18,0,0,0,0,13,0,2514,1,1,1,9.0,2,-106,82,188,50,False,0,0,1,0.0266237203031778,90,DMC,Tottenham,Fulham,1,1,26729,2024,690631,0.0,0,0,0,0.0266237203031778,0.4404019713401794,0.4404019713401794,Fulham
10,0,0,5,0,0.9,622,0.0,0.0,0.0,1.27,135,1,0,1.5,14.4,2024-12-05,90,False,5,0,0,0,0,14,0,2521,1,1,3,0.0,1,-56,91,147,50,True,1,0,0,0.0,90,DMC,Fulham,Brighton,3,1,26736,2024,691605,0.0,0,0,0,0.0,0.0,0.0,Fulham
11,0,2,22,0,10.6,622,0.0,0.0,0.0,2.03,145,1,0,3.1,20.0,2024-12-08,90,False,1,0,0,0,0,15,0,2519,1,1,1,0.0,4,-54,73,127,50,True,0,0,0,0.0,90,DMC,Fulham,Arsenal,1,1,26749,2024,692716,0.1060500964522361,0,1,0,0.0,0.1509879529476165,0.0449378602206707,Fulham
12,0,0,13,0,1.3,622,0.01,0.01,0.0,2.13,155,2,0,1.1,9.6,2024-12-14,90,False,12,0,0,0,0,16,0,2682,1,2,2,0.0,1,71,228,157,50,False,1,0,0,0.0,90,DMC,Liverpool,Fulham,2,2,26752,2024,693773,0.0,0,0,0,0.0,0.6781894564628601,0.6781894564628601,Fulham
13,0,0,15,1,13.3,622,0.02,0.02,0.0,0.21,165,0,0,3.0,12.8,2024-12-22,75,False,17,0,0,0,0,17,0,2773,1,0,0,4.0,3,15,195,180,50,True,0,0,0,0.0,78,DMC,Fulham,Southampton,0,0,26763,2024,695634,0.024963691830635,0,1,0,0.0,0.130318209528923,0.1053545176982879,Fulham
