assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team
0,0,0,5,1,3.8,239,0.02,0.12,0.1,1.57,1,0,0,1.9,1.0,2024-08-16,77,False,14,0,0,0,0,1,0,21783,1,0,1,14.0,3,0,0,0,50,False,0,0,3,0.1146282404661178,79,AMR,Manchester United,Fulham,1,0,26602,2024,666192,0.0,0,0,0,0.1146282404661178,0.1360686719417572,0.021440427750349,Fulham
1,1,0,26,0,45.5,239,0.5,0.71,0.21,0.34,15,1,0,10.5,29.6,2024-08-24,68,False,11,0,0,0,0,2,0,69340,1,1,2,30.0,5,26185,34446,8261,50,True,0,0,3,0.2349088937044143,73,AMR,Fulham,Leicester,2,1,26614,2024,667952,0.65045166015625,1,4,0,0.2349088937044143,0.8853605389595032,0.0,Fulham
2,0,3,33,0,20.9,239,0.25,0.4,0.15,0.45,25,1,1,8.8,41.6,2024-08-31,90,False,10,0,0,0,0,3,0,118606,1,1,1,25.0,9,40121,61954,21833,50,False,1,1,1,0.3357647061347961,90,FWR,Ipswich,Fulham,1,1,26625,2024,671803,0.3784352540969848,0,1,1,0.3357647061347961,0.8077642917633057,0.0935643166303634,Fulham
3,0,0,12,0,24.7,239,0.02,0.58,0.56,0.76,35,1,0,7.3,14.6,2024-09-14,90,False,19,0,0,0,0,4,0,345857,1,1,1,34.0,2,198663,269026,70363,50,True,0,0,4,1.2451194524765017,90,AMR,Fulham,West Ham,1,1,26634,2024,673739,0.1314001828432083,0,2,0,1.2451194524765017,1.3765196800231934,0.0,Fulham
4,1,0,24,0,42.7,239,0.63,0.73,0.1,1.24,44,1,0,9.7,29.4,2024-09-21,73,False,15,0,0,0,0,5,0,369926,1,1,3,25.0,4,26987,60272,33285,50,True,1,0,1,0.1184903681278228,75,AMR,Fulham,Newcastle United,3,1,26646,2024,675720,0.8512486219406128,1,4,0,0.1184903681278228,1.850913405418396,0.9615916013717652,Fulham
5,0,0,11,1,3.4,239,0.01,0.05,0.04,0.63,59,0,0,1.1,0.8,2024-09-28,68,False,16,0,0,0,0,6,0,412450,1,1,0,7.0,3,39142,85562,46420,51,False,0,0,1,0.0387318581342697,71,AMR,Nottingham Forest,Fulham,0,1,26653,2024,677796,0.0,0,0,0,0.0387318581342697,0.0859013125300407,0.047169454395771,Fulham
6,0,0,4,0,13.7,239,0.02,1.31,1.29,1.57,69,3,0,5.9,12.8,2024-10-05,90,False,13,0,0,0,0,7,0,386483,1,2,3,32.0,2,-26027,33075,59102,51,False,0,0,3,1.349048376083374,90,ML,Manchester City,Fulham,3,2,26664,2024,679475,0.0981578528881073,0,1,0,1.349048376083374,2.033764362335205,0.5865581035614014,Fulham
7,0,0,12,0,21.7,239,0.27,0.27,0.0,1.51,72,2,0,3.4,4.4,2024-10-19,67,False,2,0,0,0,0,8,0,404709,1,3,1,8.0,2,13281,47349,34068,51,True,0,0,0,0.0,72,AMR,Fulham,Aston Villa,1,3,26673,2024,681325,0.5607641339302063,0,2,0,0.0,0.6291499733924866,0.0683858543634414,Fulham
8,0,0,9,1,32.3,239,0.12,0.25,0.13,0.34,87,0,0,6.3,10.0,2024-10-26,67,False,8,0,0,0,0,9,0,395887,1,1,1,21.0,3,-9495,22983,32478,51,False,0,0,1,0.2557058036327362,69,AMR,Everton,Fulham,1,1,26687,2024,683165,0.1347369998693466,0,2,0,0.2557058036327362,0.5757864713668823,0.1853436529636383,Fulham
9,1,0,16,0,26.1,239,0.07,0.24,0.17,0.41,92,0,0,7.2,23.0,2024-11-04,25,False,4,0,0,0,0,10,0,392531,0,1,2,23.0,4,-5136,31046,36182,51,True,0,0,3,0.1495591104030609,23,Sub,Fulham,Brentford,2,1,26693,2024,686118,0.1486273109912872,1,2,0,0.1495591104030609,0.2215303033590316,0.0199915710836648,Fulham
